,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,15.2221188545,"we, you, s, your, my, don, christ, get, our, me, want, ask, t, ill, know, love, god, jesus, said, happi, i, heaven, sin, she, go, tell, car, pray, thing, better",0.0342920223357,0.0212890137244,0.9,0.1,0.0580731566161,0.577453567864,0.637111100196,0.638067404353,Shepherd,4,4.0,3.92330097532
4,Shepherd_test9,10,15.007750988,"we, you, me, your, my, s, get, don, christ, pray, t, prayer, listen, rememb, say, ask, preach, go, our, ill, i, said, am, sin, know, got, happen, look, want, god",0.0274552062813,0.0229985477538,0.6,0.4,0.074052453896,0.622189113534,0.68139883944,0.663452066265,Shepherd,4,4.97692307692,4.17761783511
5,Shepherd_test0,10,15.6541588306,"you, we, your, sin, get, my, s, me, don, want, our, pray, wrong, evil, ask, love, know, t, thing, ill, say, go, said, christ, someth, prayer, god, i, do, preach",0.029045446673,0.032217407465,0.4,0.6,0.0790998929697,0.626754240993,0.663561158603,0.66960149837,Shepherd,4,3.2,3.67072489287
8,Shepherd_test10,10,15.9817221165,"we, you, my, me, your, s, sin, love, christ, our, ask, want, god, get, lord, job, don, t, spirit, know, say, pray, look, said, i, forgiv, ill, rememb, prayer, let",0.0334184534942,0.0256485040017,0.7,0.3,0.06970167257,0.615444587732,0.689494436108,0.590765914333,Shepherd,4,4.07692307692,4.01043014959
14,Shepherd_test20,10,14.4425599575,"we, you, your, s, our, my, me, ask, god, lord, prayer, ill, said, pray, don, know, say, wisdom, bless, glori, christ, let, thank, evil, love, us, want, commit, t, get",0.0337762503995,0.0229891748653,0.8,0.2,0.0804828805381,0.652895014406,0.636973610339,0.610103323552,Shepherd,4,4.0,3.93911581115
15,Shepherd_test6,10,14.882694006,"we, you, your, my, me, pray, s, don, get, our, t, love, ask, christ, want, ill, i, thing, know, prayer, prepar, car, do, should, got, think, said, job, preach, god",0.0370419121602,0.0188520528031,0.9,0.1,0.064673462606,0.608229596647,0.640292911509,0.69876593452,Shepherd,4,4.0,3.95954282025
20,Shepherd_test16,10,13.4667010307,"you, we, my, your, me, s, get, thank, christ, our, sin, don, ask, god, want, said, t, lord, ill, know, i, prais, whi, got, preacher, do, jesus, tri, say, go",0.0311601142939,0.0199835298918,0.8,0.2,0.0647478953449,0.644296251886,0.671760755619,0.639632420369,Shepherd,4,4.07692307692,3.92731850478
22,Shepherd_test19,10,14.2673261166,"we, you, me, my, your, s, christ, get, ask, our, god, don, jesus, say, wisdom, want, ill, dad, fear, t, said, know, i, sin, go, love, grace, let, whi, talk",0.0333866696764,0.02081194394,0.9,0.1,0.0700981794453,0.631934225974,0.639876017846,0.59728429763,Shepherd,4,4.0,3.93079972182
29,Shepherd_test14,10,15.2190730572,"we, you, your, me, my, s, troubl, get, devil, don, ill, our, christ, someon, pray, said, satan, god, want, know, thank, rememb, spirit, ask, sin, thing, preacher, t, let, i",0.0315280481527,0.0238307393292,0.7,0.3,0.0700130426378,0.630216290636,0.677775960923,0.581975809067,Shepherd,4,4.07692307692,4.15117604895
30,Shepherd_test4,10,15.067679882,"we, you, your, my, s, sin, me, our, god, rememb, ask, want, christ, get, don, ill, thing, bad, bless, jesus, know, t, someth, save, will, i, answer, said, everyth, do",0.034874252188,0.0231222142792,0.8,0.2,0.0781150236487,0.606149894262,0.640120827276,0.568950180065,Shepherd,4,4.0,3.86034381809
