,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,18.8367171288,"s, get, joy, spirit, love, don, god, ask, pray, friend",0.0366269649807,0.0207193317024,1.0,0.0,135.2,0.609188451327,0.654327862653,0.57265149789,Shepherd,4,4.01428571429,4.08346133831
4,Shepherd_test9,10,21.2107770443,"s, christ, don, get, want, ill, ask, bad, said, t",0.0341987154042,0.0250120285094,0.7,0.3,161.9,0.58862584602,0.675935212742,0.523544851034,Shepherd,4,4.9,4.03528427818
6,Shepherd_test21,10,18.3302071095,"s, christ, don, get, ask, grace, god, want, said, t",0.0313408498999,0.0225549678893,0.7,0.3,146.0,0.616525573607,0.640338481508,0.51545140774,Shepherd,4,4.01428571429,4.29328316368
7,Shepherd_test0,10,20.6303989887,"s, christ, get, don, let, sin, worship, prayer, said, thing",0.0287776516173,0.0216164578041,0.9,0.1,159.6,0.600864589963,0.646310482455,0.490972030505,Shepherd,4,4.91428571429,4.61439063488
10,Shepherd_test10,10,18.848238945,"sin, s, don, thank, christ, get, said, ill, rememb, t",0.0329918925266,0.0276767970522,0.6,0.4,146.1,0.62877468766,0.625717040127,0.636998335248,Shepherd,4,3.7,4.2274903057
16,Shepherd_test20,10,20.1006979942,"s, get, said, ask, don, ill, mind, christ, jesus, want",0.0344529548047,0.0229929139589,0.7,0.3,169.1,0.557485185752,0.60456384625,0.628092006821,Shepherd,4,4.03747412008,3.83477872053
17,Shepherd_test6,10,20.8846461773,"s, get, christ, god, don, t, know, said, ill, ask",0.0328595756489,0.0230790383999,0.9,0.1,170.7,0.585675338656,0.65712993281,0.618255598095,Shepherd,4,4.03747412008,3.97117119476
22,Shepherd_test16,10,19.4208641052,"s, christ, get, love, don, want, ask, ill, said, faith",0.0352527908412,0.0200582389685,0.9,0.1,160.1,0.589774260535,0.629196740755,0.667036054116,Shepherd,4,4.03747412008,3.8555649337
25,Shepherd_test19,10,21.1615271568,"s, sin, get, worship, christ, don, god, t, pray, let",0.0287196971712,0.0277156206442,0.6,0.4,175.4,0.59879434429,0.64362241309,0.607963423987,Shepherd,4,3.7,4.14022570564
27,Shepherd_test4,10,19.2434439659,"sin, s, don, want, get, christ, t, ill, god, know",0.0298500993678,0.0258350706388,0.6,0.4,160.7,0.596789628821,0.643950835073,0.711955123595,Shepherd,4,4.0,4.00104873933
33,Shepherd_test14,10,16.9038119316,"christ, get, want, s, know, don, evil, love, ask, god",0.0340728032008,0.0250750821801,0.7,0.3,171.5,0.645763655543,0.710418276183,0.623169652658,Shepherd,4,4.6,4.02463599876
34,Shepherd_test8,10,15.694537878,"s, christ, grace, don, god, get, sin, t, jesus, know",0.0306947771342,0.0239302277232,0.7,0.3,154.0,0.591377343528,0.623267431842,0.527588630172,Shepherd,4,4.01428571429,4.06160757649
36,Shepherd_test3,10,15.7619538307,"s, don, want, christ, ask, god, know, ill, get, prayer",0.0336571708335,0.0188983757665,0.8,0.2,166.5,0.605797690724,0.646872919593,0.606937271483,Shepherd,4,4.03747412008,3.81437316112
