,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
71,Rabbinic_test0,5,9.3803768158,"keter, let, know, sing, god, rabbi, jewish, jewri, synagogu, prayer, aleppo, friedman, anger, trip, realli, miss, memori, berlin, mose, torah",0.0182061134451,0.02476920866,0.4,0.6,0.411050342883,0.751874167269,0.0343589129654,0.00323237160302,0.0113731593439,0.00622530827248,0.00430982880402,0.00430982880402,0.0104154196097,0.762834436999,0.738188571928,Rabbinic,6,4.68333333333,6,4.97276928924,6
23,MehrBaba_train6,5,7.27201700211,"bahinabai, perfect, master, discipl, baba, calf, feel, night, soul, tukaram, noth, pain, thiev, spiritu, devot, ratnakar, brahmin, bahaulhuq, husband, doubt",0.0357573861938,0.0202678792151,0.8,0.2,0.452750142939,0.754815013341,0.00523726392636,0.00285668941438,0.00555467386129,0.0171401364863,0.0190445960959,0.0125376924298,0.0125376924298,0.72304267219,0.693569280069,MehrBaba,8,3.18666666667,1,5.25752888209,8
105,JohnPiper_train5,5,13.5707809925,"vers, god, christ, say, let, sin, know, should, circumcis, whi, job, resurrect, wonder, vain, parent, mind, pursu, coven, paul, slave",0.0239827755624,0.0219159206951,0.6,0.4,0.489010763212,0.692449583287,0.0316735073182,0.0161852396809,0.014558971579,0.00495624564392,0.0205993959576,0.000387206690932,0.0119259660807,0.682219625492,0.578222048224,JohnPiper,4,4.17666666667,4,3.95028099828,4
121,DorothyDay_test2,5,7.52811789513,"worker, strike, too, pius, say, fear, hear, priest, room, inde, love, violenc, cathol, summari, afternoon, cort, pray, ddlw, brooklyn, maurin",0.0212137709541,0.027018851825,0.4,0.6,0.199505044736,0.610199968548,0.0161955691367,0.00106951871658,0.0183346065699,0.00977845683728,0.0102368220015,0.00519480519481,0.0105423987777,0.716531015201,0.617294138153,DorothyDay,4,4.71,4,5.4549257453,4
26,MehrBaba_test2,5,9.21906208992,"baba, meher, mind, plane, divin, infinit, reaction, conscious, avatar, love, know, ignor, mandali, feel, realiz, imperson, self, truth, wonder, answer",0.0269620619016,0.0171352399488,0.8,0.2,0.33275022301,0.699508424916,0.0088588413568,0.00629443991141,0.0149201538641,0.0101410420795,0.016668609395,0.000233127404126,0.0174845553095,0.712949929775,0.717952302247,MehrBaba,8,6.07,6,5.56139917706,8
57,PastorAnderson_test1,5,58.2254588604,"say, get, bibl, want, know, vers, talk, let, lot, tell, thing, look, spank, kid, realli, someth, whi, shall, just, unto",0.0248971359496,0.0246240214054,0.6,0.4,0.356963913174,0.651699592369,0.0168067226891,0.0287352229027,0.0257263922518,0.0178927503205,0.0141717704031,0.00147770972796,0.0181241988321,0.743544897163,0.684293061877,PastorAnderson,2,2.07666666667,2,2.69388754514,2
42,Unitarian_test1,5,20.1288399696,"sing, evil, hope, hannah, know, get, voic, ask, josselin, feel, whi, let, everyon, want, love, say, realli, sure, sang, dont",0.0253220168475,0.022512530597,0.8,0.2,0.246574012342,0.689596252584,0.0199805347226,0.00921738134768,0.0270796358848,0.00790061258373,0.0101906452167,0.0103051468483,0.0112784107174,0.699631889093,0.694327783544,Unitarian,7,6.19666666667,7,6.68764138081,7
63,Rabbinic_train4,5,10.4386489391,"kaplan, “no, steinberg, happi, rabbi, jew, orthodox, want, abraham, jewish, god, joy, holiday, ecclesiast, know, lefkowitz, nachman, tell, communal, sukkot",0.0213495351974,0.0150748070923,0.8,0.2,0.388838075041,0.731356504815,0.0267487527863,0.0100838552171,0.0101900010615,0.00658104235219,0.0133743763932,0.00137989597707,0.0110391678166,0.736621075117,0.68059062864,Rabbinic,6,5.92333333333,6,5.81632546582,6
28,MehrBaba_test1,5,7.89520597458,"perfect, finit, love, master, conscious, baba, know, shri, truth, spiritu, inner, pure, happi, experi, joy, real, awaken, gorakhnath, feel, discipl",0.0392660446623,0.0183673258416,1.0,0.0,0.429921124955,0.703120740439,0.0037263774288,0.000133084908171,0.0065211605004,0.00904977375566,0.0198296513175,0.000133084908171,0.0220920947565,0.779206431175,0.642346875339,MehrBaba,8,6.72333333333,8,7.18557681629,8
33,Unitarian_train6,5,23.6949667931,"hurt, know, get, love, feel, gay, talk, happi, silenc, dont, wonder, tell, hope, sabbat, say, want, whi, joy, realli, thing",0.0317270779719,0.0185114408187,0.8,0.2,0.250903692019,0.623841968898,0.0158676893576,0.0134707574305,0.035426653883,0.0125599232982,0.00762224352828,0.00445829338447,0.0127037392138,0.650722569593,0.655808682244,Unitarian,7,5.36,7,6.73327325781,7
