,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,10.894963026,"s, trust, get, don, christ, want, said, lord, god, ill",0.0492928934395,0.0492928934395,0.0,1.0,18.6,0.0760957313893,0.669619148125,0.717696305331,Shepherd,4,4.6,5.18105070429
4,Shepherd_test9,10,11.6949839592,"s, get, christ, don, sin, know, pray, happen, ask, t",0.0505988894471,0.0505988894471,0.0,1.0,16.7,0.0600136743684,0.609891612283,0.595926123113,Shepherd,4,4.0,3.92283965946
6,Shepherd_test21,10,11.2639629841,"s, get, don, thank, t, said, love, thing, ill, disagr",0.0513095651816,0.0513095651816,0.0,1.0,17.9,0.0657245900766,0.621912923232,0.667231611803,Shepherd,4,4.0,4.2791673914
7,Shepherd_test0,10,12.5073010921,"s, get, want, don, ask, happen, thing, t, ill, said",0.0514783500109,0.0514783500109,0.0,1.0,16.4,0.0612308635501,0.636184845117,0.563896857385,Shepherd,4,4.0,3.97337497028
10,Shepherd_test10,10,11.5681087971,"s, job, don, want, ask, christ, get, sin, walk, ill",0.0497485510071,0.0497485510071,0.0,1.0,16.3,0.0620768649222,0.613292331452,0.532071908989,Shepherd,4,4.0,3.8985852515
17,Shepherd_test20,10,11.3480200768,"s, christ, get, don, know, t, ask, dad, i, want",0.0570489190479,0.0570489190479,0.0,1.0,16.1,0.0631122413529,0.633740326632,0.646512638916,Shepherd,4,4.0,4.31455669748
18,Shepherd_test6,10,10.6877098083,"s, don, get, t, ill, want, said, christ, go, worri",0.0539233383547,0.0539233383547,0.0,1.0,16.5,0.0651898857777,0.619418703348,0.718177028694,Shepherd,4,4.0,4.27908611098
22,Shepherd_test16,10,10.7901821136,"s, don, thank, christ, god, love, want, t, ask, preacher",0.0488718008725,0.0488718008725,0.0,1.0,18.8,0.078226017468,0.63427056686,0.637797805729,Shepherd,4,4.0,4.56090643844
24,Shepherd_test19,10,11.2727639675,"s, sin, don, get, t, want, christ, ill, love, ask",0.0520320689475,0.0520320689475,0.0,1.0,17.3,0.0663533905414,0.600381985543,0.62918145854,Shepherd,4,4.0,4.05408255045
31,Shepherd_test14,10,11.4218080044,"s, don, sin, get, christ, ask, love, t, want, ill",0.0506462090137,0.0506462090137,0.0,1.0,18.2,0.0665088215928,0.591300254078,0.534885874746,Shepherd,4,4.0,4.01166974859
