,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,8.24657702446,"love, worker, get, talk, tri, say, want, too, go, poverti",0.0258430673158,0.0258430673158,0.0,1.0,18.2,0.173050830679,0.71008610773,0.565384551544,DorothyDay,4,2.1,3.53203623502
2,DorothyDay_test1,10,14.7424440384,"worker, priest, get, say, labor, know, love, too, christ, cathol",0.0242500313597,0.0242500313597,0.0,1.0,17.2,0.185343191017,0.746537027751,0.810334267129,DorothyDay,4,3.2,3.58643577877
8,WBC_test0,10,10.929628849,"unto, s, shall, hell, god, say, lord, ye, wit, sermon",0.0249232015498,0.0249232015498,0.0,1.0,22.7,0.166372466781,0.778912996085,0.831234750196,WBC,1,1.2,3.1311334671
10,WBC_test1,10,11.2235491276,"shall, unto, hath, lord, s, ye, god, thi, christ, thee",0.0278909843895,0.0278909843895,0.0,1.0,22.2,0.137826034793,0.745406924755,0.737592961133,WBC,1,3.5,3.16792870012
13,Bahai_test1,10,3.2628569603,"courag, prophet, uniti, sick, heal, p, marriag, divin, imagin",0.0241908958326,0.0241908958326,0.0,1.0,6.2,0.2025552154,0.81863307392,0.760541867881,Bahai,6,6.0,4.61787323191
15,Bahai_test0,10,3.5459048748,"thi, thou, fear, perfect, thee, uniti, want, evil, god",0.0233951336656,0.0233951336656,0.0,1.0,8.0,0.20655845591,0.687154225575,0.763792542345,Bahai,6,5.5,5.83327829472
17,IntegralYoga_test1,10,5.60797119141,"mind, yoga, happi, everyth, self, want, get, pain, should",0.0211068982383,0.0211068982383,0.0,1.0,8.6,0.0902187101925,0.702514481352,0.653659799016,IntegralYoga,7,5.8,6.67143298455
19,IntegralYoga_test0,10,4.36611008644,"mind, yoga, om, whi, say, want, medit, should, guru",0.0271057097678,0.0271057097678,0.0,1.0,8.1,0.106964235905,0.69670177931,0.738171665223,IntegralYoga,7,5.0,6.38987006071
22,Rabbinic_test0,10,7.63164901733,"jewish, torah, bless, moment, know, rabbi, sibl, jacob, isra",0.0297433782274,0.0297433782274,0.0,1.0,18.7,0.265890069484,0.732342168757,0.782322489517,Rabbinic,6,4.1,5.34578863728
25,SeaShepherds_test0,10,2.82030487061,"whale, shepherd, seaworld, greenpeac, save, hsus, orca, illeg, seal",0.0215687285798,0.0215687285798,0.0,1.0,4.6,0.167514589719,0.697245626987,0.52150280067,SeaShepherds,2,4.8,6.4769617839
