,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
283,DorothyDay_test-EYM4FK,1,1.03104496002,0.0197628458498,0.0197628458498,0.0,1.0,6.0,0.181818181818,0.76315975722,0.719450859249,DorothyDay,4,3.8,3.94428979966
284,DorothyDay_test-IO813H,1,1.65842485428,0.0259067357513,0.0259067357513,0.0,1.0,24.0,0.233009708738,0.682510791959,0.570607507218,DorothyDay,4,3.4,3.94246878973
294,DorothyDay_test-N8TXR5,1,1.57951998711,0.0262267343486,0.0262267343486,0.0,1.0,26.0,0.302325581395,0.741837032185,0.754951153368,DorothyDay,4,4.1,3.94307244356
339,Rabbinic_test-G7Q9ZB,1,1.4559969902,0.0340852130326,0.0340852130326,0.0,1.0,21.0,0.247058823529,0.702218719783,0.566154640782,Rabbinic,6,3.8,3.93390548471
424,NaumanKhan_test-D5L6KT,1,2.69143486023,0.0252507163324,0.0252507163324,0.0,1.0,42.0,0.106598984772,0.712541993649,0.781049069249,NaumanKhan,3,2.9,3.94368504254
427,NaumanKhan_test-5IEPQD,1,2.64094614983,0.0289980899462,0.0289980899462,0.0,1.0,37.0,0.105413105413,0.745649370987,0.801250545652,NaumanKhan,3,3.0,3.94253938698
439,NaumanKhan_test-XLUZV2,1,2.35712885857,0.0376376376376,0.0376376376376,0.0,1.0,23.0,0.0744336569579,0.637783255609,0.683431516744,NaumanKhan,3,3.3,3.93550051195
440,NaumanKhan_test-5OSFZP,1,2.80021095276,0.0420560747664,0.0420560747664,0.0,1.0,39.0,0.151162790698,0.666384666334,0.625412532849,NaumanKhan,3,2.5,3.91276259485
441,NaumanKhan_test-TX2VF5,1,1.55248212814,0.0698795180723,0.0698795180723,0.0,1.0,12.0,0.0916030534351,0.686862695954,0.70771104444,NaumanKhan,3,1.9,3.66731844986
446,NaumanKhan_test-37ZIQC,1,2.30007410049,0.0248936170213,0.0248936170213,0.0,1.0,50.0,0.42735042735,0.633128567643,0.685443028165,NaumanKhan,3,3.0,3.94444283714
447,NaumanKhan_test-YH3KLM,1,1.26895999908,0.0285171102662,0.0285171102662,0.0,1.0,13.0,0.245283018868,0.704622954914,0.57683576966,NaumanKhan,3,4.3,3.94140806835
451,NaumanKhan_test-AS0599,1,2.59711194038,0.025,0.025,0.0,1.0,44.0,0.126436781609,0.780687480346,0.680595282402,NaumanKhan,3,2.4,3.94361345303
454,NaumanKhan_test-FX0QS3,1,2.19347500801,0.018094365552,0.018094365552,0.0,1.0,37.0,0.2890625,0.678355924244,0.634410428631,NaumanKhan,3,3.4,3.94433628865
457,NaumanKhan_test-GIZJ99,1,1.79612493515,0.0341232227488,0.0341232227488,0.0,1.0,18.0,0.0957446808511,0.669343717817,0.502662974255,NaumanKhan,3,3.8,3.93864311999
458,NaumanKhan_test-0WD68Z,1,2.34000396729,0.0287784679089,0.0287784679089,0.0,1.0,29.0,0.0929487179487,0.639234740377,0.54871056938,NaumanKhan,3,2.3,3.94251774756
