,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,10.9453060627,"s, christ, preach, god, know, ask, want, ill, trust, don",0.0499292970528,0.0499292970528,0.0,1.0,17.8,0.0813581737927,0.588184065931,0.611149769342,Shepherd,4,4.04893167702,3.89558638481
4,Shepherd_test9,10,11.8226242065,"s, get, love, don, christ, ask, know, t, want, knock",0.054676149868,0.054676149868,0.0,1.0,18.2,0.0708916606847,0.631601381712,0.764214557036,Shepherd,4,3.598,3.6585852093
6,Shepherd_test0,10,10.9999330044,"s, preach, don, rememb, want, love, get, ill, said, t",0.0451065923275,0.0451065923275,0.0,1.0,18.3,0.0770816598777,0.650239990139,0.589888349777,Shepherd,4,5.49736024845,4.17755219386
9,Shepherd_test10,10,10.8320538998,"christ, s, want, mind, ask, get, don, t, know, god",0.047287509009,0.047287509009,0.0,1.0,18.1,0.0836747283475,0.609025518765,0.69086720418,Shepherd,4,4.05981508176,4.02821527296
15,Shepherd_test20,10,12.8559410572,"s, want, don, get, love, christ, ask, ill, t, bless",0.0468293676523,0.0468293676523,0.0,1.0,18.3,0.0600899897192,0.617220951333,0.62701554774,Shepherd,4,4.10266666667,4.02714232283
16,Shepherd_test6,10,10.3851480484,"s, get, don, sin, t, god, thing, said, christ, know",0.0476988100197,0.0476988100197,0.0,1.0,16.6,0.0715320913167,0.586358271546,0.623901660654,Shepherd,4,3.97766666667,3.89153208207
21,Shepherd_test16,10,11.9100110531,"s, get, prais, want, don, ask, t, ill, lord, rememb",0.0509681160586,0.0509681160586,0.0,1.0,17.6,0.0879897318287,0.627950565462,0.71077878231,Shepherd,4,4.13739393939,4.02059474233
23,Shepherd_test19,10,13.078248024,"s, get, christ, know, want, ill, don, ask, whi, god",0.0469256918872,0.0469256918872,0.0,1.0,15.5,0.0648295133193,0.595102833207,0.537731454242,Shepherd,4,4.6,3.87082765547
25,Shepherd_test4,10,9.89926290512,"s, love, god, get, said, christ, spirit, don, ill, ask",0.0487350465272,0.0487350465272,0.0,1.0,16.8,0.0739407920104,0.602886094987,0.598785538325,Shepherd,4,4.04893167702,3.93174166204
31,Shepherd_test14,10,11.05174613,"s, pray, don, ask, get, want, god, t, let, preach",0.0509485797104,0.0509485797104,0.0,1.0,16.3,0.0562646516495,0.629185646059,0.686577319833,Shepherd,4,4.05981508176,4.07320801463
