,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,13.9848899841,"s, get, christ, don, someon, ill, ask, t, want, said",0.0493484634439,0.0493484634439,0.0,1.0,17.0,0.0727027638238,0.615098159559,0.641071811983,Shepherd,4,4.0292876831,4.04470050143
4,Shepherd_test9,10,10.2736301422,"s, christ, get, don, t, want, god, ask, preacher, lord",0.0470323792608,0.0470323792608,0.0,1.0,16.6,0.0704109259512,0.622188354171,0.663208946819,Shepherd,4,4.0292876831,3.94544243506
6,Shepherd_test0,10,11.2725610733,"s, don, christ, ill, get, preacher, t, ask, said, know",0.0523661534798,0.0523661534798,0.0,1.0,16.6,0.0549077913545,0.565676334627,0.76165314905,Shepherd,4,4.0292876831,4.07522855425
9,Shepherd_test10,10,11.3177189827,"s, christ, get, want, don, sin, ask, t, said, god",0.0476165402199,0.0476165402199,0.0,1.0,16.2,0.0610866774027,0.622974976717,0.586533629571,Shepherd,4,4.0292876831,3.78008237378
15,Shepherd_test20,10,12.0517439842,"s, christ, get, don, heaven, god, want, t, wrath, sure",0.0523295486265,0.0523295486265,0.0,1.0,17.8,0.0739561914807,0.643551966213,0.576556612324,Shepherd,4,4.0292876831,4.58754830366
16,Shepherd_test6,10,11.2475922108,"s, sin, get, don, christ, want, ask, heaven, said, know",0.0495429304245,0.0495429304245,0.0,1.0,16.2,0.0717541487132,0.607831683091,0.824743172876,Shepherd,4,4.0292876831,4.26527375646
21,Shepherd_test16,10,11.562128067,"s, don, ask, want, bless, get, god, christ, t, love",0.0498464362929,0.0498464362929,0.0,1.0,16.4,0.0701259257264,0.666407938354,0.647545899699,Shepherd,4,4.0292876831,4.3493213653
23,Shepherd_test19,10,11.9557678699,"s, get, don, want, christ, t, heaven, ill, sin, lord",0.0521385095362,0.0521385095362,0.0,1.0,19.0,0.0730840800437,0.617769056445,0.716060449742,Shepherd,4,4.04039879421,4.41363142839
25,Shepherd_test4,10,11.5631549358,"s, know, don, talk, ill, ask, christ, fear, get, want",0.0503700097446,0.0503700097446,0.0,1.0,17.6,0.058722402345,0.607933694467,0.534345162871,Shepherd,4,4.0292876831,3.89616222069
31,Shepherd_test14,10,11.7447650433,"s, love, don, thank, get, ask, t, christ, ill, jesus",0.0493938568908,0.0493938568908,0.0,1.0,19.3,0.0760870400277,0.665186069616,0.737237671848,Shepherd,4,4.04039879421,4.78793578495
32,Shepherd_test8,10,10.9406440258,"s, christ, don, get, trust, love, want, t, ill, rememb",0.0473906730148,0.0473906730148,0.0,1.0,15.5,0.064562635448,0.564825780987,0.650920945402,Shepherd,4,4.0292876831,3.88870255175
34,Shepherd_test3,10,11.3047919273,"s, get, want, preach, christ, don, know, ask, worship, let",0.0495729374936,0.0495729374936,0.0,1.0,14.0,0.0562750100897,0.611763440183,0.636420860716,Shepherd,4,4.0292876831,3.60366283556
37,Shepherd_test13,10,10.995057106,"sin, s, get, christ, ask, god, want, spirit, know, ill",0.043010765448,0.043010765448,0.0,1.0,17.5,0.0882718918587,0.553995219958,0.611005381537,Shepherd,4,4.0292876831,4.12646697692
44,Shepherd_test21,10,10.7113139629,"s, get, don, want, t, prais, know, preacher, christ, tell",0.0518015638083,0.0518015638083,0.0,1.0,16.4,0.0638798303658,0.65925520069,0.555666892038,Shepherd,4,4.0292876831,4.36290038227
45,Shepherd_test1,10,11.8803079128,"s, sin, don, christ, t, get, want, god, know, ill",0.0529191542952,0.0529191542952,0.0,1.0,15.1,0.0523016337643,0.562560993182,0.697617188031,Shepherd,4,4.0292876831,3.9593529209
49,Shepherd_test11,10,12.0771901608,"s, get, don, ask, want, christ, t, ill, re, know",0.054665119902,0.054665119902,0.0,1.0,16.9,0.0579861688905,0.597352534948,0.584300684832,Shepherd,4,4.02062626577,3.97138731494
55,Shepherd_test18,10,11.3716981411,"don, s, get, t, thing, let, god, lord, know, said",0.0477699530956,0.0477699530956,0.0,1.0,17.5,0.0686040158611,0.639926717198,0.658466278348,Shepherd,4,4.0292876831,4.0907826623
58,Shepherd_test7,10,11.9168109894,"s, ask, get, bad, don, know, thank, want, god, ill",0.0493104479048,0.0493104479048,0.0,1.0,20.2,0.0787796498562,0.554300357923,0.62834229109,Shepherd,4,4.04039879421,4.08051027166
63,Shepherd_test17,10,11.5274279118,"s, don, get, t, want, car, love, ask, ill, re",0.0569719742025,0.0569719742025,0.0,1.0,14.7,0.0463169552223,0.589154366259,0.622186829865,Shepherd,4,4.90612244898,3.90375416868
66,Shepherd_test2,10,11.255934,"s, get, don, christ, know, ill, preach, ask, pray, said",0.0526805776234,0.0526805776234,0.0,1.0,13.2,0.050471467929,0.595305072663,0.630932263857,Shepherd,4,4.0292876831,3.65857526619
71,Shepherd_test12,10,12.050798893,"s, grace, thank, rememb, get, god, don, sin, christ, want",0.048695186553,0.048695186553,0.0,1.0,16.8,0.0676903526198,0.675879817701,0.582166811112,Shepherd,4,4.0292876831,4.3994094136
72,Shepherd_test5,10,11.1460330486,"s, want, christ, god, sin, ill, get, love, ask, jesus",0.0532023477756,0.0532023477756,0.0,1.0,16.9,0.073649029064,0.592494322064,0.575110100654,Shepherd,4,4.0292876831,4.15242461845
73,DorothyDay_test8,10,9.89010906219,"worker, too, get, tri, ask, farm, priest, love, hour, strike",0.0272717312975,0.0272717312975,0.0,1.0,15.8,0.157256904156,0.760309238611,0.718784867607,DorothyDay,4,4.0292876831,3.87461357189
75,DorothyDay_test13,10,6.49758410454,"worker, get, job, tri, go, poverti, talk, maurin, farm, cloth",0.0309787591244,0.0309787591244,0.0,1.0,8.4,0.130826886983,0.765045385836,0.663843285122,DorothyDay,4,6.6,4.33585932823
76,DorothyDay_test3,10,8.68084001541,"room, night, joy, i, am, want, rayna, love, go, rememb",0.0371413728153,0.0371413728153,0.0,1.0,15.3,0.138077738243,0.722159051319,0.759094057419,DorothyDay,4,4.3292876831,4.32982094329
88,DorothyDay_test23,10,8.11627388,"worker, get, fr, farm, talk, room, am, maurin, retreat, go",0.0367571429393,0.0367571429393,0.0,1.0,15.0,0.146495610315,0.749836627948,0.673422862449,DorothyDay,4,4.0292876831,4.22821928356
89,DorothyDay_test16,10,5.76795911789,"fr, love, worker, retreat, roy, get, priest, helen, too, talk",0.0316783405437,0.0316783405437,0.0,1.0,11.2,0.155481703651,0.694279005498,0.576350213004,DorothyDay,4,4.0292876831,3.98495026583
90,DorothyDay_test6,10,7.1090631485,"fr, mike, worker, get, talk, too, go, stay, am, love",0.0307704593956,0.0307704593956,0.0,1.0,13.0,0.153701618364,0.747580474725,0.693786086518,DorothyDay,4,4.3292876831,4.10287218922
91,DorothyDay_test11,10,9.69853305817,"fr, retreat, worker, priest, love, too, get, christ, labor, ask",0.0262916436373,0.0262916436373,0.0,1.0,11.2,0.129770863208,0.738576247563,0.796989658512,DorothyDay,4,4.7292876831,4.52959559886
92,DorothyDay_test1,10,16.3030910492,"love, retreat, worker, get, thing, say, too, go, talk, bread",0.0346348566821,0.0346348566821,0.0,1.0,25.7,0.188597133315,0.765585115446,0.576315959668,DorothyDay,4,2.8,3.62340866624
93,DorothyDay_test18,10,8.79789614677,"worker, get, talk, too, room, priest, night, go, want, girl",0.0342429652974,0.0342429652974,0.0,1.0,17.3,0.179049715234,0.734542358462,0.676837714547,DorothyDay,4,4.0292876831,4.28077980513
103,DorothyDay_test21,10,8.7147359848,"get, worker, poverti, picket, hour, go, room, pray, too, night",0.0282829243105,0.0282829243105,0.0,1.0,17.7,0.191159819862,0.762347475469,0.738680188455,DorothyDay,4,4.0292876831,3.94574923743
104,DorothyDay_test14,10,8.27450704575,"worker, strike, get, labor, too, let, peter, maurin, want, pray",0.0290254011237,0.0290254011237,0.0,1.0,16.4,0.176805161242,0.723328496917,0.722973179917,DorothyDay,4,4.0292876831,3.80640337768
105,DorothyDay_test4,10,11.3336181641,"worker, too, get, talk, priest, tri, negro, strike, go, dont",0.032073175854,0.032073175854,0.0,1.0,21.5,0.165537135888,0.759825907407,0.748447255119,DorothyDay,4,4.04039879421,3.60078023158
115,DorothyDay_test12,10,9.45686006546,"room, get, i, worker, love, tri, prison, too, night, felt",0.0395635154316,0.0395635154316,0.0,1.0,17.3,0.151466561554,0.760466308753,0.696203926845,DorothyDay,4,4.3292876831,4.83039098382
116,DorothyDay_test2,10,6.25869703293,"too, am, worker, room, get, night, morn, bread, go, girl",0.0347257303645,0.0347257303645,0.0,1.0,13.1,0.185476843456,0.752589043963,0.704222741142,DorothyDay,4,4.0292876831,4.82731256728
125,DorothyDay_test9,10,7.59956288338,"worker, too, get, labor, am, go, farm, i, reader, tamar",0.0379361942736,0.0379361942736,0.0,1.0,14.3,0.182688835681,0.711580752982,0.603151790377,DorothyDay,4,4.4292876831,4.67209422429
126,DorothyDay_test10,10,10.9799511433,"negro, prayer, worker, get, room, talk, too, prison, go, say",0.0314322306833,0.0314322306833,0.0,1.0,22.9,0.185453393287,0.803893307281,0.798942364547,DorothyDay,4,4.28117048346,3.66607236759
127,DorothyDay_test0,10,7.00803995132,"get, worker, room, too, peter, tri, want, moscow, love, bed",0.0270811263396,0.0270811263396,0.0,1.0,12.5,0.13153523515,0.686854946879,0.615212039787,DorothyDay,4,4.0292876831,4.43126115856
131,DorothyDay_test22,10,7.55833816528,"worker, get, talk, poverti, say, too, chapter, christ, ask, bed",0.0266277247406,0.0266277247406,0.0,1.0,13.3,0.135545425438,0.680345115515,0.722752430472,DorothyDay,4,4.0292876831,4.40419825483
132,DorothyDay_test17,10,9.87787890434,"worker, hospit, love, get, room, sin, say, too, poverti, peter",0.0294864420016,0.0294864420016,0.0,1.0,16.9,0.132542404527,0.718899738529,0.762678666904,DorothyDay,4,4.0292876831,3.86639137347
133,DorothyDay_test7,10,9.81262588501,"worker, talk, get, too, fr, am, go, i, room, labor",0.0319826060657,0.0319826060657,0.0,1.0,18.3,0.152522124675,0.738523592157,0.739962050872,DorothyDay,4,4.3292876831,3.78947452521
136,DorothyDay_test19,10,9.96126389503,"worker, tri, want, love, too, talk, get, bed, babi, go",0.0281303618695,0.0281303618695,0.0,1.0,22.4,0.166013824524,0.734988463939,0.574709163318,DorothyDay,4,4.0292876831,2.83935461994
142,DorothyDay_test20,10,6.02048683167,"christ, worker, prayer, talk, room, fr, get, labor, maurin, go",0.0330887043256,0.0330887043256,0.0,1.0,11.0,0.159009494784,0.721860363291,0.77553058675,DorothyDay,4,4.0292876831,4.31275556311
143,DorothyDay_test15,10,7.02329707146,"worker, get, i, too, babi, room, cathol, joy, fr, felt",0.0326358167421,0.0326358167421,0.0,1.0,15.4,0.21777966661,0.773501415619,0.68822869943,DorothyDay,4,8.0,5.49456396556
144,DorothyDay_test5,10,8.16683602333,"worker, go, get, farm, feel, job, room, morn, prayer, night",0.0285537775761,0.0285537775761,0.0,1.0,15.3,0.141361581664,0.725451919197,0.72698605068,DorothyDay,4,4.0292876831,3.92869642115
153,Unitarian_test6,10,15.4961118698,"am, say, s, know, love, rememb, i, feel, congreg, let",0.0461391684908,0.0461391684908,0.0,1.0,21.4,0.0984836183616,0.664344943496,0.620483117158,Unitarian,7,4.64039879421,5.26964863992
156,Unitarian_test3,10,13.2714049816,"dream, am, love, know, want, let, say, i, joy, unitarian",0.0468855057019,0.0468855057019,0.0,1.0,23.1,0.136994466437,0.615786782557,0.653731355257,Unitarian,7,5.8292876831,5.6898131658
