,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,8.06458806992,tfidfNoPro (unicode),0.0278514169866,0.0278514169866,0.0,1.0,84.4,0.720196639871,0.784915067583,0.555610223705,DorothyDay,4,2.4,3.12569930317
2,DorothyDay_test1,10,8.36747097969,tfidfNoPro (unicode),0.0251733110655,0.0251733110655,0.0,1.0,81.1,0.766345329999,0.714824807128,0.777484465356,DorothyDay,4,3.4,3.58818209609
9,WBC_test1,10,9.98832893372,tfidfNoPro (unicode),0.024257006838,0.024257006838,0.0,1.0,83.4,0.509246674212,0.764207240329,0.604785709271,WBC,1,1.3,0.945960516115
10,WBC_test0,10,9.46181702614,tfidfNoPro (unicode),0.0275368237791,0.0275368237791,0.0,1.0,72.2,0.533938452451,0.745906084549,0.646655390353,WBC,1,2.2,1.640787599
13,Bahai_test0,10,2.94498705864,tfidfNoPro (unicode),0.0192473628738,0.0192473628738,0.0,1.0,19.1,0.57583236122,0.733515960769,0.762485764712,Bahai,6,5.0,5.24633207682
15,Bahai_test1,10,3.33984494209,tfidfNoPro (unicode),0.0210921490053,0.0210921490053,0.0,1.0,23.0,0.580670314358,0.751878411883,0.741869175471,Bahai,6,4.5,5.21142439668
17,IntegralYoga_test1,10,4.74186491966,tfidfNoPro (unicode),0.0208706289851,0.0208706289851,0.0,1.0,65.9,0.710816800369,0.698127069587,0.824113020059,IntegralYoga,7,3.7,3.40283350943
19,IntegralYoga_test0,10,3.77039694786,tfidfNoPro (unicode),0.0287100457685,0.0287100457685,0.0,1.0,49.0,0.638788044744,0.702308345843,0.660561429125,IntegralYoga,7,5.9,5.54972475719
23,ISIS_test1,10,8.32399296761,tfidfNoPro (unicode),0.0147831457808,0.0147831457808,0.0,1.0,62.9,0.753207943019,0.757758115772,0.845501579753,ISIS,1,3.3,2.56029206512
25,ISIS_test0,10,14.6586120129,tfidfNoPro (unicode),0.0143911658327,0.0143911658327,0.0,1.0,89.4,0.682220523109,0.79830723725,0.786185227712,ISIS,1,1.9,2.17062398996
27,Rabbinic_test0,10,7.54291796684,tfidfNoPro (unicode),0.0304972086064,0.0304972086064,0.0,1.0,57.8,0.728600142017,0.705338366342,0.695863727233,Rabbinic,6,5.5,5.56680530533
30,SeaShepherds_test0,10,2.4781870842,tfidfNoPro (unicode),0.0296054929606,0.0296054929606,0.0,1.0,16.3,0.596268756677,0.74409142864,0.740778760308,SeaShepherds,2,5.0,3.99015832911
