,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,11.8590600491,"s, don, ask, t, love, get, want, dad, let, pay",0.053434974321,0.053434974321,0.0,1.0,158.0,0.619130517524,0.608677149569,0.743109326341,Shepherd,4,4.0,4.28590127528
4,Shepherd_test9,10,10.1168677807,"s, christ, god, don, t, jesus, get, want, ill, know",0.0532532600475,0.0532532600475,0.0,1.0,147.7,0.569967852489,0.643877134524,0.701774997122,Shepherd,4,4.3,4.24127084522
6,Shepherd_test21,10,9.79060292244,"christ, s, know, sin, want, get, don, god, elder, rememb",0.0459629155337,0.0459629155337,0.0,1.0,129.3,0.652913550815,0.612042675937,0.734474742939,Shepherd,4,4.6,4.35586030126
7,Shepherd_test0,10,11.5432698727,"s, love, christ, ask, ill, know, get, want, god, said",0.0494284253204,0.0494284253204,0.0,1.0,159.4,0.581236297483,0.573335800202,0.648606773351,Shepherd,4,4.0,3.90138182455
10,Shepherd_test10,10,11.8218529224,"s, ask, love, don, want, get, said, t, know, friend",0.0510862826392,0.0510862826392,0.0,1.0,155.4,0.599787939091,0.639433539108,0.524085326938,Shepherd,4,4.0,4.268160077
17,Shepherd_test20,10,11.2540979385,"s, get, rememb, walk, troubl, don, sin, god, want, ill",0.0465953290849,0.0465953290849,0.0,1.0,155.4,0.666109590561,0.636058723889,0.606456865355,Shepherd,4,5.5,4.98845846754
18,Shepherd_test6,10,12.284528017,"s, pray, get, don, love, christ, prayer, t, ill, preacher",0.0557496091427,0.0557496091427,0.0,1.0,164.6,0.619691672343,0.59157683355,0.601976700664,Shepherd,4,4.0,4.10337461427
22,Shepherd_test16,10,13.4622797966,"s, trust, get, don, t, say, want, thing, judg, said",0.0511229761158,0.0511229761158,0.0,1.0,180.0,0.569145365594,0.603004217076,0.606978529139,Shepherd,4,4.0,3.87922144634
25,Shepherd_test19,10,11.6043560505,"s, get, god, sin, want, pray, ask, don, said, prayer",0.0511087242812,0.0511087242812,0.0,1.0,159.6,0.591201806773,0.610775749009,0.627699483996,Shepherd,4,4.0,4.02477001461
32,Shepherd_test14,10,11.8642940521,"s, christ, get, want, ill, god, t, don, preach, whi",0.0484374126664,0.0484374126664,0.0,1.0,158.2,0.584557686436,0.603473726336,0.549794797325,Shepherd,4,4.0,3.91178764179
33,Shepherd_test4,10,10.3994350433,"s, sin, don, get, christ, ask, t, want, know, said",0.0538186539193,0.0538186539193,0.0,1.0,163.9,0.620610773875,0.563927534285,0.592416080836,Shepherd,4,4.0,3.90562973844
34,Shepherd_test8,10,12.6570270061,"s, god, get, christ, pray, sin, rememb, ask, say, grace",0.0440940067718,0.0440940067718,0.0,1.0,156.1,0.608465140948,0.568798232934,0.622663119048,Shepherd,4,4.0,3.84533763057
36,Shepherd_test3,10,10.7094039917,"s, get, jesus, christ, said, sin, ask, ill, don, know",0.0512239956141,0.0512239956141,0.0,1.0,152.4,0.604237398082,0.56480994362,0.588854315125,Shepherd,4,4.0,3.93447735857
39,Shepherd_test13,10,11.9987330437,"s, thank, don, get, god, rememb, ask, ill, christ, want",0.0512366957401,0.0512366957401,0.0,1.0,173.9,0.579539208873,0.616242449386,0.767448046468,Shepherd,4,4.0,3.99538508814
46,Shepherd_test1,10,11.1368730068,"s, christ, love, don, get, want, t, ill, know, let",0.0554536036611,0.0554536036611,0.0,1.0,166.8,0.571128008745,0.631798535871,0.775867336091,Shepherd,4,4.0,4.08646285825
50,Shepherd_test11,10,12.0164351463,"s, walk, get, don, ill, god, know, said, want, devil",0.0491504737827,0.0491504737827,0.0,1.0,165.5,0.641175041933,0.636055764562,0.630338376402,Shepherd,4,4.9,4.98075853144
51,Shepherd_test2,10,12.4717841148,"s, christ, don, get, god, want, lord, ask, said, worship",0.051767350466,0.051767350466,0.0,1.0,186.3,0.585123865618,0.56384851121,0.601544437601,Shepherd,4,4.0,3.99033093216
57,Shepherd_test18,10,10.5638890266,"christ, sin, rememb, don, s, thank, get, said, know, ill",0.0439015791659,0.0439015791659,0.0,1.0,145.0,0.611046053499,0.617158775619,0.587150247264,Shepherd,4,4.0,3.92229362174
60,Shepherd_test7,10,10.7747149467,"s, ask, get, worship, don, love, pray, t, said, christ",0.0510447714346,0.0510447714346,0.0,1.0,165.4,0.622310903137,0.65205064119,0.743440239902,Shepherd,4,4.6,5.13581744092
65,Shepherd_test17,10,11.0315129757,"s, get, christ, want, don, god, t, know, thing, said",0.04905769229,0.04905769229,0.0,1.0,156.1,0.61667600439,0.628899281819,0.634113091774,Shepherd,4,4.0,4.47957003731
71,Shepherd_test12,10,11.1047780514,"s, get, know, don, want, god, t, christ, jesus, ask",0.0450451689828,0.0450451689828,0.0,1.0,158.7,0.63362546085,0.62197311697,0.710844874993,Shepherd,4,4.0,4.28772390201
