,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,15.2292017937,"get, worker, say, love, talk, too, want, room, go, tri",0.0266271034278,0.0266271034278,0.0,1.0,74.7,0.704991900166,0.752354100134,0.738626403832,DorothyDay,4,4.3,5.18503961822
2,DorothyDay_test1,10,15.1945800781,"worker, priest, talk, love, christ, labor, tri, factori, too, thing",0.026810930145,0.026810930145,0.0,1.0,76.4,0.682446429076,0.768180621214,0.781155467371,DorothyDay,4,3.7,4.07753751766
9,WBC_test1,10,16.5063869953,"shall, unto, lord, ye, s, thou, wit, ie, thi, god",0.0215314203242,0.0215314203242,0.0,1.0,75.7,0.49687545117,0.802990756651,0.930105743102,WBC,1,1.6,1.17794714471
10,WBC_test0,10,14.8152258396,"unto, shall, ye, s, god, thou, say, hell, ie, preach",0.0278525995634,0.0278525995634,0.0,1.0,79.4,0.521052027973,0.716725685644,0.843543356946,WBC,1,1.1,1.09224088271
13,Bahai_test0,10,4.21409201622,"baha'i, abdu'lbaha, prejudic, baha'u'llah, sick, love, perfect, evil, weak, talk",0.0198617880564,0.0198617880564,0.0,1.0,15.1,0.498251451025,0.71916779326,0.660086417956,Bahai,6,3.3,4.42172706843
15,Bahai_test1,10,4.40362215042,"baha'i, baha'u'llah, abdu'lbaha, prophet, realiti, spirit, p, divin, mankind, —",0.0191125842109,0.0191125842109,0.0,1.0,15.9,0.5590775857,0.698047268058,0.66349295403,Bahai,6,4.8,5.29738645395
17,IntegralYoga_test1,10,6.4188849926,"mind, yoga, don't, guru, ask, get, say, babi, let, medit",0.0249139963288,0.0249139963288,0.0,1.0,56.6,0.673685972032,0.676273117816,0.645760957382,IntegralYoga,7,6.8,6.28099213533
19,IntegralYoga_test0,10,7.74320101738,"mind, yoga, om, feel, arjuna, want, whi, krishna, vibrat, breath",0.0227667894453,0.0227667894453,0.0,1.0,67.7,0.625557222684,0.694466574967,0.761375019241,IntegralYoga,7,5.2,4.70696604158
23,ISIS_test1,10,15.0171220303,"allah, crusad, ﻿, syrian, abū, wa, sallam, alayhi, sallallāhu, dollar",0.0159024543396,0.0159024543396,0.0,1.0,51.3,0.666310039288,0.769536133454,0.594025075326,ISIS,1,5.6,3.03805649592
25,ISIS_test0,10,20.261318922,"allah, ﻿, prophet, ibn, wa, mubāhalah, mujāhidīn, sallallāhu, alayhi, sallam",0.0159127480225,0.0159127480225,0.0,1.0,69.3,0.709243309494,0.759180865817,0.723634564453,ISIS,1,3.3,2.10416806487
27,Rabbinic_test0,10,11.7174320221,"jew, jewish, jewri, bless, evil, ben, rabbi, israel, rebecca, moment",0.0304126945583,0.0304126945583,0.0,1.0,61.6,0.696602359398,0.725737253536,0.675184650247,Rabbinic,6,6.6,5.1433010611
30,SeaShepherds_test0,10,3.76603007317,"shepherd, whale, illeg, danish, net, crew, save, dolphin, totoaba, vaquita",0.0214040607102,0.0214040607102,0.0,1.0,15.0,0.635103417469,0.786958770208,0.542360189302,SeaShepherds,2,6.3,4.25149255895
