,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,7.64340996742,"worker, labor, maurin, want, get, too, peter, love, talk, christ",0.0276280581017,0.0276280581017,0.0,1.0,73.7,0.70667584701,0.770030904167,0.781663138837,DorothyDay,4,3.0,3.34285592618
2,DorothyDay_test1,10,7.90968704224,"worker, get, bread, love, priest, christ, poverti, tri, too, say",0.0256218090978,0.0256218090978,0.0,1.0,71.0,0.712329304951,0.673115506352,0.731948483023,DorothyDay,4,5.2,6.13734041333
9,WBC_test1,10,9.30348515511,"unto, shall, ye, s, god, lord, hath, ie, christ, sermon",0.025233575597,0.025233575597,0.0,1.0,71.4,0.502483452311,0.743334177148,0.693571676383,WBC,1,2.9,1.77792838001
10,WBC_test0,10,9.884111166,"shall, unto, s, god, ie, belov, thee, lord, wit, ye",0.0265769994241,0.0265769994241,0.0,1.0,76.2,0.526406644832,0.754245633127,0.645613708436,WBC,1,2.5,1.87925888796
13,Bahai_test0,10,3.45898413658,"baha'i, abdu'lbaha, courag, baha'u'llah, spirit, realiti, prophet, p, uniti, faith",0.0177388757828,0.0177388757828,0.0,1.0,21.9,0.586545552736,0.729107723111,0.694511474817,Bahai,6,3.6,4.81857359822
15,Bahai_test1,10,3.17773103714,"thi, baha'i, thou, baha'u'llah, prejudic, abdu'lbaha, thee, fear, spirit, sick",0.020812120865,0.020812120865,0.0,1.0,17.7,0.571811036983,0.761907039193,0.755901261891,Bahai,6,4.9,4.45418442054
17,IntegralYoga_test1,10,4.53123998642,"mind, yoga, don't, want, happi, medit, everyth, should, say, sutra",0.0242775031154,0.0242775031154,0.0,1.0,61.4,0.705446126934,0.672555194284,0.679604799753,IntegralYoga,7,6.1,6.94275283023
19,IntegralYoga_test0,10,3.65976214409,"yoga, mind, self, sutra, fruit, asana, medit, want, conscious, patanjali",0.0191701691736,0.0191701691736,0.0,1.0,42.0,0.626826272548,0.666652051471,0.726810331668,IntegralYoga,7,5.8,5.69573581195
23,ISIS_test1,10,16.8757750988,"allah, ibn, wa, tandhīm, sallam, abū, alayhi, sallallāhu, ﻿, prophet",0.0152372317874,0.0152372317874,0.0,1.0,106.1,0.724656003291,0.878522737111,0.743585888296,ISIS,1,2.0,1.58795249861
25,ISIS_test0,10,8.40559887886,"allah, ibn, wa, alayhi, ﻿, sallam, mujāhidīn, sallallāhu, crusad, kuffār",0.0185909126134,0.0185909126134,0.0,1.0,63.1,0.69513239819,0.782561149031,0.732435378072,ISIS,1,2.2,1.76683644826
27,Rabbinic_test0,10,8.27614593506,"israel, bless, jewish, evil, jewri, torah, cave, jew, bar, yochai",0.027365885519,0.027365885519,0.0,1.0,59.4,0.723831076062,0.770364516725,0.84055353981,Rabbinic,6,3.3,3.33561852169
30,SeaShepherds_test0,10,2.62957811356,"shepherd, whale, costa, danish, greenpeac, illeg, crew, rican, coco, boat",0.0286690421856,0.0286690421856,0.0,1.0,19.4,0.569582441473,0.700519086812,0.617392841617,SeaShepherds,2,6.6,6.0099116588
