,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
2,PastorAnderson_test5,5,24.2078239918,"s, re, say, nt, get, go, know, want, bibl, vers",0.0268384434653,0.0181299064157,1.0,0.0,649.0,0.643266682276,0.688098008385,0.68116473366,PastorAnderson,2,2.5,1.90767685939
7,PastorAnderson_test7,5,21.6708080769,"s, nt, re, say, get, bibl, go, unto, god, know",0.0248725692272,0.0215777826898,0.6,0.4,509.6,0.775494512608,0.690331230576,0.764488572692,PastorAnderson,2,2.0,2.20836420431
13,PastorAnderson_test1,5,24.5696508884,"s, nt, re, say, get, go, want, bibl, let, whi",0.0280495039866,0.0184191973419,0.8,0.2,598.4,0.724539350951,0.736299736515,0.574906889134,PastorAnderson,2,2.1,2.18321330551
14,PastorAnderson_test11,5,24.7184619904,"s, nt, re, say, get, bibl, vers, go, unto, know",0.0272182490402,0.0236105192743,0.6,0.4,582.2,0.765793567455,0.671835754191,0.68448374548,PastorAnderson,2,2.0,2.24849504544
16,PastorAnderson_test8,5,23.4248650074,"s, re, say, go, bibl, nt, shall, get, vers, let",0.0239747798561,0.0163282521957,1.0,0.0,510.0,0.635113725648,0.773910900966,0.814607481507,PastorAnderson,2,2.6,2.72196193247
20,PastorAnderson_test4,5,36.8788740635,"s, say, re, get, repent, nt, sin, bibl, pray, let",0.0275939353674,0.019662758687,0.6,0.4,533.6,0.591966127591,0.707989992501,0.706965575081,PastorAnderson,2,2.0,2.12817344047
21,PastorAnderson_test3,5,38.2102119923,"s, re, nt, get, say, go, save, bibl, know, vers",0.031262004906,0.0140705753023,1.0,0.0,532.4,0.776454771785,0.677777521412,0.704739240053,PastorAnderson,2,2.5,2.65279627892
22,PastorAnderson_test13,5,42.5728681087,"s, say, re, go, nt, bibl, vers, get, let, know",0.0229237487293,0.0160301187794,1.0,0.0,546.8,0.659452762666,0.688908302451,0.639848419497,PastorAnderson,2,2.2,2.24432494409
29,PastorAnderson_test6,5,42.8249819279,"re, s, nt, say, go, get, bibl, want, finish, know",0.0238530962082,0.0183565449791,0.8,0.2,596.4,0.67734815696,0.733440855943,0.735814794775,PastorAnderson,2,2.2,1.44373087405
34,PastorAnderson_test0,5,39.2407150269,"nt, re, s, get, say, go, preach, want, bibl, know",0.0293428636409,0.0172207856422,0.8,0.2,594.4,0.780052960556,0.697279251536,0.749541800774,PastorAnderson,2,2.0,2.14017953933
35,PastorAnderson_test10,5,42.6986579895,"s, re, nt, say, get, husband, go, bibl, let, know",0.0286787388981,0.0173765348214,1.0,0.0,718.0,0.572154986326,0.725402556627,0.786259238283,PastorAnderson,2,2.2,2.37890163376
40,PastorAnderson_test2,5,40.818778038,"s, re, say, nt, go, get, save, know, sorrow, let",0.0278734433263,0.0266206135363,0.6,0.4,601.4,0.673258474673,0.670225750231,0.695405955397,PastorAnderson,2,2.4,2.5129415219
