,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,toBeFrac,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,14.0029838085,"s, sin, christ, ask, get, ill, want, god, whi, said, don, worship, let, preacher, know",0.0348970683047,0.02516001674,0.8,0.2,0.0720520846975,0.655169020791,0.666225345614,0.643839772726,Shepherd,4,4.0,3.99396322837
4,Shepherd_test9,10,16.9011650085,"s, christ, don, sin, pray, get, want, preach, t, preacher, worship, said, ask, evil, god",0.0292841810037,0.0251535936534,0.6,0.4,0.050067295103,0.556733433967,0.662860066013,0.605158164429,Shepherd,4,3.7,3.91058066293
5,Shepherd_test0,10,14.6238341331,"pray, s, christ, prayer, thank, get, ask, god, don, say, said, worship, know, wisdom, ill",0.034143467836,0.0204741248481,0.8,0.2,0.0717623862587,0.597587503512,0.659392629427,0.55686200884,Shepherd,4,4.0,4.01214408774
8,Shepherd_test10,10,13.4572939873,"trust, get, s, don, rememb, christ, god, lord, bless, ill, say, want, will, t, promis",0.0390496822741,0.0241540798228,0.8,0.2,0.0797745823818,0.63672863088,0.649934945298,0.624820261201,Shepherd,4,4.0,3.84186961762
14,Shepherd_test20,10,14.5554611683,"s, sin, christ, don, prayer, want, get, pray, ask, t, god, whi, said, bad, ill",0.033936293614,0.0262496931108,0.7,0.3,0.0690325005938,0.57794055058,0.694874355378,0.609967905442,Shepherd,4,4.0,3.90150550904
15,Shepherd_test6,10,15.5167109966,"s, don, want, get, said, let, ill, t, know, god, grace, ask, worship, christ, better",0.0359316632212,0.0240901947412,0.8,0.2,0.0597687083785,0.588719831768,0.646519963524,0.583745086885,Shepherd,4,4.0,3.87381725902
20,Shepherd_test16,10,15.1420300007,"s, get, christ, don, ill, want, said, ask, t, evil, know, jesus, go, god, someon",0.026790053001,0.0237852484868,0.6,0.4,0.0601268080192,0.615301405311,0.650949995343,0.704855355631,Shepherd,4,2.0,3.67137076183
22,Shepherd_test19,10,14.8051788807,"s, christ, get, don, god, trust, ill, let, know, said, preach, i, tell, ask, say",0.0334761037083,0.0221471602346,0.9,0.1,0.0781362032155,0.633032640557,0.650309345762,0.546969499528,Shepherd,4,4.0,3.98894483585
29,Shepherd_test14,10,13.9724020958,"s, don, christ, judg, get, t, know, ill, want, ask, go, thing, said, i, jesus",0.0292381070755,0.0221552258309,0.6,0.4,0.0634467756834,0.575875874938,0.703609966659,0.690131726877,Shepherd,4,3.4,3.197485385
30,Shepherd_test4,10,14.1154868603,"s, walk, don, pray, love, christ, ask, get, t, god, want, thing, rememb, said, know",0.0373075972439,0.0219809534466,0.9,0.1,0.0645379835845,0.612789718408,0.670957138132,0.68793957584,Shepherd,4,4.0,4.04271948029
31,Shepherd_test8,10,14.1537461281,"s, christ, get, know, god, sin, said, jesus, ill, don, want, ask, t, love, thing",0.0306249431446,0.0205287409211,1.0,0.0,0.0674378630873,0.613419063545,0.711881595263,0.647635590841,Shepherd,4,4.0,3.89990137717
33,Shepherd_test3,10,14.8720378876,"s, don, get, t, want, ill, ask, pray, said, car, thing, sin, bless, christ, got",0.034694690083,0.0218962637566,0.8,0.2,0.0667895026928,0.574615614561,0.639945599075,0.662074159048,Shepherd,4,4.0,4.09989467149
