,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,15.0188570023,"s, god, don, love, get, want, t, judg, rememb, ask, grace, someon, christ, know, ill, thing, preacher, pray, let, jesus",0.0355534847283,0.0199963245613,0.9,0.1,0.557944266323,0.65905303781,0.596344188392,Shepherd,4,4.00384615385,3.87213657744
4,Shepherd_test9,10,19.6710169315,"s, get, god, christ, ill, don, want, know, grace, t, said, go, preacher, jesus, judg, heaven, sin, ask, i, preach",0.0345266720492,0.0204096503084,0.9,0.1,0.583516490255,0.677469590717,0.662026847051,Shepherd,4,4.00384615385,3.94085268553
5,Shepherd_test0,10,25.1577999592,"pray, s, christ, let, get, prayer, ask, want, don, mind, go, listen, god, tell, know, i, whi, said, ill, do",0.0305704388273,0.0198861191487,0.9,0.1,0.662369062177,0.689071959958,0.668940910864,Shepherd,4,5.04225970108,4.15588009584
8,Shepherd_test10,10,22.4119570255,"s, don, sin, bad, get, t, god, want, bless, christ, evil, lord, whi, ill, heaven, must, said, good, do, done",0.0382982400099,0.0260012737339,0.8,0.2,0.585845866256,0.709251559936,0.658583280779,Shepherd,4,4.4,4.257499618
14,Shepherd_test20,10,24.0497908592,"s, christ, get, ask, preacher, don, god, love, want, ill, jesus, rememb, said, let, sin, t, yes, worship, know, lord",0.0329367921954,0.0213171773924,0.9,0.1,0.598502043251,0.688424470874,0.714094091067,Shepherd,4,4.29222999223,3.89001604128
15,Shepherd_test6,10,24.0749819279,"s, don, know, sin, christ, t, god, love, get, jesus, ask, ill, said, think, thing, want, i, happen, someth, hope",0.0331269545442,0.0272927885298,0.7,0.3,0.612054695617,0.681924016957,0.586321556423,Shepherd,4,4.00384615385,4.06676841547
20,Shepherd_test16,10,23.9771120548,"get, s, want, don, ill, car, t, said, sin, think, worship, someth, thing, preacher, know, go, got, say, bless, ask",0.0291783002915,0.0252448555031,0.8,0.2,0.603153096373,0.677254873271,0.60095355788,Shepherd,4,5.58261904762,4.72694279615
22,Shepherd_test19,10,27.6914129257,"s, don, get, christ, ask, sunday, t, know, ill, said, want, re, i, whi, disagr, sin, better, god, think, thing",0.0315552412835,0.0214403687703,0.8,0.2,0.596580718297,0.678505550669,0.630054969947,Shepherd,4,4.23717948718,4.15751917051
29,Shepherd_test14,10,26.1737411022,"s, want, get, don, sin, christ, know, god, ill, wisdom, t, said, love, say, lord, sunday, ask, wait, preacher, thing",0.031377301774,0.0238762354321,0.8,0.2,0.628644402715,0.701338032839,0.689393459816,Shepherd,4,4.84829059829,4.48591652499
30,Shepherd_test4,10,24.0885710716,"s, christ, want, don, lord, ask, said, ill, get, love, worship, bless, preacher, thing, know, i, whi, faith, trust, think",0.0378342396951,0.0178615692548,1.0,0.0,0.620743592599,0.652893444242,0.706799360321,Shepherd,4,4.32727272727,3.89403433523
31,Shepherd_test8,10,23.9514489174,"s, get, don, want, know, happen, pray, t, thing, say, god, wisdom, ask, sin, let, said, ill, lord, spirit, go",0.0366087126476,0.0235620732884,0.9,0.1,0.630188867448,0.705467997244,0.539200965304,Shepherd,4,4.0,4.13076265029
33,Shepherd_test3,10,26.2386438847,"christ, s, don, get, sin, want, ask, ill, know, said, jesus, t, i, preacher, go, tell, whi, say, god, will",0.027889575109,0.0277048738555,0.6,0.4,0.64221344633,0.679204461522,0.605204537034,Shepherd,4,4.3049719888,4.22972347753
36,Shepherd_test13,10,25.8663060665,"get, s, sin, god, pray, want, don, know, ask, christ, thing, grace, t, whi, lord, ill, said, better, elisha, go",0.0310969075368,0.023636687053,0.7,0.3,0.600867226976,0.662147848107,0.703183607108,Shepherd,4,5.13717948718,4.11654081468
44,Shepherd_test21,10,27.8633220196,"s, don, want, get, ask, christ, t, god, sin, ill, lord, know, jesus, thing, said, i, let, say, heaven, go",0.0343855106676,0.0219302359902,0.9,0.1,0.636263742314,0.648299059559,0.620956183449,Shepherd,4,4.00384615385,4.04048314718
45,Shepherd_test1,10,26.5020318031,"s, get, god, don, sin, love, prais, grace, bless, said, thank, christ, ask, t, ill, jesus, i, lord, know, got",0.0369224427482,0.0260096562938,0.7,0.3,0.58826412401,0.670954736738,0.642245852258,Shepherd,4,3.7,3.88287553932
49,Shepherd_test11,10,28.6104359627,"s, don, get, christ, t, ill, sin, go, said, preacher, want, ask, know, someon, i, someth, thing, say, sunday, let",0.027965191683,0.0273734532605,0.5,0.5,0.586127825649,0.656455657489,0.625185494688,Shepherd,4,2.5,3.71395271843
55,Shepherd_test18,10,26.255726099,"s, get, sin, don, re, ask, christ, evil, t, ill, i, want, someth, look, thing, prayer, god, know, ve, do",0.0307422168286,0.0284298837996,0.6,0.4,0.620024078452,0.67153835699,0.628052543199,Shepherd,4,3.46813186813,4.19194714484
58,Shepherd_test7,10,25.1801888943,"s, don, get, god, christ, t, said, ill, wrath, happen, ask, know, want, thing, say, preacher, i, go, joy, someth",0.0295808436623,0.0272654241395,0.6,0.4,0.564511164334,0.638121401101,0.644236786168,Shepherd,4,3.72261904762,4.34454675491
63,Shepherd_test17,10,30.3646349907,"s, ill, don, ask, bless, god, said, get, fear, know, t, christ, thank, want, grace, i, superstit, afraid, say, someon",0.0325022440924,0.0249333892575,0.6,0.4,0.543726648161,0.661068775049,0.704159015527,Shepherd,4,4.60384615385,3.72460153489
66,Shepherd_test2,10,26.5656290054,"s, don, get, want, t, ask, christ, know, pray, preacher, i, said, god, evil, lose, thing, ill, better, lord, do",0.0330268630554,0.0234073840317,0.8,0.2,0.653569122186,0.639147965475,0.645435854406,Shepherd,4,4.15384615385,4.34224870338
71,Shepherd_test12,10,26.0745630264,"s, sin, christ, evil, god, ask, get, love, happen, ill, said, don, want, got, know, whi, i, pray, heaven, t",0.037584360254,0.0232333129157,0.9,0.1,0.602032892778,0.665539796649,0.660745328018,Shepherd,4,4.0,3.8913474515
72,Shepherd_test5,10,26.7183730602,"s, get, ask, christ, don, pray, god, ill, know, prayer, preach, jesus, want, do, t, said, heaven, whi, i, thing",0.0319905326041,0.0208988374951,0.7,0.3,0.613071002302,0.64267074012,0.643767068177,Shepherd,4,4.23717948718,4.04185910869
73,DorothyDay_test8,10,13.0790951252,"worker, too, fr, get, ask, say, room, fear, prayer, priest, talk, pray, go, love, night, farm, joe, feel, retreat, am",0.0240793071244,0.0210706668131,0.6,0.4,0.702192899138,0.762086695799,0.706897443735,DorothyDay,4,4.02690459849,4.0900489324
75,DorothyDay_test13,10,12.0657877922,"love, get, tri, go, too, walk, tamar, peter, pray, worker, morn, street, happi, job, prayer, feel, poverti, sit, say, farm",0.0293670806355,0.0244854455375,0.7,0.3,0.662849123876,0.748598498866,0.676837855641,DorothyDay,4,5.07567091353,3.91595465396
