,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
1,DorothyDay_test0,10,16.0628790855,"we, car, my, me, our, love, worker, get, am, pay, go, christ, you, tax, farm, put, let, got, i, too",0.0220169985132,0.025616110506,0.5,0.5,0.499849098643,0.679155119114,0.0211422112891,0.00299182235224,0.016953659996,0.0109700152915,0.0111029851739,0.00392261152849,0.00957383152716,0.782895776001,0.644908093264,DorothyDay,4,5.5,3.54470369914
3,DorothyDay_test1,10,16.1268458366,"we, worker, our, me, my, priest, pray, strike, too, bishop, say, christ, fr, tri, rememb, bomb, us, love, seattl, get",0.0248912890776,0.0247649818832,0.6,0.4,0.365959193395,0.642449531829,0.0194562725188,0.00150671470685,0.00936783491648,0.011464133639,0.0173599737963,0.00255486406813,0.011464133639,0.720331862909,0.627509388434,DorothyDay,4,4.4,4.16076804667
6,PastorAnderson_test0,10,114.91464901,"you, s, say, re, nt, we, your, get, bibl, go, want, me, vers, unto, my, look, sin, whi, save, know",0.0248478142973,0.0212605351094,0.9,0.1,0.488240862522,0.617165080233,0.0134713413685,0.026979289643,0.0217536538268,0.0163083765752,0.0164548041988,0.00130869688567,0.0179190804345,0.708403578456,0.800019204703,PastorAnderson,2,1.7,2.16926653553
7,PastorAnderson_test1,10,106.08492589,"you, s, re, nt, say, we, your, get, bibl, sin, me, go, vers, know, talk, christ, repent, let, want, whi",0.0232989629211,0.022657230985,0.7,0.3,0.550288952675,0.668734432216,0.0137889219215,0.0278223282741,0.0213190424034,0.0183950086059,0.0149331090596,0.000664997652949,0.0174366296354,0.725204834876,0.773442098152,PastorAnderson,2,1.5,1.69502150421
10,SeaShepherds_test0,10,6.93186211586,"whale, we, shepherd, seal, danish, greenpeac, slaughter, net, illeg, fish, dog, dolphin, diminish, pilot, me, marineland, crew, our, club, “human",0.0237957311248,0.0347275988165,0.3,0.7,0.38390682768,0.521803228037,0.012987012987,0.00309917355372,0.0103305785124,0.012987012987,0.000442739079103,0.000295159386068,0.00959268004723,0.758621096727,0.705375784086,SeaShepherds,2,4.9,3.18222879751
13,Bahai_test0,10,8.54519701004,"baha'i, we, baha'u'llah, abdu'lbaha, color, uniti, prophet, skin, spirit, my, me, you, christ, our, muhammad, divin, god, everyon, hath, p",0.0225357882266,0.0114979474358,0.8,0.2,0.357611204801,0.583732826404,0.0101034692635,0.00292148508825,0.00839926962873,0.0119293974437,0.0104686548996,0.00279975654291,0.00608642726719,0.705873577267,0.681286725319,Bahai,6,5.2,4.62040825466
16,Bahai_test1,10,9.04787302017,"baha'i, thi, abdu'lbaha, thou, perfect, baha'u'llah, my, thee, love, we, fear, your, you, heaven, god, p, me, talk, creator, uniti",0.0412372944552,0.0206944793387,0.8,0.2,0.395688396741,0.547446550103,0.0086285195277,0.00556312443233,0.00908265213442,0.00851498637602,0.0148728428701,0.000681198910082,0.00851498637602,0.760248338838,0.624725457632,Bahai,6,4.9,5.41985527613
17,JohnPiper_test0,10,28.5169489384,"we, you, vers, your, god, hope, s, our, sin, glori, christ, say, faith, nt, my, will, love, promis, thing, grace",0.0338265569536,0.0228156631775,0.8,0.2,0.543398199822,0.659105068372,0.023218374356,0.0141671436749,0.0102318259874,0.00897967945049,0.0210360618203,0.000465082999428,0.0128434459073,0.645234343323,0.675914499537,JohnPiper,4,4.7,5.09659872262
21,JohnPiper_test1,10,27.233604908,"you, your, we, vers, say, god, love, hope, sin, christ, let, s, our, nt, my, rejoic, husband, me, glori, perfect",0.034920604104,0.0266525700821,0.6,0.4,0.486265672384,0.647374440319,0.0169478758662,0.0192452545948,0.0103570352516,0.00817264236216,0.017437481169,0.00225971678216,0.0126167520337,0.66462552508,0.6936241044,JohnPiper,4,5.0,5.8879360149
24,NaumanKhan_test1,10,67.0867619514,"you, allah, we, your, say, quran, know, talk, get, me, wa, don't, want, go, someth, thing, my, na, messeng, nt",0.0191234013867,0.0154156263502,0.7,0.3,0.612447055345,0.766645681107,0.0164357869106,0.0312428021454,0.0150702510612,0.0203185153499,0.0170938764766,0.000871968674937,0.0179000361949,0.604960195843,0.615373118979,NaumanKhan,3,3.0,3.24732165303
25,NaumanKhan_test0,10,48.252808094,"you, allah, your, know, don't, say, we, get, talk, me, want, my, “, thing, go, you'r, quran, wa, realli, someth",0.0179639454149,0.0200703196337,0.6,0.4,0.648333143294,0.768857446088,0.0131131176551,0.0460093470666,0.0161531829938,0.0190117518944,0.0183084531966,0.000226870547666,0.0148146467626,0.621924774147,0.539124709758,NaumanKhan,3,2.7,3.08172577362
28,WBC_test0,10,34.9351119995,"unto, shall, ye, you, your, we, christ, thou, thi, god, my, sin, thing, lord, thee, me, let, belov, love, s",0.029251668767,0.0272031526819,0.8,0.2,0.486658658127,0.641890026273,0.011584276355,0.0100357355569,0.0113758189398,0.0159023228112,0.0259976176295,0.0011911852293,0.0093210244193,0.720460511654,0.760102653029,WBC,1,1.5,2.38961354487
30,WBC_test1,10,28.7710309029,"shall, unto, ye, s, you, prophet, me, my, lord, wit, christ, sin, heaven, sermon, belov, thou, god, repent, ie, sodomit",0.0284157717347,0.0320848440048,0.4,0.6,0.395380730054,0.544121816196,0.00721318570347,0.00595087820536,0.00991813034227,0.0174919753309,0.0189706784001,0.00310166985249,0.00825909763047,0.74143562122,0.769789672834,WBC,1,1.1,1.76773520594
33,IntegralYoga_test1,10,10.3442258835,"you, your, we, mind, yoga, don't, sri, happi, want, fruit, everyth, should, whi, let, love, spiritu, will, yourself, swami, you'r",0.0362493769123,0.0172470636125,0.9,0.1,0.539146389423,0.643372138713,0.0164304785377,0.0368658862189,0.00503183405217,0.00739371534196,0.0100636681043,0.00174573834463,0.0129390018484,0.673209290091,0.519146798937,IntegralYoga,6,5.9,5.35088948848
36,IntegralYoga_test0,10,9.09884619713,"you, your, yoga, mind, we, self, our, feel, yogi, medit, don't, me, spiritu, nice, realiz, whatev, whi, breath, asana, yogic",0.028387549792,0.0152099844766,0.9,0.1,0.490079099224,0.626799153135,0.0193370165746,0.0355662983425,0.0073664825046,0.00759668508287,0.00448895027624,0.000690607734807,0.0164594843462,0.701025241854,0.643277479864,IntegralYoga,6,6.0,5.96547032222
37,MehrBaba_test0,10,16.2632591724,"baba, master, spiritu, mind, shri, s, discipl, love, me, perfect, saint, my, you, want, we, meher, feel, spirit, meherabad, journey",0.0367767748516,0.0171510581753,1.0,0.0,0.456307673847,0.651277357467,0.00502544529262,0.0030534351145,0.00687022900763,0.0118956743003,0.0181297709924,0.0014631043257,0.0115139949109,0.781537850396,0.730550904296,MehrBaba,8,5.1,5.76072226002
38,MehrBaba_test1,10,14.0151410103,"imperson, realiz, baba, master, perfect, me, discipl, mind, imper, spiritu, real, pure, meher, conscious, self, truth, we, know, love, you",0.0375082092081,0.0142558682134,1.0,0.0,0.490878039013,0.687148825005,0.00614349447817,0.00307174723908,0.0179185255613,0.00702113654648,0.0137497257369,0.00124332626344,0.0176259782052,0.702230843747,0.767156082744,MehrBaba,8,5.5,6.02016610078
43,ISIS_test1,10,32.7787930965,"allah, ibn, you, wa, your, alayhi, sallam, sallallāhu, prophet, faction, ﻿, said, messeng, kufr, rahimahullāh, abū, “the, murji'ah, inde, jihād",0.0182686894925,0.0241067184788,0.3,0.7,0.393030830272,0.718128415526,0.00364298724954,0.00845693468644,0.00426099401509,0.0240697371845,0.0195485297944,9.75800156128e-05,0.00943273484257,0.784899429518,0.816807707351,ISIS,1,1.0,0.899804032802
45,ISIS_test0,10,21.5457971096,"allah, regim, ﻿, camp, faction, you, yarmūk, wa, crusad, khilāfah, jihād, abū, alayhi, sallam, dabiq, sallallāhu, dimashq, your, sahwah, aknāf",0.0145247393739,0.0228748395773,0.1,0.9,0.332813588118,0.643159538911,0.00483878931516,0.00656692835629,0.00365377968696,0.0180713968301,0.0146151187478,0.000296252407051,0.00967757863033,0.794077632579,0.71191341516,ISIS,1,1.0,1.27848087018
50,Unitarian_test0,10,38.8241231441,"we, me, my, you, our, sing, your, am, i, s, tell, feel, unitarian, congreg, know, nt, let, get, yes, wonder",0.0267261331295,0.0202234348266,0.6,0.4,0.467432555356,0.657294263745,0.021160928275,0.00841760682761,0.0256035541007,0.00926521307067,0.011574209388,0.00379961419302,0.00984976910037,0.699028315882,0.514058027273,Unitarian,7,6.2,5.33126434851
51,Unitarian_test1,10,39.490377903,"you, we, fear, my, me, our, your, am, hurt, s, evil, silenc, nt, i, know, get, grief, love, feel, everyon",0.029007637315,0.0329149427249,0.4,0.6,0.473435774748,0.642339911303,0.0190492388809,0.0125577571789,0.0257958443178,0.0125294100972,0.0108002381155,0.00416702100519,0.0122175921989,0.673194554934,0.588598326636,Unitarian,7,6.2,4.23212291759
52,Rabbinic_test0,10,19.575936079,"we, our, you, your, synagogu, my, jew, know, rabbi, ask, me, steinberg, mose, jewish, keter, hope, want, abraham, israelit, ourselv",0.0231918583201,0.0234846443966,0.6,0.4,0.553285859563,0.749343884556,0.0263216471898,0.00862548692265,0.0109627156372,0.00818030050083,0.0105731775181,0.0016694490818,0.0122982749026,0.758685737121,0.756955808473,Rabbinic,6,6.1,5.17303583874
56,Rabbinic_test1,10,24.4420120716,"we, you, our, my, your, me, want, kaplan, moment, know, jew, ask, rabbi, “no, jewish, am, israel, steinberg, get, memori",0.0214337634266,0.0167642487467,0.7,0.3,0.6274980716,0.82012818067,0.0277499316504,0.0108448008749,0.0153558735077,0.00865761414381,0.0130319876059,0.0043288070719,0.0118016950697,0.692462203187,0.625724128632,Rabbinic,6,6.3,5.50642716245
58,MalcolmX_test0,10,55.3501369953,"you, nt, we, s, malcolm, re, negro, get, your, me, ll, our, h, let, go, x, got, want, know, ve",0.0176357843524,0.0175166905492,0.7,0.3,0.566181032604,0.746808844835,0.01642314436,0.0256380284434,0.01642314436,0.0172413793103,0.010851353984,0.00146113383986,0.0147282291058,0.680205414299,0.528826464634,MalcolmX,2,2.8,3.58462791065
