,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,toBeFrac,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,62.9176559448,"s, get, know, ask, don, want, ill, god, love, satan, evil, t, preacher, christ, fear, said, tri, i, sure, woman, let, someon, say, got, sin, walk, thing, go, ve, will",0.034395283616,0.0242224717235,0.9,0.1,0.418108023935,0.0623403874789,0.642429624784,0.0220750551876,0.01788840679,0.0242064398264,0.00860165943518,0.0279363629444,0.00745984623582,0.0133211539925,0.682504717661,0.631678241956,Shepherd,4,4.0,3.98313824056
5,Shepherd_test9,10,61.4655659199,"s, sin, don, christ, ask, want, god, get, worship, know, pray, t, heaven, jesus, prayer, said, i, say, thing, lord, ill, will, save, should, thank, prais, judgment, ignor, must, tell",0.0291216626975,0.0229697891674,0.7,0.3,0.446969603103,0.0906990666303,0.63615472018,0.0221382093133,0.0163946344833,0.0231197062779,0.011814315315,0.0247918862918,0.00399869133738,0.01021483878,0.682162859403,0.691260414656,Shepherd,4,4.0,3.63824696465
6,Shepherd_test21,10,61.5364990234,"s, want, don, get, god, better, ask, t, ill, listen, said, christ, know, pray, i, say, preacher, lord, re, talk, grace, thing, do, whi, someon, ve, sunday, pleas, thank, am",0.0354222623551,0.0200655706004,1.0,0.0,0.423562953345,0.0750774668487,0.627508543579,0.0210976582324,0.0170013775103,0.0238526788951,0.00870006525049,0.0214964112231,0.00431378235337,0.0130863481476,0.692661683287,0.666787784702,Shepherd,4,4.0,4.22794063375
7,Shepherd_test0,10,65.8812658787,"s, love, troubl, want, get, know, christ, god, don, ill, sin, devil, t, elder, someon, satan, said, think, ask, pray, i, let, say, whi, should, happen, jesus, thing, someth, lord",0.0343748187047,0.0214273634778,0.9,0.1,0.37860247824,0.0647875399947,0.578256869211,0.020382029666,0.0164692491018,0.0204887418632,0.00882154163554,0.0270693273575,0.00337921957813,0.0120229075517,0.624647304576,0.580406827481,Shepherd,4,4.0,3.98268540178
10,Shepherd_test10,10,60.1729440689,"love, s, get, god, christ, whi, don, ill, prepar, know, want, heaven, said, go, thing, car, i, think, ask, t, do, got, say, someon, jesus, will, re, merci, sermon, mind",0.0390331114939,0.017183559393,1.0,0.0,0.434849173279,0.0681384753124,0.63263740079,0.0237269855943,0.0180263461983,0.0234188429243,0.00758801325013,0.0226484862491,0.00485324705339,0.0145597411602,0.690691167165,0.633549949176,Shepherd,4,4.0,3.97895701079
16,Shepherd_test20,10,66.0291719437,"s, christ, get, don, want, sin, know, god, love, t, mind, thing, ask, i, ill, said, re, whi, go, preacher, jesus, do, got, pray, think, someth, say, money, good, lord",0.0324956718532,0.0220008934476,0.8,0.2,0.42933609073,0.0628884529185,0.62767291723,0.0200283707106,0.0155701161848,0.0269184004323,0.00888273439611,0.0252296676574,0.00442447987031,0.0149959470413,0.693198542311,0.645381506898,Shepherd,4,4.0,4.07773260375
17,Shepherd_test6,10,64.4919900894,"s, evil, want, get, let, god, christ, don, hope, know, ill, lord, preacher, whi, happen, said, do, t, sin, i, say, talk, thing, ask, someon, must, bad, encourag, will, job",0.0320140665958,0.0234867005587,0.8,0.2,0.436357248121,0.0792769845552,0.634136822579,0.0225029747323,0.0152236298733,0.0238678518933,0.00965913067824,0.0224329810317,0.00409463148317,0.0123888850003,0.702834614158,0.647241374454,Shepherd,4,4.0,3.95911472238
22,Shepherd_test16,10,61.0700008869,"s, christ, don, ask, get, t, ill, said, know, preacher, god, listen, i, jesus, want, think, am, go, whi, evil, didn, thing, will, love, look, do, repli, told, say, thank",0.0300428384158,0.0223971488239,0.8,0.2,0.411806632107,0.0666463083257,0.604200324719,0.0191604118734,0.0162938935616,0.0263644249991,0.00859955493531,0.0255723607287,0.00848640289669,0.00980651001396,0.695100213371,0.60149608634,Shepherd,4,4.0,4.04615730421
24,Shepherd_test19,10,69.6156358719,"s, grace, god, sin, get, christ, walk, don, said, ill, t, ask, love, thing, merci, car, know, go, say, job, learn, want, heaven, someth, i, preach, evil, lord, jesus, happen",0.0398475435915,0.0214398923955,0.9,0.1,0.376133619817,0.0724003683513,0.577897336808,0.0213596151906,0.0139594335497,0.0200477648088,0.00837566012984,0.0233442093579,0.00494466682364,0.0120084765717,0.654319486002,0.566296467347,Shepherd,4,4.0,4.09984799394
31,Shepherd_test14,10,66.8706390858,"s, get, don, rememb, christ, want, jesus, ill, t, thing, know, god, thank, happen, said, ask, do, i, love, preach, weari, sin, worri, say, will, look, pain, idl, lord, go",0.0331072949678,0.0252759623481,0.7,0.3,0.400013853076,0.0591116146749,0.606305527439,0.0264898332512,0.0154436079645,0.0214592274678,0.00844297474143,0.0274044888482,0.00313093646662,0.0113276577781,0.677943499138,0.568449316438,Shepherd,4,4.0,3.77966554111
32,Shepherd_test4,10,67.0280900002,"s, sin, christ, god, don, jesus, get, t, want, ask, ill, said, preacher, know, thing, i, love, yes, didn, lord, will, whi, thank, happen, say, save, everyth, bad, do, heaven",0.0318789057022,0.0240754793952,0.7,0.3,0.367998793282,0.057605497502,0.557278881763,0.0236628050283,0.0147892531427,0.0248600302828,0.01007077714,0.0273249058065,0.00433113842037,0.0111975773795,0.681089122753,0.702396725569,Shepherd,4,4.0,3.87244913485
33,Shepherd_test8,10,64.053347826,"s, get, christ, want, ask, god, sin, don, said, testimoni, preach, ill, thank, hope, go, jesus, lord, know, t, happen, thing, noth, i, whi, say, do, let, job, preacher, told",0.0289978985341,0.0229969624721,0.9,0.1,0.367254232404,0.0681195676963,0.554696278225,0.0172841280678,0.0158108448022,0.0204822307665,0.0089834345467,0.0266268999964,0.00316216896044,0.0109238564088,0.677314334731,0.584973613723,Shepherd,4,4.0,3.8812351062
35,Shepherd_test3,10,68.5727329254,"s, don, get, christ, ill, said, t, want, ask, love, go, i, bless, preacher, ve, thing, know, car, worship, say, lord, didn, re, sunday, better, talk, if, must, brethren, let",0.0328686894387,0.0200140305253,0.8,0.2,0.389556140892,0.066248737426,0.591830559117,0.0237422829371,0.0172074083804,0.0254170497833,0.00965453828977,0.0189150137922,0.00495862340733,0.0114606593984,0.695567037898,0.643141091916,Shepherd,4,4.0,4.45409130447
38,Shepherd_test13,10,63.1866619587,"s, sin, get, know, christ, lord, ask, god, pray, want, say, t, don, i, wisdom, wait, said, ill, encourag, thing, talk, must, do, jesus, rememb, tell, dad, preach, someon, hope",0.0336441897737,0.0262993448952,0.7,0.3,0.432371376322,0.0765623477158,0.64039213274,0.0236956112262,0.0163495950273,0.0266340177058,0.00892823507252,0.0274627990205,0.00512337540026,0.0101714070446,0.641739986225,0.620847853454,Shepherd,4,4.0,4.02186366475
45,Shepherd_test1,10,65.0841610432,"s, christ, ask, god, jesus, don, want, sin, get, t, ill, said, got, lord, go, elisha, thing, think, thank, i, let, whi, know, someth, tri, ve, do, heaven, preach, love",0.0300457349409,0.0234311853206,0.6,0.4,0.365073648505,0.0578303386643,0.57270725784,0.0208318470429,0.0179068274238,0.0203681244203,0.00913176856674,0.0279303702647,0.00445887137048,0.0123421559535,0.713180883413,0.632284252868,Shepherd,4,4.0,3.65934946126
49,Shepherd_test11,10,63.2598779202,"s, christ, sin, god, don, said, forgiv, get, want, ill, know, let, i, thing, t, jesus, ask, say, tri, gospel, whi, heaven, worship, think, am, lord, bad, car, faith, someth",0.0320581417856,0.0229847687342,0.6,0.4,0.397309194272,0.0786421590752,0.612493377807,0.0185478642945,0.0210689332277,0.025642872578,0.00705899301304,0.0266513001513,0.00497010732551,0.0130015126414,0.689864493061,0.608333920528,Shepherd,4,4.0,3.94527466022
55,Shepherd_test18,10,63.374735117,"s, walk, christ, bless, encourag, god, get, trust, bad, don, ill, know, ask, fear, want, lord, let, will, said, do, t, go, i, need, thing, someon, think, tell, barnaba, whi",0.031897538833,0.0244980170948,0.7,0.3,0.374946770189,0.0662113899448,0.575778839269,0.0206384346212,0.0146754266943,0.0199957152039,0.00821252588731,0.0277797614797,0.00335642362351,0.0113904163394,0.688352902381,0.622203256252,Shepherd,4,4.0,3.6785402542
58,Shepherd_test7,10,67.211894989,"s, don, get, t, sin, ill, want, christ, said, christma, i, ask, tell, preach, say, disagr, got, job, better, someon, sigh, whi, anyth, god, wisdom, will, know, am, go, thing",0.0333882170823,0.0239765704991,0.8,0.2,0.362369743311,0.0506610274421,0.558858989846,0.0182517458925,0.0190951722277,0.0287777065551,0.00924395263318,0.0222664552478,0.00458823926318,0.0123140244931,0.645859338948,0.637668151618,Shepherd,4,4.0,4.06004136865
