,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,pronounFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,38.395909071,"sin, s, christ, don, get, know, said, god, ask, ill, t, love, preacher, satan, want, talk, grace, devil, preach, am, say, i, tri, whi, jesus, got, car, someon, go, told",0.0326975162496,0.0256684016251,0.8,0.2,0.413789453581,0.623321981095,0.0160060427307,0.017984317675,0.023739299331,0.00938781382634,0.0291345946335,0.005754981656,0.0114380260413,0.634626167802,0.650203634599,Shepherd,4,4.0,4.15987921631
4,Shepherd_test9,10,35.5730519295,"s, don, walk, get, know, ill, sin, christ, want, t, say, god, someon, thank, said, thing, ask, jesus, lord, let, obvious, rememb, i, hope, whi, go, do, lazi, preacher, talk",0.0295117488778,0.0221096248717,0.8,0.2,0.372972205593,0.589148802263,0.0203203626167,0.0161333691853,0.0213190949948,0.0111397072946,0.0252756117236,0.00434064456651,0.0120616141052,0.653237236519,0.621996840531,Shepherd,4,4.0,3.9936187438
5,Shepherd_test0,10,38.4208269119,"s, get, christ, don, know, want, pray, t, god, mind, said, think, sin, evil, satan, lord, thing, i, will, ask, say, jesus, ill, answer, go, let, should, talk, do, whi",0.0265738853208,0.021326989968,0.7,0.3,0.435677825687,0.628119278101,0.0256228010946,0.0160986531149,0.0240591350084,0.0104125946196,0.0245922029923,0.0050819147802,0.0142506841039,0.620596947751,0.639568029547,Shepherd,4,4.2,3.68592385533
8,Shepherd_test10,10,36.1703219414,"s, don, jesus, sin, god, ask, said, get, thank, know, t, christ, say, ill, judg, want, love, listen, go, merci, will, i, thing, got, re, am, lord, do, heaven, everyth",0.031325922256,0.0241563306493,0.8,0.2,0.392954536573,0.564218120386,0.0178372352285,0.0166109253066,0.0219249349684,0.01044221479,0.0263842437755,0.00301003344482,0.0112969156447,0.670726581334,0.671810371138,Shepherd,4,4.0,3.63268448788
14,Shepherd_test20,10,39.3002839088,"s, christ, get, want, listen, don, know, god, sin, t, thing, ask, ill, fear, let, go, said, lord, someth, do, elder, worship, talk, i, look, should, think, say, someon, prayer",0.0298382684371,0.0212803806014,1.0,0.0,0.412360503311,0.607597778382,0.0225373600083,0.0171977393294,0.022329322839,0.0106792413578,0.0238896016088,0.0039873790784,0.0108872785271,0.697830984145,0.604325695906,Shepherd,4,4.0,4.0681232829
15,Shepherd_test6,10,38.9589848518,"get, s, ask, don, say, know, knock, encourag, want, t, wisdom, jesus, door, said, ill, love, let, sin, god, preach, listen, someon, christ, go, i, do, thing, happen, whi, barnaba",0.0306474288929,0.02524681479,0.8,0.2,0.383331454133,0.596789003638,0.0187594767093,0.0174195140872,0.0212630910822,0.0106491766282,0.0256708628654,0.00768715398992,0.0100497196657,0.654263805967,0.612231353204,Shepherd,4,4.0,4.02858634096
20,Shepherd_test16,10,37.346175909,"s, don, get, want, christ, god, sin, t, ask, said, know, go, evil, better, ill, i, let, preach, preacher, will, jesus, say, love, do, talk, tell, thing, told, lord, wisdom",0.0345710844068,0.0230841839736,0.7,0.3,0.435661003743,0.627673082437,0.020634978098,0.0170510082178,0.0223002570322,0.00850740325091,0.0206711798139,0.00691452774862,0.0113311370959,0.644575215274,0.586636972365,Shepherd,4,4.0,4.07729982576
22,Shepherd_test19,10,38.421227932,"s, don, t, get, know, want, ask, ill, god, said, thing, love, i, christ, say, will, tell, save, jesus, ve, should, job, ll, didn, sin, sermon, preach, let, weak, quak",0.0303994574583,0.0226905483124,0.7,0.3,0.387118852746,0.602639836044,0.02331002331,0.0182176797561,0.0232741617357,0.0094674556213,0.0230948538641,0.00358615743231,0.0119060426753,0.655361903959,0.609488693214,Shepherd,4,4.0,4.13556679964
29,Shepherd_test14,10,36.4408779144,"s, get, want, don, god, prayer, ill, said, pray, ask, t, let, christ, worri, jesus, think, know, i, whi, say, thing, do, got, rememb, didn, go, someon, told, listen, voic",0.0317662126373,0.020903762513,1.0,0.0,0.441288265682,0.658367471852,0.0212613293051,0.0165785498489,0.0229607250755,0.00925226586103,0.0247356495468,0.00464501510574,0.0114048338369,0.637365276124,0.595678045655,Shepherd,4,4.0,4.14038400348
30,Shepherd_test4,10,37.3134109974,"s, get, don, ill, grace, t, christ, ask, said, job, pray, want, go, know, i, got, preacher, ve, thing, sin, someon, do, god, gift, someth, tell, love, lord, jesus, let",0.0365263698521,0.0229886483602,0.7,0.3,0.371677072146,0.566695743266,0.0177557851841,0.0221219618687,0.0254329791879,0.00909620142628,0.0242686654053,0.00534856643866,0.0126619123854,0.661804049525,0.729868623443,Shepherd,4,4.3,4.21314140136
31,Shepherd_test8,10,40.6926059723,"s, get, christ, thing, don, want, god, t, ask, i, ill, sin, whi, said, heaven, know, someth, think, let, got, happi, good, look, say, go, do, hope, preacher, preach, happen",0.0364253661001,0.022454356326,0.8,0.2,0.422896587201,0.66284949474,0.0197539421244,0.0142436319529,0.0246057875585,0.00928781840236,0.0253682204124,0.00769364061688,0.012718766245,0.608607205624,0.64126869573,Shepherd,4,4.0,4.49111553803
33,Shepherd_test3,10,39.5523660183,"s, walk, get, ask, don, want, christ, god, ill, do, said, preacher, let, t, i, know, go, tri, whi, lord, preach, talk, say, should, need, will, sunday, thing, someon, car",0.0307139841298,0.0202488600453,0.7,0.3,0.438890815181,0.619290621613,0.0189916889896,0.0147331547496,0.0258602926025,0.00844838244385,0.0258602926025,0.00343430180644,0.0108180506903,0.64362806404,0.655493592517,Shepherd,4,4.0,3.93773609869
36,Shepherd_test13,10,37.7579810619,"s, christ, god, love, ask, rememb, know, sin, heaven, get, want, ill, said, t, don, jesus, bad, i, say, merci, tell, pray, good, do, someth, got, better, fear, car, scriptur",0.0367608895593,0.0248652621633,0.9,0.1,0.423232433705,0.622662785997,0.0208380265826,0.0174588871367,0.0243298040099,0.0106255162574,0.0243673500038,0.00623263497785,0.0114890741158,0.680861987694,0.674470852765,Shepherd,4,4.0,4.03737685853
