,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,15.3588731289,"you, we, your, s, my, me, get, don, want, our, christ, t, ask, god, know, thing, ill, love, lord, i, sin, too, preacher, lose, let, said, do, go, rememb, someon",0.0318596175331,0.0229002365895,0.7,0.3,0.585242757514,0.644960793783,0.537944856037,Shepherd,4,4.3,4.01871349761
4,Shepherd_test9,10,15.421102047,"we, you, my, s, don, your, me, christ, t, jesus, our, ask, ill, know, sin, want, say, get, said, god, tell, thing, i, love, am, preach, pray, heaven, gospel, re",0.0327663097539,0.0239044756616,0.6,0.4,0.558917187929,0.60380663486,0.586722867146,Shepherd,4,4.3,3.8655247807
5,Shepherd_test21,10,15.824149847,"you, we, your, my, christ, get, me, s, rememb, don, our, ask, ill, know, god, said, happen, t, want, go, say, preach, wisdom, thing, preacher, i, hear, let, someon, thank",0.0320661467475,0.023075182054,0.8,0.2,0.667724138725,0.686556387285,0.611170452516,Shepherd,4,5.5,4.29521993238
6,Shepherd_test0,10,15.4537408352,"you, we, my, me, your, s, get, christ, don, ill, rememb, said, thank, want, listen, know, god, our, i, go, t, jesus, someon, ask, job, bless, pleas, hurt, say, do",0.0332100468357,0.021770829515,1.0,0.0,0.600114437031,0.658030496855,0.64430177387,Shepherd,4,4.31071428571,4.1107001094
9,Shepherd_test10,10,16.4919939041,"we, you, s, my, me, love, your, christ, sin, said, get, our, evil, know, ill, want, ask, god, don, i, say, t, whi, thing, should, someth, forgiv, tell, tri, think",0.0330416807716,0.0289883722259,0.6,0.4,0.61049015771,0.643598245982,0.671210797112,Shepherd,4,3.4,3.54797730551
15,Shepherd_test20,10,15.6149520874,"we, you, me, s, your, my, get, walk, our, sin, god, don, evil, christ, say, ill, go, know, said, jesus, let, whi, t, happen, sunday, lord, i, love, want, thing",0.0326240906378,0.0281579275174,0.6,0.4,0.58884117116,0.652732870987,0.680511381667,Shepherd,4,4.0,3.47543957796
16,Shepherd_test6,10,14.8877899647,"we, you, s, your, my, me, christ, our, don, bless, get, ill, said, want, judg, trust, t, preacher, car, love, go, god, got, ask, thing, ve, i, say, know, do",0.0362687624281,0.0225160799659,0.9,0.1,0.61245286856,0.625814526316,0.565789663084,Shepherd,4,4.0,3.85006599921
21,Shepherd_test16,10,13.9939651489,"we, you, your, s, my, me, thank, troubl, our, get, pray, god, grace, sing, prais, prayer, sin, don, christ, ill, t, lord, bless, prepar, ask, know, commit, said, i, want",0.0343747736555,0.0212312857539,0.8,0.2,0.616670560536,0.681869166334,0.584956115214,Shepherd,4,4.3,3.95996422712
23,Shepherd_test19,10,14.4709999561,"we, you, your, s, me, my, get, our, don, christ, t, ill, happen, want, said, heaven, god, lord, sin, say, ask, us, know, re, didn, will, thing, whi, jesus, put",0.0310624940751,0.024097609876,0.6,0.4,0.565363795162,0.68086493984,0.60013563629,Shepherd,4,4.3,4.19804303268
30,Shepherd_test14,10,14.6937468052,"you, we, your, my, me, s, don, sin, our, god, want, get, ask, christ, ill, said, t, let, i, know, love, someon, go, judgment, thing, will, am, got, save, car",0.0311196637946,0.0253958950469,0.7,0.3,0.610504733258,0.60922931008,0.625799154163,Shepherd,4,4.0,3.79721008222
