,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,pronounFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
3,Shepherd_test15,10,26.6598320007,"we, you, your, me, christ, s, my, get, our, know, god, sin, don, pay, ill, say, preach, judg, said, jesus, want, t, ask, evil, thing, preacher, love, re, will, let",0.0308030495271,0.026128532044,0.6,0.4,0.577737429174,0.648615899745,0.576244864712,Shepherd,4,3.40545454545,3.90740030794
5,Shepherd_test9,10,25.4209189415,"we, you, your, my, s, me, grace, sin, god, our, get, christ, wrath, ask, lord, t, gift, don, want, know, ill, wait, i, jesus, go, someon, said, will, heaven, prais",0.0342034503534,0.0275434573673,0.6,0.4,0.611981333028,0.699915957163,0.647371146106,Shepherd,4,3.41901386749,3.24374940293
6,Shepherd_test21,10,24.9048771858,"we, you, your, my, me, s, don, want, get, bless, evil, god, christ, t, our, know, wisdom, ill, delight, say, someon, rememb, ask, said, will, happi, i, preacher, lord, thing",0.0320880881997,0.023668202273,0.8,0.2,0.618419125705,0.667440332081,0.626654885046,Shepherd,4,4.01901386749,4.09472259611
7,Shepherd_test0,10,26.0921230316,"we, you, my, s, your, me, want, christ, get, ask, don, our, t, job, joy, ill, know, preacher, thing, god, said, jesus, say, i, lord, go, look, should, whi, got",0.0285201556029,0.0187300874562,0.8,0.2,0.607475088121,0.651721797645,0.567852029217,Shepherd,4,4.90545454545,4.80382754717
10,Shepherd_test10,10,27.3588469028,"we, you, your, my, s, get, me, don, sin, want, our, thank, bless, god, say, ill, wisdom, evil, know, t, go, christ, ask, thing, should, whi, someth, happen, let, do",0.0331808559925,0.0259227502061,0.8,0.2,0.643088758411,0.714068996853,0.676809848966,Shepherd,4,4.45055932203,4.08978430065
16,Shepherd_test20,10,27.5437300205,"we, you, your, my, s, me, get, christ, preach, our, don, ill, said, want, t, widow, happen, ask, someth, know, i, thing, say, go, got, evil, do, god, let, ve",0.0312188462825,0.0195179499005,0.9,0.1,0.617742359782,0.62055617106,0.561511028081,Shepherd,4,4.30545454545,4.09349715981
17,Shepherd_test6,10,24.9907920361,"we, you, your, me, s, my, get, don, ask, pray, our, t, want, whi, said, christ, lord, thing, someon, i, do, say, fear, love, jesus, look, good, evil, ill, someth",0.0352380731697,0.0243998116796,0.8,0.2,0.604086179453,0.591199630962,0.514552405468,Shepherd,4,4.00545454545,3.9804169248
22,Shepherd_test16,10,27.8554480076,"you, we, s, your, me, my, get, don, christ, t, love, our, ill, said, thing, know, go, got, want, ask, merci, sin, didn, preacher, confid, say, i, tell, jesus, evil",0.030416468354,0.025156990541,0.7,0.3,0.556906808019,0.668288828853,0.65248054746,Shepherd,4,4.01901386749,4.07838195385
24,Shepherd_test19,10,26.4726109505,"we, you, your, me, get, s, my, don, ask, t, want, our, said, ill, christ, evil, whi, god, i, lord, devil, go, thank, say, think, someth, will, thing, spirit, do",0.0329329000401,0.0249690078906,0.6,0.4,0.558757541311,0.669507049109,0.630496114398,Shepherd,4,3.41901386749,3.79417871907
31,Shepherd_test14,10,25.524353981,"we, you, your, my, s, me, get, don, our, rememb, god, sin, t, go, love, want, christ, ill, ask, trust, pray, thank, said, i, should, ve, someon, know, whi, learn",0.036581660636,0.019107315986,0.9,0.1,0.614701891029,0.642415870134,0.678121634984,Shepherd,4,4.11795454545,3.93992306584
32,Shepherd_test4,10,24.5200760365,"you, we, my, me, your, s, want, don, christ, our, get, heaven, hope, said, ill, know, t, i, god, say, ask, happi, go, jesus, sin, bad, thing, mom, rememb, lord",0.0318442889868,0.0275056448687,0.6,0.4,0.609492968495,0.673812341717,0.651379369416,Shepherd,4,3.41901386749,3.63844109617
33,Shepherd_test8,10,24.1918299198,"we, you, your, me, my, s, prais, christ, don, want, god, know, our, ask, t, get, lord, whi, will, jesus, say, said, everyth, ill, walk, i, merci, heaven, preacher, preach",0.0317347788526,0.0208740661281,0.8,0.2,0.609994944589,0.685493814559,0.65951290674,Shepherd,4,4.09401386749,4.0711625419
35,Shepherd_test3,10,23.4612879753,"we, you, me, pray, my, sin, your, christ, get, know, prayer, ask, s, want, god, our, i, lord, ill, merci, said, dont, do, us, let, preacher, will, troubl, bless, someth",0.0320860137774,0.0259392859834,0.8,0.2,0.696064327998,0.634498116075,0.591402972046,Shepherd,4,4.32545454545,4.43790305319
38,Shepherd_test13,10,25.7214000225,"we, you, s, me, your, my, get, preach, don, christ, our, want, ask, t, said, god, love, ill, know, i, preacher, go, rememb, say, should, whi, look, bless, church, let",0.0326116647362,0.0198785395395,0.9,0.1,0.610646001762,0.633055487248,0.641417574228,Shepherd,4,4.11795454545,3.92151816498
