,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC
0,Shepherd_train32,10,11.5529458523,"s, don, get, ask, christ, god, pray, t, want, ill",0.0529986472868,0.0529986472868,0.0,1.0,13.0,0.0492359276807,0.64666195085,0.744952423174
1,DorothyDay_test8,10,6.75338101387,"worker, labor, farm, talk, room, fr, sunday, get, steel, weav",0.0330487637048,0.0330487637048,0.0,1.0,11.7,0.164440358228,0.719931236149,0.709164329756
2,Shepherd_train27,10,10.0085639954,"sin, s, christ, god, know, get, don, want, jesus, t",0.0459399909395,0.0459399909395,0.0,1.0,16.5,0.0809277607336,0.617736835282,0.670565671582
3,Unitarian_train13,10,11.9919378757,"evil, depress, unitarian, love, am, silenc, want, i, congreg, rememb",0.0394254171183,0.0394254171183,0.0,1.0,18.7,0.116858047143,0.688565353018,0.714889166172
4,NaumanKhan_train5,10,17.7695739269,"allah, say, get, know, talk, want, quran, wa, thing",0.0333310360562,0.0333310360562,0.0,1.0,35.1,0.178556369256,0.73290263949,0.735059336589
5,JohnPiper_train57,9,8.13428020477,"vers, god, christ, spirit, hope, s, nt, say, jesus, glori",0.0256310664787,0.0256310664787,0.0,1.0,14.6666666667,0.101542332296,0.751418406265,0.645589810616
6,JohnPiper_train26,10,9.57843804359,"vers, god, hope, love, s, prayer, say, bless, christ, strive",0.0253343186106,0.0253343186106,0.0,1.0,17.4,0.113903915546,0.702298612244,0.650720535844
7,DorothyDay_train68,10,6.39449691772,"worker, fr, get, room, mroconnel, tri, too, love, farm, say",0.0276630116168,0.0276630116168,0.0,1.0,11.7,0.162247473422,0.730850089611,0.644178771672
8,WBC_test2,10,13.676142931,"shall, unto, prayer, let, s, god, nt, belov, christ, thou",0.025173647056,0.025173647056,0.0,1.0,32.1,0.191467516442,0.725397017957,0.759063324376
9,Shepherd_train44,10,10.9644989967,"s, christ, trust, mind, say, jesus, ill, don, get, god",0.05019806388,0.05019806388,0.0,1.0,15.3,0.0672766464266,0.565859513269,0.617983571348
10,Shepherd_test15,10,10.0367791653,"s, don, get, god, sin, christ, ill, pray, t, want",0.0448458813945,0.0448458813945,0.0,1.0,14.1,0.0701168305565,0.609657237532,0.579571700119
11,DorothyDay_test13,10,7.35582494736,"worker, too, rememb, get, i, priest, love, told, cuba, retreat",0.0322443661669,0.0322443661669,0.0,1.0,16.5,0.19858016596,0.769335520516,0.549554142852
12,PastorAnderson_test5,10,39.8713040352,"s, re, nt, say, get, go, bibl, know, want, preach",0.0607116949048,0.0607116949048,0.0,1.0,58.7,0.0718653123229,0.724805182948,0.717830617274
13,DorothyDay_test3,10,8.37094593048,"worker, too, labor, am, fr, talk, i, go, ask, get",0.0343436044239,0.0343436044239,0.0,1.0,15.0,0.139082040003,0.696728486909,0.657979739073
14,DorothyDay_train29,10,7.15521907806,"worker, talk, farm, peter, want, love, fr, maurin, hospit, tri",0.0311680034746,0.0311680034746,0.0,1.0,17.1,0.2121555475,0.719061844515,0.72408713869
15,Unitarian_train25,10,18.3556890488,"feel, get, nt, i, am, know, want, guilt, s, tell",0.056059185979,0.056059185979,0.0,1.0,29.4,0.108466468268,0.649648451105,0.556440691691
16,JohnPiper_test8,10,9.22955608368,"vers, say, god, s, jesus, nt, coven, christ, glori, etern",0.0274416067729,0.0274416067729,0.0,1.0,21.6,0.13980979165,0.70172330082,0.631756988282
17,DorothyDay_train65,10,6.59811115265,"worker, get, am, job, prayer, maurin, want, labor, floor, too",0.0304402437258,0.0304402437258,0.0,1.0,12.0,0.154571580255,0.707682670756,0.543626744879
18,JohnPiper_train31,10,8.87448716164,"vers, god, christ, s, spirit, say, nt, fellowship, manifest, grace",0.0306998186661,0.0306998186661,0.0,1.0,20.3,0.130463782174,0.701173607343,0.560101821033
