,group,filepath,subgroup
0,ACLU01,./data_dsicap_SINGLE/ACLU01/raw/ACLU01.txt,train
1,ACLU02,./data_dsicap_SINGLE/ACLU02/raw/ACLU02.txt,train
2,ACLU03,./data_dsicap_SINGLE/ACLU03/raw/ACLU03.txt,test
3,ACLU04,./data_dsicap_SINGLE/ACLU04/raw/ACLU04.txt,train
4,ACLU05,./data_dsicap_SINGLE/ACLU05/raw/ACLU05.txt,train
5,ACLU06,./data_dsicap_SINGLE/ACLU06/raw/ACLU06.txt,train
6,ACLU07,./data_dsicap_SINGLE/ACLU07/raw/ACLU07.txt,train
7,ACLU08,./data_dsicap_SINGLE/ACLU08/raw/ACLU08.txt,train
8,ACLU09,./data_dsicap_SINGLE/ACLU09/raw/ACLU09.txt,test
9,ACLU10,./data_dsicap_SINGLE/ACLU10/raw/ACLU10.txt,train
10,ACLU11,./data_dsicap_SINGLE/ACLU11/raw/ACLU11.txt,train
11,ACLU12,./data_dsicap_SINGLE/ACLU12/raw/ACLU12.txt,train
12,AEU003,./data_dsicap_SINGLE/AEU003/raw/AEU003.txt,test
13,AEU005,./data_dsicap_SINGLE/AEU005/raw/AEU005.txt,test
14,AEU006,./data_dsicap_SINGLE/AEU006/raw/AEU006.txt,train
15,AEU008,./data_dsicap_SINGLE/AEU008/raw/AEU008.txt,test
16,AEU009,./data_dsicap_SINGLE/AEU009/raw/AEU009.txt,train
17,AEU010,./data_dsicap_SINGLE/AEU010/raw/AEU010.txt,test
18,AEU011,./data_dsicap_SINGLE/AEU011/raw/AEU011.txt,train
19,AEU012,./data_dsicap_SINGLE/AEU012/raw/AEU012.txt,train
20,AEU013,./data_dsicap_SINGLE/AEU013/raw/AEU013.txt,train
21,AEU014,./data_dsicap_SINGLE/AEU014/raw/AEU014.txt,train
22,Bahai01,./data_dsicap_SINGLE/Bahai01/raw/Bahai01.txt,test
23,Bahai02,./data_dsicap_SINGLE/Bahai02/raw/Bahai02.txt,test
24,Bahai03,./data_dsicap_SINGLE/Bahai03/raw/Bahai03.txt,test
25,Bahai04,./data_dsicap_SINGLE/Bahai04/raw/Bahai04.txt,train
26,Bahai05,./data_dsicap_SINGLE/Bahai05/raw/Bahai05.txt,test
27,Bahai06,./data_dsicap_SINGLE/Bahai06/raw/Bahai06.txt,train
28,Bahai07,./data_dsicap_SINGLE/Bahai07/raw/Bahai07.txt,train
29,Bahai08,./data_dsicap_SINGLE/Bahai08/raw/Bahai08.txt,test
30,Bahai09,./data_dsicap_SINGLE/Bahai09/raw/Bahai09.txt,train
31,Bahai10,./data_dsicap_SINGLE/Bahai10/raw/Bahai10.txt,train
32,Bahai16,./data_dsicap_SINGLE/Bahai16/raw/Bahai16.txt,train
33,Bahai21,./data_dsicap_SINGLE/Bahai21/raw/Bahai21.txt,train
34,Bahai23,./data_dsicap_SINGLE/Bahai23/raw/Bahai23.txt,train
35,Bahai24,./data_dsicap_SINGLE/Bahai24/raw/Bahai24.txt,test
36,Bahai27,./data_dsicap_SINGLE/Bahai27/raw/Bahai27.txt,train
37,Bahai30,./data_dsicap_SINGLE/Bahai30/raw/Bahai30.txt,train
38,Bahai37,./data_dsicap_SINGLE/Bahai37/raw/Bahai37.txt,train
39,Bahai42,./data_dsicap_SINGLE/Bahai42/raw/Bahai42.txt,test
40,Bahai45,./data_dsicap_SINGLE/Bahai45/raw/Bahai45.txt,test
41,Bahai46,./data_dsicap_SINGLE/Bahai46/raw/Bahai46.txt,train
42,Bahai53,./data_dsicap_SINGLE/Bahai53/raw/Bahai53.txt,train
43,Bahai58,./data_dsicap_SINGLE/Bahai58/raw/Bahai58.txt,train
44,Bahai64,./data_dsicap_SINGLE/Bahai64/raw/Bahai64.txt,train
45,Bahai66,./data_dsicap_SINGLE/Bahai66/raw/Bahai66.txt,test
46,DorothyDay001,./data_dsicap_SINGLE/DorothyDay001/raw/DorothyDay001.txt,train
47,DorothyDay044,./data_dsicap_SINGLE/DorothyDay044/raw/DorothyDay044.txt,train
48,DorothyDay056,./data_dsicap_SINGLE/DorothyDay056/raw/DorothyDay056.txt,test
49,DorothyDay070,./data_dsicap_SINGLE/DorothyDay070/raw/DorothyDay070.txt,test
50,DorothyDay081,./data_dsicap_SINGLE/DorothyDay081/raw/DorothyDay081.txt,test
51,DorothyDay142,./data_dsicap_SINGLE/DorothyDay142/raw/DorothyDay142.txt,train
52,DorothyDay147,./data_dsicap_SINGLE/DorothyDay147/raw/DorothyDay147.txt,train
53,DorothyDay189,./data_dsicap_SINGLE/DorothyDay189/raw/DorothyDay189.txt,test
54,DorothyDay258,./data_dsicap_SINGLE/DorothyDay258/raw/DorothyDay258.txt,train
55,DorothyDay383,./data_dsicap_SINGLE/DorothyDay383/raw/DorothyDay383.txt,train
56,DorothyDay399,./data_dsicap_SINGLE/DorothyDay399/raw/DorothyDay399.txt,train
