,group,filepath,subgroup
0,ACLU01,./data_dsicap_ALL_SINGLE/ACLU01/raw/ACLU01.txt,train
1,ACLU02,./data_dsicap_ALL_SINGLE/ACLU02/raw/ACLU02.txt,test
2,ACLU03,./data_dsicap_ALL_SINGLE/ACLU03/raw/ACLU03.txt,train
3,ACLU04,./data_dsicap_ALL_SINGLE/ACLU04/raw/ACLU04.txt,train
4,ACLU05,./data_dsicap_ALL_SINGLE/ACLU05/raw/ACLU05.txt,train
5,ACLU06,./data_dsicap_ALL_SINGLE/ACLU06/raw/ACLU06.txt,train
6,ACLU07,./data_dsicap_ALL_SINGLE/ACLU07/raw/ACLU07.txt,test
7,ACLU08,./data_dsicap_ALL_SINGLE/ACLU08/raw/ACLU08.txt,train
8,ACLU09,./data_dsicap_ALL_SINGLE/ACLU09/raw/ACLU09.txt,train
9,ACLU10,./data_dsicap_ALL_SINGLE/ACLU10/raw/ACLU10.txt,train
10,ACLU11,./data_dsicap_ALL_SINGLE/ACLU11/raw/ACLU11.txt,test
11,ACLU12,./data_dsicap_ALL_SINGLE/ACLU12/raw/ACLU12.txt,train
12,ACLU13,./data_dsicap_ALL_SINGLE/ACLU13/raw/ACLU13.txt,test
13,ACLU14,./data_dsicap_ALL_SINGLE/ACLU14/raw/ACLU14.txt,train
14,ACLU15,./data_dsicap_ALL_SINGLE/ACLU15/raw/ACLU15.txt,train
15,ACLU16,./data_dsicap_ALL_SINGLE/ACLU16/raw/ACLU16.txt,test
16,ACLU17,./data_dsicap_ALL_SINGLE/ACLU17/raw/ACLU17.txt,test
17,ACLU19,./data_dsicap_ALL_SINGLE/ACLU19/raw/ACLU19.txt,test
18,ACLU20,./data_dsicap_ALL_SINGLE/ACLU20/raw/ACLU20.txt,test
19,ACLU21,./data_dsicap_ALL_SINGLE/ACLU21/raw/ACLU21.txt,train
20,ACLU22,./data_dsicap_ALL_SINGLE/ACLU22/raw/ACLU22.txt,train
21,ACLU23,./data_dsicap_ALL_SINGLE/ACLU23/raw/ACLU23.txt,train
22,ACLU24,./data_dsicap_ALL_SINGLE/ACLU24/raw/ACLU24.txt,train
23,ACLU25,./data_dsicap_ALL_SINGLE/ACLU25/raw/ACLU25.txt,train
24,ACLU26,./data_dsicap_ALL_SINGLE/ACLU26/raw/ACLU26.txt,train
25,ACLU27,./data_dsicap_ALL_SINGLE/ACLU27/raw/ACLU27.txt,test
26,ACLU28,./data_dsicap_ALL_SINGLE/ACLU28/raw/ACLU28.txt,train
27,ACLU29,./data_dsicap_ALL_SINGLE/ACLU29/raw/ACLU29.txt,test
28,ACLU30,./data_dsicap_ALL_SINGLE/ACLU30/raw/ACLU30.txt,train
29,ACLU31,./data_dsicap_ALL_SINGLE/ACLU31/raw/ACLU31.txt,test
30,ACLU32,./data_dsicap_ALL_SINGLE/ACLU32/raw/ACLU32.txt,train
31,ACLU33,./data_dsicap_ALL_SINGLE/ACLU33/raw/ACLU33.txt,train
32,ACLU34,./data_dsicap_ALL_SINGLE/ACLU34/raw/ACLU34.txt,train
33,ACLU35,./data_dsicap_ALL_SINGLE/ACLU35/raw/ACLU35.txt,train
34,ACLU36,./data_dsicap_ALL_SINGLE/ACLU36/raw/ACLU36.txt,train
35,ACLU37,./data_dsicap_ALL_SINGLE/ACLU37/raw/ACLU37.txt,train
36,ACLU38,./data_dsicap_ALL_SINGLE/ACLU38/raw/ACLU38.txt,train
37,ACLU39,./data_dsicap_ALL_SINGLE/ACLU39/raw/ACLU39.txt,train
38,AEU001,./data_dsicap_ALL_SINGLE/AEU001/raw/AEU001.txt,train
39,AEU002,./data_dsicap_ALL_SINGLE/AEU002/raw/AEU002.txt,train
40,AEU003,./data_dsicap_ALL_SINGLE/AEU003/raw/AEU003.txt,train
41,AEU004,./data_dsicap_ALL_SINGLE/AEU004/raw/AEU004.txt,train
42,AEU005,./data_dsicap_ALL_SINGLE/AEU005/raw/AEU005.txt,train
43,AEU006,./data_dsicap_ALL_SINGLE/AEU006/raw/AEU006.txt,train
44,AEU007,./data_dsicap_ALL_SINGLE/AEU007/raw/AEU007.txt,train
45,AEU008,./data_dsicap_ALL_SINGLE/AEU008/raw/AEU008.txt,test
46,AEU009,./data_dsicap_ALL_SINGLE/AEU009/raw/AEU009.txt,train
47,AEU010,./data_dsicap_ALL_SINGLE/AEU010/raw/AEU010.txt,train
48,AEU011,./data_dsicap_ALL_SINGLE/AEU011/raw/AEU011.txt,train
49,AEU012,./data_dsicap_ALL_SINGLE/AEU012/raw/AEU012.txt,test
50,AEU013,./data_dsicap_ALL_SINGLE/AEU013/raw/AEU013.txt,train
51,AEU014,./data_dsicap_ALL_SINGLE/AEU014/raw/AEU014.txt,train
52,AEU015,./data_dsicap_ALL_SINGLE/AEU015/raw/AEU015.txt,train
53,Bahai01,./data_dsicap_ALL_SINGLE/Bahai01/raw/Bahai01.txt,train
54,Bahai02,./data_dsicap_ALL_SINGLE/Bahai02/raw/Bahai02.txt,train
55,Bahai03,./data_dsicap_ALL_SINGLE/Bahai03/raw/Bahai03.txt,train
56,Bahai04,./data_dsicap_ALL_SINGLE/Bahai04/raw/Bahai04.txt,train
57,Bahai05,./data_dsicap_ALL_SINGLE/Bahai05/raw/Bahai05.txt,train
