,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
0,MalcolmX-MessagetotheGrassRoots_test,1,6.75079202652,"negro, got, get, let, talk, tom, master, know, say, malcolm",0.0166527893422,0.0214820982515,0.0,1.0,0.304136253041,314.0,0.76399026764,0.0121565362198,0.034304746045,0.0108243130724,0.0274771024147,0.0158201498751,0.00116569525396,0.0184845961699,0.713081013709,0.54987988973,MalcolmX-MessagetotheGrassRoots,82,2,2.44666666667,2,2.08810173626,2
4,piper81 041781_test,1,2.66687989235,"thief, jesus, save, penit, paradis, wrong, fear, god, say, thiev",0.0258342303552,0.037674919268,0.0,1.0,0.487179487179,85.0,0.726495726496,0.018837459634,0.0139935414424,0.0139935414424,0.00861141011841,0.034983853606,0.0,0.00914962325081,0.670887149738,0.713595475237,piper81 041781,45,3,3.98333333333,3,2.60129186386,3
7,ACLU04_test,1,1.83333015442,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.664717407019,0.442937413482,ACLU04,142,3,2.34333333333,3,3.21638171743,3
9,225.html_test,1,3.7573530674,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.692580325597,0.700691663263,225.html,30,3,3.69333333333,3,2.57972551122,2
12,piper85 pn850005_test,1,4.9944691658,"sing, jehoshaphat, judah, vers, lord, god, satan, worship, thi, prais",0.0246626337832,0.0228013029316,1.0,0.0,0.472573839662,187.0,0.789029535865,0.0216379711494,0.0169846440205,0.00814332247557,0.0221033038623,0.0169846440205,0.00279199627734,0.00697999069335,0.683949475869,0.719528746324,piper85 pn850005,47,3,2.76,2,3.09754167831,3
15,ACLU03_test,1,1.87868404388,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.030303030303,0.0251082251082,1.0,0.0,0.285714285714,25.0,0.446428571429,0.0025974025974,0.004329004329,0.0,0.00952380952381,0.004329004329,0.0,0.0103896103896,0.750715195535,0.47666167497,ACLU03,141,3,3.95,3,3.5028525086,3
17,YV11_test,1,1.58403301239,"whi, lotus, love, don't, yogavill, want, should, tri, roof, religion",0.0368794326241,0.0156028368794,1.0,0.0,0.485294117647,44.0,0.647058823529,0.0326241134752,0.0198581560284,0.0212765957447,0.00992907801418,0.00141843971631,0.0,0.0156028368794,0.714964538578,0.607443977816,YV11,136,8,3.80333333333,3,4.05287905849,3
27,MalcolmX-AnAppealtoAfricanHeadsofState_test,1,6.27707099915,"malcolm, negro, uniti, cairo, get, african, confer, here, civilright, afroamerican",0.0244808374135,0.0238055039676,1.0,0.0,0.408510638298,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.0111430018572,0.719667155632,0.664602832219,MalcolmX-AnAppealtoAfricanHeadsofState,89,2,3.82,4,3.44125625994,3
31,296.html_test,1,1.32400894165,"liturg, pray, prayer, christ, liturgi, mystic, laiti, injustic, campion, complin",0.00686498855835,0.0183066361556,0.0,1.0,0.51724137931,20.0,0.689655172414,0.0800915331808,0.00228832951945,0.00228832951945,0.00228832951945,0.0045766590389,0.00228832951945,0.0137299771167,0.771782069463,0.587619690619,296.html,32,5,3.12333333333,3,3.41709504876,2
32,piper94 09-11-94_test,1,2.99824690819,"bless, vers, evil, insult, inherit, feel, say, grace, hope, futur",0.0522388059701,0.0171202809482,1.0,0.0,0.469565217391,87.0,0.75652173913,0.0377524143986,0.031167690957,0.00438981562774,0.00438981562774,0.0118525021949,0.0,0.00965759438104,0.693220107821,0.607689427771,piper94 09-11-94,55,2,4.28333333333,5,4.14101187879,3
33,SS14_test,1,1.2429690361,"vessel, thunder, poacher, crew, chase, gear, endur, illeg, monday, rescu",0.0356234096692,0.030534351145,1.0,0.0,0.47619047619,17.0,0.809523809524,0.0814249363868,0.00508905852417,0.0,0.0101781170483,0.0,0.0152671755725,0.00254452926209,0.819659233834,0.647116918527,SS14,125,3,2.73,2,3.62662170051,5
34,YV01_test,1,1.39534902573,"sannyasin, yoga, sannya, renounc, sri, satchidananda, monk, dress, “the, ceremoni",0.00547945205479,0.00821917808219,0.0,1.0,0.409090909091,13.0,0.590909090909,0.0027397260274,0.0,0.0,0.0328767123288,0.0109589041096,0.00547945205479,0.0027397260274,0.735210217767,0.502723161424,YV01,126,3,2.89,3,3.05730107035,3
35,piper94 07-10-94_test,1,3.7540230751,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.0492113564669,0.0261829652997,1.0,0.0,0.494186046512,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.720380984958,0.636675363489,piper94 07-10-94,54,2,3.85666666667,4,3.71663782022,4
36,SS13_test,1,2.60898208618,"whale, seal, “human, “sustain, harvest, slaughter, club, eat, “conserv, fish",0.0180754917597,0.0425305688464,0.0,1.0,0.311926605505,65.0,0.596330275229,0.0154173312068,0.00478468899522,0.00744284954811,0.0127591706539,0.000531632110579,0.000531632110579,0.016480595428,0.689845375134,0.507854515709,SS13,124,1,2.67,3,3.23147892441,5
41,journal.1.10.10_test,1,1.51568317413,"master, inner, baba, discipl, miracl, wonder, incid, miracul, moment, mandali",0.0459418070444,0.0183767228178,1.0,0.0,0.5,12.0,0.545454545455,0.00153139356815,0.0,0.00153139356815,0.00612557427259,0.0199081163859,0.00153139356815,0.00918836140888,0.755438682074,0.529939189283,journal.1.10.10,64,4,3.81666666667,3,3.65190800925,3
45,ACLU06_test,1,1.77083015442,"geofeedia, user, twitter, instagram, facebook, enforc, surveil, monitor, data, agreement",0.0212150433944,0.0183220829315,1.0,0.0,0.4,23.0,0.511111111111,0.0154291224687,0.0,0.0,0.00771456123433,0.000964320154291,0.0,0.00867888138862,0.637196117702,0.494121722952,ACLU06,144,3,3.45333333333,3,2.8109637969,3
48,SS03_test,1,1.16874194145,"whale, contamin, pollut, microplast, ecosystem, toxicolog, shepherd, expedit, scientist, california",0.0245398773006,0.0122699386503,1.0,0.0,0.357142857143,8.0,0.571428571429,0.0306748466258,0.0,0.0,0.0,0.0,0.00306748466258,0.00613496932515,0.800128111449,0.582645206635,SS03,114,2,3.16333333333,4,2.55750760805,1
52,ACLU05_test,1,1.77667713165,"mohamedou, prison, guantánamo, tortur, unlaw, mauritania, memoir, privaci, thrill, slahi",0.0309523809524,0.0297619047619,1.0,0.0,0.547619047619,34.0,0.809523809524,0.0261904761905,0.0,0.00595238095238,0.00119047619048,0.047619047619,0.00119047619048,0.00595238095238,0.69231558211,0.554392760686,ACLU05,143,3,4.08333333333,3,3.48192789557,3
54,SS12_test,1,2.52331209183,"costa, rican, coco, illeg, shepherd, arrest, vessel, guatemalan, charg, rica",0.0115321252059,0.0219659527732,0.0,1.0,0.44578313253,56.0,0.674698795181,0.0175727622186,0.0,0.0236133992312,0.0126304228446,0.00054914881933,0.0,0.00604063701263,0.693352000595,0.628273480924,SS12,123,1,1.85333333333,2,1.15471902463,1
61,YV08_test,1,3.16886997223,"yogavill, dedic, should, don't, joy, everyth, tree, whatev, feel, love",0.0296137339056,0.0068669527897,1.0,0.0,0.353773584906,158.0,0.745283018868,0.0210300429185,0.0450643776824,0.01330472103,0.0175965665236,0.00128755364807,0.00128755364807,0.0210300429185,0.707719863592,0.565988363143,YV08,133,6,4.35333333333,5,4.58813940799,5
62,piper2k 3-5-00_test,1,2.9331870079,"timothi, scriptur, vers, exult, sacr, bibl, christ, persecut, say, stay",0.0343158820941,0.0118785745711,1.0,0.0,0.341463414634,92.0,0.560975609756,0.0189177298724,0.0250769907611,0.0101187857457,0.00923889133304,0.0118785745711,0.0,0.010558732952,0.638409182612,0.70970737575,piper2k 3-5-00,42,3,3.96333333333,4,3.62903879926,3
63,MalcolmX-TheBallotortheBullet_test,1,9.93218398094,"get, let, negro, bullet, got, ballot, segreg, malcolm, whi, civilright",0.0184800664452,0.0144310631229,1.0,0.0,0.265342960289,435.0,0.785198555957,0.0192068106312,0.03176910299,0.0129775747508,0.0140157807309,0.015988372093,0.00103820598007,0.0179609634551,0.692066130458,0.681160395609,MalcolmX-TheBallotortheBullet,84,2,3.44666666667,2,3.57265697316,2
66,"2014-03-16 Guns Directness Controlling Sensitivity, Rev. Mark Belletini.pdf_test",1,5.11078619957,"gun, rabbi, congreg, kaddish, ask, say, alphabet, dan, talk, too",0.0240109764464,0.0160073176309,1.0,0.0,0.254166666667,168.0,0.7,0.0187514292248,0.00617425108621,0.0338440429911,0.00983306654471,0.00891836268008,0.0036588154585,0.00686027898468,0.6502257072,0.584276725375,"2014-03-16 Guns Directness Controlling Sensitivity, Rev. Mark Belletini.pdf",109,5,3.76666666667,5,5.10449824143,5
69,MalcolmX-LastAnswersAndInterviews_test,1,12.3548839092,"malcolm, get, answer, think, racism, say, feel, negro, racist, interview",0.0136371482824,0.022009321595,0.0,1.0,0.309033280507,486.0,0.770206022187,0.00871741757293,0.0184705679268,0.0243397203521,0.0182979457967,0.01648541343,0.00060417745555,0.0156223027792,0.671709432554,0.545841172708,MalcolmX-LastAnswersAndInterviews,92,2,2.26666666667,2,2.54899473531,2
