,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,YV02_test,1,1.31036400795,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.775875932704,0.579184715841,YV02,127,4,3.48333333333,5,2.95922838497,3
2,ACLU02_test,1,1.64231610298,"fisc, opinion, surveil, usa, yahoo, secret, aclu, hidden, refus, address",0.0263591433278,0.00164744645799,1.0,0.0,0.8125,14.0,0.875,0.00494233937397,0.00164744645799,0.0,0.00823723228995,0.0,0.0,0.0197693574959,0.750096347947,0.526031851325,ACLU02,140,3,4.17333333333,5,3.6021861712,3
6,YV08_test,1,3.46753096581,"yogavill, dedic, should, don't, joy, everyth, tree, whatev, feel, love",0.0296137339056,0.0068669527897,1.0,0.0,0.353773584906,158.0,0.745283018868,0.0210300429185,0.0450643776824,0.01330472103,0.0175965665236,0.00128755364807,0.00128755364807,0.0210300429185,0.711466355027,0.565988363143,YV08,133,6,4.38333333333,5,4.79256515047,5
8,wgV2n3-2_test,1,1.793227911,"brother, avatar, savior, dawn, fear, inhuman, lord, selfish, pain, save",0.04625,0.03375,1.0,0.0,0.826086956522,21.0,0.913043478261,0.09125,0.0,0.00125,0.0,0.03,0.0,0.005,0.760380184362,0.624718088698,wgV2n3-2,70,5,2.99666666667,3,3.0017749816,3
9,ACLU04_test,1,1.94118189812,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.664666077617,0.442937413482,ACLU04,142,3,2.24333333333,3,2.86794504761,3
13,SS01_test,1,1.46001386642,"vaquita, shepherd, gift, illeg, marin, save, porpois, whale, countless, gill",0.020325203252,0.0182926829268,1.0,0.0,0.35,13.0,0.65,0.020325203252,0.0121951219512,0.0020325203252,0.0,0.0,0.0,0.0020325203252,0.738932697733,0.588484581691,SS01,112,1,2.92,3,1.80815426365,2
26,MalcolmX-AnAppealtoAfricanHeadsofState_test,1,6.79325509071,"malcolm, negro, uniti, cairo, get, african, confer, here, civilright, afroamerican",0.0244808374135,0.0238055039676,1.0,0.0,0.408510638298,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.0111430018572,0.72297415178,0.664602832219,MalcolmX-AnAppealtoAfricanHeadsofState,89,2,3.74333333333,3,2.97333568667,3
30,piper94 07-10-94_test,1,3.95694804192,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.0492113564669,0.0261829652997,1.0,0.0,0.494186046512,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.72362878988,0.636675363489,piper94 07-10-94,54,2,3.56666666667,3,3.23391489563,3
31,768.html_test,1,1.62578201294,"money, profit, tri, worker, sing, deem, forbad, matthew, insofar, duti",0.0206677265501,0.0143084260731,1.0,0.0,0.636363636364,18.0,0.818181818182,0.0683624801272,0.00635930047695,0.0,0.00476947535771,0.00158982511924,0.0,0.00794912559618,0.818745206526,0.592524274517,768.html,40,2,4.2,5,3.16158848486,2
42,ACLU11_test,1,1.48217391968,"voter, kobach, regist, vote, registr, judg, restrict, kansa, citizenship, add",0.00759013282732,0.0265654648956,0.0,1.0,0.588235294118,10.0,0.588235294118,0.0,0.0,0.0,0.0379506641366,0.011385199241,0.0,0.00189753320683,0.630749379768,0.553391120255,ACLU11,149,3,2.19333333333,2,2.41415046059,1
48,SS08_test,1,1.49641299248,"greenpeac, seal, fur, whale, endors, sealer, brutal, risk, betray, revel",0.0232108317215,0.0522243713733,0.0,1.0,0.592592592593,17.0,0.62962962963,0.0116054158607,0.00193423597679,0.0251450676983,0.0232108317215,0.0,0.0,0.00193423597679,0.712241528423,0.592919761689,SS08,119,1,2.01,2,2.17124313495,1
53,SS09_test,1,1.32504796982,"shepherd, pamela, anderson, seal, slaughter, babi, orca, whale, newfoundland, salmon",0.0155763239875,0.0155763239875,0.0,1.0,0.818181818182,10.0,0.909090909091,0.018691588785,0.0,0.00934579439252,0.0,0.0,0.0249221183801,0.00311526479751,0.804709053172,0.609438581614,SS09,120,2,3.39,2,3.15210353276,3
58,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp_test,1,4.36461400986,"don, ill, bless, government, said, ask, attitud, want, mph, whi",0.0417189460477,0.0185069008783,1.0,0.0,0.126237623762,187.0,0.462871287129,0.0207026348808,0.017252195734,0.0228983688833,0.00752823086575,0.0100376411543,0.00752823086575,0.0131744040151,0.68308818921,0.508677204049,how-to-bless-america-steve-shepherd-sermon-on-independence-day-69779.asp,96,3,4.98,5,4.86894141582,3
59,journal.02.06.10_test,1,1.70690608025,"princess, matchabelli, meher, master, usa, baba, princ, spiritu, norina, miracl",0.0433566433566,0.00699300699301,1.0,0.0,0.555555555556,20.0,0.740740740741,0.0013986013986,0.0013986013986,0.0,0.0111888111888,0.0223776223776,0.020979020979,0.0041958041958,0.753673842963,0.713404162438,journal.02.06.10,63,3,3.63,4,3.46598043425,3
62,piper92 09-27-92_test,1,3.88604998589,"christ, gentil, reconcil, jew, god, israel, coven, glori, promis, jesus",0.0179290157336,0.0135382363703,1.0,0.0,0.467625899281,82.0,0.589928057554,0.0160995243322,0.0175631174533,0.00658616904501,0.00731796560556,0.0204903036956,0.0,0.0032930845225,0.683907386434,0.843150970135,piper92 09-27-92,53,1,3.15333333333,3,2.35052471335,4
65,409.html_test,1,1.50696516037,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.755894696738,0.576023711084,409.html,34,4,3.14666666667,3,2.68650184376,3
66,piper85 pn850026_test,1,1.83920407295,"grace, god, welltim, christ, priest, let, know, lord, templ, tomorrow",0.0267094017094,0.0160256410256,1.0,0.0,0.204081632653,12.0,0.244897959184,0.0213675213675,0.025641025641,0.0106837606838,0.00213675213675,0.0192307692308,0.0,0.00320512820513,0.751513767546,0.639940519154,piper85 pn850026,48,3,3.49333333333,3,2.8744784628,3
70,SS07_test,1,1.49332499504,"net, totoaba, illeg, gear, farley, weather, endang, mowat, find, fish",0.0282828282828,0.030303030303,0.0,1.0,0.541666666667,14.0,0.583333333333,0.0323232323232,0.0,0.0,0.00606060606061,0.0,0.0,0.00606060606061,0.793410480039,0.801489295722,SS07,118,2,2.72,3,2.41134523573,3
72,YV09_test,1,2.9954020977,"gurudev, sri, yoga, peac, negat, woodstock, want, path, swami, messag",0.0358767054068,0.0101061141991,1.0,0.0,0.277777777778,74.0,0.685185185185,0.00859019706923,0.0101061141991,0.00656897422941,0.00960080848914,0.0267812026276,0.00202122283982,0.00909550277918,0.714430837968,0.634385752343,YV09,134,7,4.08666666667,3,4.67000755995,5
73,339.html_test,1,2.66608405113,"get, worker, strike, bridg, dinner, sock, christma, thing, meet, paper",0.0231809401159,0.0218931101095,1.0,0.0,0.540540540541,66.0,0.891891891892,0.0302640051513,0.0186735350934,0.00965872504829,0.0148100450741,0.0212491951062,0.00193174500966,0.00579523502898,0.775813633584,0.504995744916,339.html,33,3,2.83666666667,3,3.09751101012,3
