,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
6,MehrBaba041_test,1,2.49222707748,"soul, vision, grace, prayer, teresa, fruition, lord, god, heaven, utter",0.0314422419686,0.00956937799043,1.0,0.0,0.507246376812,48.0,0.695652173913,0.00341763499658,0.0,0.0225563909774,0.00205058099795,0.0157211209843,0.0198222829802,0.028024606972,0.336295283664,0.688633309632,0.733568707825,MehrBaba041,7,4.07333333333,3,4.74588504884,4
7,Shepherd224_test,1,3.93170595169,"bad, fire, evil, brandon, want, put, need, good, preacher, lit",0.0278824415976,0.0388093443858,0.0,1.0,0.18152866242,147.0,0.468152866242,0.035418236624,0.00640542577242,0.0211002260739,0.00753579502638,0.0128108515448,0.00263752825923,0.00979653353429,0.27995478523,0.649231444652,0.471404768228,Shepherd224,4,3.53666666667,4,3.5886364149,2
15,YV08_test,1,3.53274416924,"yogavill, dedic, should, don't, joy, everyth, tree, whatev, feel, love",0.0296137339056,0.0068669527897,1.0,0.0,0.353773584906,158.0,0.745283018868,0.0210300429185,0.0450643776824,0.01330472103,0.0175965665236,0.00128755364807,0.00128755364807,0.0210300429185,0.20686695279,0.709375408505,0.565988363143,YV08,6,4.23333333333,2,4.28135920996,5
16,DorothyDay258_test,1,1.56821298599,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.44142614601,0.755051910709,0.576023711084,DorothyDay258,4,4.42666666667,3,3.79214333847,3
17,Rabbinic037_test,1,3.47439908981,"noah, righteous, walk, job, genesi, said, flood, gen, generat, abraham",0.0205811138015,0.0125100887813,1.0,0.0,0.25,93.0,0.438679245283,0.00121065375303,0.00121065375303,0.00807102502018,0.00766747376917,0.0496368038741,0.000807102502018,0.0125100887813,0.244552058111,0.708294518222,0.598181721886,Rabbinic037,4,4.0,4,4.12087963853,4
21,Shepherd358_test,1,4.09979987144,"gps, lord, trust, happi, pray, husband, step, get, seek, prayer",0.0301783264746,0.0181755829904,1.0,0.0,0.240875912409,181.0,0.660583941606,0.0356652949246,0.0130315500686,0.0168038408779,0.00548696844993,0.031207133059,0.0161179698217,0.00891632373114,0.237654320988,0.668065008439,0.596822233112,Shepherd358,5,4.27,5,4.57563718932,5
29,ISIS006_test,1,2.36054110527,"allah, choic, bay'ah, deed, prophet, methodolog, rush, dabiq, prais, bid'ah",0.0145797598628,0.0231560891938,0.0,1.0,0.413043478261,36.0,0.782608695652,0.0,0.0180102915952,0.00171526586621,0.0180102915952,0.00514579759863,0.0,0.0128644939966,0.408233276158,0.721178087068,0.504817487793,ISIS006,1,2.68666666667,2,1.58898552435,1
31,Bahai02_test,1,1.65897798538,"prejudic, baha'i, abdu'lbaha, hath, racial, must, loud, cast, tragedi, everyon",0.0191256830601,0.0314207650273,0.0,1.0,0.333333333333,17.0,0.472222222222,0.0314207650273,0.0,0.00136612021858,0.0109289617486,0.00409836065574,0.0,0.00409836065574,0.450819672131,0.632695708039,0.482038080917,Bahai02,5,3.16333333333,3,3.54800719531,3
36,Shepherd459_test,1,3.59862303734,"happen, evil, look, whi, want, perfect, devil, lord, sept, get",0.0233017377567,0.0410742496051,0.0,1.0,0.0931174089069,144.0,0.291497975709,0.022906793049,0.0177725118483,0.0181674565561,0.010663507109,0.0165876777251,0.00276461295419,0.00987361769352,0.285545023697,0.635856581029,0.576861251879,Shepherd459,3,2.87,2,3.42980314585,2
38,ISIS012_test,1,2.88718605042,"foley, prison, obama, messag, wright, iraq, jame, crusad, wish, solut",0.0123376623377,0.0350649350649,0.0,1.0,0.47619047619,56.0,0.888888888889,0.0136363636364,0.00779220779221,0.0285714285714,0.0136363636364,0.0194805194805,0.0,0.00584415584416,0.353896103896,0.729421653392,0.704713871958,ISIS012,1,2.25333333333,1,1.0159109448,1
