,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
9,409.html_test,1,1.38607120514,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.753646060633,0.576023711084,409.html,34,4,3.20333333333,3,3.2512820362,2
14,ACLU03_test,1,1.9450070858,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.030303030303,0.0251082251082,1.0,0.0,0.285714285714,25.0,0.446428571429,0.0025974025974,0.004329004329,0.0,0.00952380952381,0.004329004329,0.0,0.0103896103896,0.747450179755,0.47666167497,ACLU03,141,3,3.60333333333,3,3.49489755321,3
23,MalcolmX-AnAppealtoAfricanHeadsofState_test,1,6.37415480614,"malcolm, negro, uniti, cairo, get, african, confer, here, civilright, afroamerican",0.0244808374135,0.0238055039676,1.0,0.0,0.408510638298,156.0,0.663829787234,0.0194158365693,0.00928583488097,0.00928583488097,0.00877933479656,0.00236366706061,0.00135066689178,0.0111430018572,0.722579950642,0.664602832219,MalcolmX-AnAppealtoAfricanHeadsofState,89,2,3.39333333333,3,3.14930616835,3
27,"2007-11-11 Spiritual Claustrophobia, Rev. Mark Belletini.PDF_test",1,5.45261001587,"experi, dont, let, theolog, els, hallway, tell, wrong, realli, too",0.0243632336656,0.0190476190476,1.0,0.0,0.203045685279,233.0,0.591370558376,0.0148394241417,0.0104097452935,0.0423034330011,0.00863787375415,0.00398671096346,0.00996677740864,0.0126245847176,0.67410513238,0.514337817248,"2007-11-11 Spiritual Claustrophobia, Rev. Mark Belletini.PDF",107,7,3.8,3,3.99376072072,5
28,YV01_test,1,1.30752682686,"sannyasin, yoga, sannya, renounc, sri, satchidananda, monk, dress, “the, ceremoni",0.00547945205479,0.00821917808219,0.0,1.0,0.409090909091,13.0,0.590909090909,0.0027397260274,0.0,0.0,0.0328767123288,0.0109589041096,0.00547945205479,0.0027397260274,0.739944919872,0.502723161424,YV01,126,3,3.00333333333,3,3.02194958484,3
29,MalcolmX-ConfrontationWithAnExpert_test,1,6.43498182297,"malcolm, bernard, hall, alcolm, let, negro, think, say, get, expert",0.0184566707681,0.0123044471788,1.0,0.0,0.495356037152,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.6295224395,0.656116850638,MalcolmX-ConfrontationWithAnExpert,91,2,3.49666666667,2,3.96451540908,5
30,piper94 07-10-94_test,1,3.74699401855,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.0492113564669,0.0261829652997,1.0,0.0,0.494186046512,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.724306606852,0.636675363489,piper94 07-10-94,54,2,3.72666666667,3,3.3666198579,3
39,"2001-11-11 Microbes and Peter Rabbit, Rev. Mark Belletini.htm_test",1,0.838106870651,"tree, potter, unitarian, beatrix, lichen, mind, hound, lifemarri, farreach, imit",0.025641025641,0.021978021978,1.0,0.0,0.538461538462,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.00390465473266,0.537620456564,"2001-11-11 Microbes and Peter Rabbit, Rev. Mark Belletini.htm",102,2,2.61333333333,3,3.48188873887,3
40,piper99 12-12-99_test,1,3.23062419891,"reconcil, vers, save, wrath, god, shall, christ, enemi, rescu, justifi",0.0267489711934,0.022633744856,1.0,0.0,0.496551724138,117.0,0.806896551724,0.0411522633745,0.0238683127572,0.00329218106996,0.00246913580247,0.043621399177,0.0,0.00987654320988,0.641016569746,0.646481448274,piper99 12-12-99,59,4,3.68,5,4.0377461271,5
48,ACLU05_test,1,1.76306915283,"mohamedou, prison, guantánamo, tortur, unlaw, mauritania, memoir, privaci, thrill, slahi",0.0309523809524,0.0297619047619,1.0,0.0,0.547619047619,34.0,0.809523809524,0.0261904761905,0.0,0.00595238095238,0.00119047619048,0.047619047619,0.00119047619048,0.00595238095238,0.696980879254,0.554392760686,ACLU05,143,3,3.72666666667,3,3.7224308155,5
