,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
8,ACLU04_test,1,2.16914200783,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.665196771465,0.442937413482,ACLU04,142,3,2.35,3,3.03843941676,3
10,225.html_test,1,3.81843495369,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.693679105615,0.700691663263,225.html,30,3,3.26,3,3.07206030728,3
13,SS01_test,1,1.37556600571,"vaquita, shepherd, gift, illeg, marin, save, porpois, whale, countless, gill",0.020325203252,0.0182926829268,1.0,0.0,0.35,13.0,0.65,0.020325203252,0.0121951219512,0.0020325203252,0.0,0.0,0.0,0.0020325203252,0.742977408217,0.588484581691,SS01,112,1,2.95333333333,3,1.31680244944,2
15,piper99 4-4-99_test,1,2.92642498016,"condemn, christ, sinner, guilti, righteous, jesus, answer, god, judg, vers",0.0368709516692,0.0333831589437,1.0,0.0,0.402777777778,83.0,0.576388888889,0.0264075734928,0.0114598903837,0.0224215246637,0.000996512207275,0.02192326856,0.0,0.0119581464873,0.609846232108,0.528360248967,piper99 4-4-99,60,3,3.41666666667,3,3.20278388121,3
17,ACLU03_test,1,2.26661300659,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.030303030303,0.0251082251082,1.0,0.0,0.285714285714,25.0,0.446428571429,0.0025974025974,0.004329004329,0.0,0.00952380952381,0.004329004329,0.0,0.0103896103896,0.750492832816,0.47666167497,ACLU03,141,3,3.57666666667,3,4.02434334764,3
19,291.html_test,1,1.81368708611,"smell, relief, walk, swim, hang, babi, stanley, garden, harlem, hot",0.0307062436029,0.028659160696,1.0,0.0,0.325581395349,29.0,0.674418604651,0.0112589559877,0.00204708290686,0.00614124872057,0.014329580348,0.00409416581372,0.0102354145343,0.00921187308086,0.79106515472,0.710015848458,291.html,31,4,3.20666666667,3,2.4260607559,3
20,YV11_test,1,1.64020204544,"whi, lotus, love, don't, yogavill, want, should, tri, roof, religion",0.0368794326241,0.0156028368794,1.0,0.0,0.485294117647,44.0,0.647058823529,0.0326241134752,0.0198581560284,0.0212765957447,0.00992907801418,0.00141843971631,0.0,0.0156028368794,0.717280613582,0.607443977816,YV11,136,8,4.04333333333,5,4.40197208666,3
21,"2011-12-11 Hope Not Hype, Rev. Mark Belletini.pdf_test",1,4.42225980759,"hope, hype, magic, pain, happen, too, dont, perfect, love, suffer",0.0356933879462,0.0333528379169,1.0,0.0,0.258928571429,142.0,0.633928571429,0.0263311878291,0.00643651258046,0.0295494441194,0.00848449385606,0.00263311878291,0.00672908133411,0.0119953188999,0.655490498712,0.631939537011,"2011-12-11 Hope Not Hype, Rev. Mark Belletini.pdf",108,4,3.51666666667,3,3.48141991589,3
25,journal.02.06.10_test,1,1.57131910324,"princess, matchabelli, meher, master, usa, baba, princ, spiritu, norina, miracl",0.0433566433566,0.00699300699301,1.0,0.0,0.555555555556,20.0,0.740740740741,0.0013986013986,0.0013986013986,0.0,0.0111888111888,0.0223776223776,0.020979020979,0.0041958041958,0.752051057385,0.713404162438,journal.02.06.10,63,3,4.09333333333,4,3.58663893484,4
32,a-different-gospel-steve-shepherd-sermon-on-false-teaching-161833.asp_test,1,3.19761109352,"gospel, hell, say, jesus, preach, christ, knife, don, pleas, tri",0.0268980477223,0.0325379609544,0.0,1.0,0.282296650718,124.0,0.593301435407,0.00824295010846,0.0125813449024,0.0208242950108,0.00997830802603,0.0225596529284,0.00260303687636,0.0156182212581,0.655047059344,0.586214587548,a-different-gospel-steve-shepherd-sermon-on-false-teaching-161833.asp,93,1,3.47,3,2.75009742745,3
