,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,UniqueWordCount,avgSD,avgEVC,groupName,rank,rfPred,rfClassPred,svmPred,svmClassPred
6,Unitarian219_test,1,4.25551509857,"hope, hype, magic, pain, happen, too, dont, perfect, love, suffer",0.0356933879462,0.0333528379169,1.0,0.0,0.258928571429,142.0,0.633928571429,0.0263311878291,0.00643651258046,0.0295494441194,0.00848449385606,0.00263311878291,0.00672908133411,0.0119953188999,0.31597425395,0.654181952197,0.631939537011,Unitarian219,4,4.36333333333,3,4.03007033404,3
7,MehrBaba041_test,1,2.20854902267,"soul, vision, grace, prayer, teresa, fruition, lord, god, heaven, utter",0.0314422419686,0.00956937799043,1.0,0.0,0.507246376812,48.0,0.695652173913,0.00341763499658,0.0,0.0225563909774,0.00205058099795,0.0157211209843,0.0198222829802,0.028024606972,0.336295283664,0.689016820079,0.733568707825,MehrBaba041,7,4.52,6,5.19855831576,6
14,DorothyDay406_test,1,1.21634817123,"obedi, poverti, ave, maria, love, rosari, advent, tell, convers, scriptur",0.0509383378016,0.00536193029491,1.0,0.0,0.35,9.0,0.45,0.0214477211796,0.0,0.0,0.0,0.00268096514745,0.0160857908847,0.00268096514745,0.522788203753,0.766863242046,0.576540447136,DorothyDay406,4,4.48333333333,6,4.55223141564,6
17,JohnPiper008_test,1,3.51334095001,"abort, babi, whi, excel, dark, deed, vers, let, christ, god",0.0317959468903,0.0359888190077,0.0,1.0,0.375722543353,108.0,0.624277456647,0.0317959468903,0.0132774283718,0.00559049615653,0.00698812019567,0.00873515024458,0.0,0.0083857442348,0.259958071279,0.674024031962,0.449454604013,JohnPiper008,5,3.72333333333,3,3.40905853974,1
19,Rabbinic037_test,1,3.29878902435,"noah, righteous, walk, job, genesi, said, flood, gen, generat, abraham",0.0205811138015,0.0125100887813,1.0,0.0,0.25,93.0,0.438679245283,0.00121065375303,0.00121065375303,0.00807102502018,0.00766747376917,0.0496368038741,0.000807102502018,0.0125100887813,0.244552058111,0.707272471686,0.598181721886,Rabbinic037,4,4.1,4,4.11458594191,4
22,Shepherd358_test,1,3.70645499229,"gps, lord, trust, happi, pray, husband, step, get, seek, prayer",0.0301783264746,0.0181755829904,1.0,0.0,0.240875912409,181.0,0.660583941606,0.0356652949246,0.0130315500686,0.0168038408779,0.00548696844993,0.031207133059,0.0161179698217,0.00891632373114,0.237654320988,0.674838722466,0.596822233112,Shepherd358,5,4.47333333333,4,4.29410712006,4
23,ACLU04_test,1,1.7749569416,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.381730769231,0.66458579657,0.442937413482,ACLU04,3,3.31666666667,1,2.67380649281,1
27,AEU010_test,1,2.47411298752,"shall, ethic, bind, moral, consecr, mere, desir, address, habit, constraint",0.0221962616822,0.018691588785,1.0,0.0,0.328571428571,41.0,0.585714285714,0.0116822429907,0.0,0.0035046728972,0.0134345794393,0.00408878504673,0.0,0.0221962616822,0.339953271028,0.731109273538,0.782806457289,AEU010,8,3.99333333333,1,4.85795154717,6
30,Rabbinic001_test,1,11.8705358505,"rabbi, shall, torah, god, ask, mose, zion, israelit, say, man",0.0262671106178,0.0245098039216,1.0,0.0,0.335034013605,348.0,0.591836734694,0.00332963374029,0.0130410654828,0.00850906400296,0.0143359230485,0.0373658897521,0.00184979652238,0.0104513503515,0.181280059193,0.710554736366,0.511594773964,Rabbinic001,4,3.05,4,2.59529888144,1
31,MehrBaba081_test,1,1.30919194221,"plane, conscious, mental, subtl, perfect, awar, unfold, suprament, scious, consci≠",0.0168776371308,0.0126582278481,1.0,0.0,0.545454545455,13.0,0.590909090909,0.00210970464135,0.0105485232068,0.0,0.0,0.0042194092827,0.0,0.0168776371308,0.331223628692,0.810080995211,0.88825246255,MehrBaba081,7,4.70666666667,6,4.22107985583,6
33,MehrBaba125_test,1,2.13087582588,"boy, tree, journey, snake, sleep, debtor, repli, room, ask, stay",0.0182684670373,0.0166799046863,1.0,0.0,0.58,45.0,0.9,0.0,0.0,0.00158856235107,0.0206513105639,0.0635424940429,0.00158856235107,0.0135027799841,0.313741064337,0.793712284889,0.862340342012,MehrBaba125,9,3.38,1,4.84256421849,6
34,Rabbinic019_test,1,3.81244015694,"sabbath, bless, whi, genesi, said, adam, rabba, archiveorgstreamrabbagenesismidrashrabbahgennummbpdjvutxt, https, night",0.0234113712375,0.0153846153846,1.0,0.0,0.326180257511,123.0,0.527896995708,0.00401337792642,0.0110367892977,0.0107023411371,0.00602006688963,0.0418060200669,0.0,0.0247491638796,0.242140468227,0.75865609555,0.754961672718,Rabbinic019,4,4.05666666667,4,4.10793089207,4
38,WBC410_test,1,4.94571304321,"jezebel, christ, unto, sin, adulteri, thyatira, bed, woman, repent, fornic",0.0246132208158,0.0346929207689,0.0,1.0,0.44623655914,139.0,0.747311827957,0.00328176277543,0.00867323019222,0.0178152836381,0.0159399906235,0.0168776371308,0.0187529301453,0.00632911392405,0.201593999062,0.666073636799,0.626587560213,WBC410,1,2.62666666667,2,2.26605435336,1
41,YV47_test,1,1.34087610245,"joy, dedic, don't, everyth, should, yoga, let, karma, selfless, heaven",0.0449678800857,0.00856531049251,1.0,0.0,0.395833333333,34.0,0.708333333333,0.017130620985,0.0642398286938,0.0107066381156,0.00642398286938,0.00214132762313,0.00214132762313,0.00856531049251,0.361884368308,0.730005540995,0.515240181058,YV47,5,5.31333333333,6,6.03242358648,4
47,Shepherd726_test,1,3.33281588554,"adulteri, don, devil, fear, get, anger, friendship, satan, spiritu, want",0.0299760191847,0.0363709032774,0.0,1.0,0.194552529183,154.0,0.599221789883,0.0203836930456,0.0219824140687,0.0231814548361,0.0159872102318,0.0227817745803,0.00519584332534,0.00759392486011,0.262589928058,0.652972004701,0.489921290693,Shepherd726,2,3.40333333333,4,3.08634803568,3
48,JohnPiper413_test,1,3.73613095284,"love, homosexu, say, command, fulfil, scriptur, keep, god, greg, violat",0.0492113564669,0.0261829652997,1.0,0.0,0.494186046512,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.204416403785,0.720817148692,0.636675363489,JohnPiper413,2,3.38333333333,3,4.04736108547,1
52,Rabbinic010_test,1,3.00199198723,"famin, abraham, thou, thee, abram, genesi, etc, pharaoh, thi, wilt",0.0106292517007,0.0174319727891,0.0,1.0,0.262195121951,71.0,0.432926829268,0.00382653061224,0.00297619047619,0.0178571428571,0.00892857142857,0.0255102040816,0.00850340136054,0.0174319727891,0.239795918367,0.658155576321,0.549522107166,Rabbinic010,4,4.02666666667,4,4.30539407502,4
54,MalcolmX013_test,1,3.81482815742,"polic, harlem, nonviol, realiz, get, hategang, blood, oppressor, negro, malcolm",0.0123818833496,0.0234604105572,0.0,1.0,0.242937853107,128.0,0.723163841808,0.00879765395894,0.0153144346693,0.0215053763441,0.0260671228413,0.0149885956338,0.0,0.0159661127403,0.23981753014,0.718884356726,0.552851283806,MalcolmX013,2,2.88666666667,2,2.50530307887,2
57,Shepherd005_test,1,3.1261909008,"gospel, hell, say, jesus, preach, christ, knife, don, pleas, tri",0.0268980477223,0.0325379609544,0.0,1.0,0.282296650718,124.0,0.593301435407,0.00824295010846,0.0125813449024,0.0208242950108,0.00997830802603,0.0225596529284,0.00260303687636,0.0156182212581,0.281561822126,0.658077519124,0.586214587548,Shepherd005,1,3.70666666667,4,3.12624004165,3
59,YV59_test,1,1.50693392754,"devot, god, let, infinit, attach, belov, faith, love, someth, care",0.0349206349206,0.0174603174603,1.0,0.0,0.538461538462,42.0,0.807692307692,0.0746031746032,0.00793650793651,0.00952380952381,0.0015873015873,0.0,0.00634920634921,0.0301587301587,0.4,0.703508563022,0.640522076448,YV59,5,5.70666666667,8,6.33849288549,8
72,MehrBaba107_test,1,1.6175069809,"feel, hope, baba, happi, realiz, genuin, despair, mankind, spiritu, will",0.0261194029851,0.0298507462687,0.0,1.0,0.483870967742,21.0,0.677419354839,0.00248756218905,0.0,0.0,0.00870646766169,0.021144278607,0.0,0.021144278607,0.400497512438,0.778388189326,0.702333889493,MehrBaba107,6,3.28,3,3.05928623278,3
74,Bahai21_test,1,1.35020899773,"perfect, weak, conting, creator, proof, imperfect, ignor, argument, necessarili, pictur",0.020202020202,0.030303030303,0.0,1.0,0.464285714286,16.0,0.571428571429,0.0,0.003367003367,0.0,0.0,0.0218855218855,0.0,0.0218855218855,0.326599326599,0.716075548678,0.625388317604,Bahai21,4,3.98,6,3.66793455789,3
85,Rabbinic040_test,1,1.71781802177,"grace, noah, bless, favour, sake, simon, xxix, said, genesi, attach",0.0473506200676,0.00450958286359,1.0,0.0,0.266666666667,34.0,0.453333333333,0.00338218714769,0.0,0.0101465614431,0.00563697857948,0.0462232243517,0.00338218714769,0.0146561443067,0.349492671928,0.671988454848,0.528199269674,Rabbinic040,4,4.95,4,4.62418564429,4
90,DorothyDay001_test,1,1.34761714935,"radic, print, sent, worker, sheet, wander, dollar, rememb, donat, encycl",0.022641509434,0.011320754717,1.0,0.0,0.344827586207,17.0,0.586206896552,0.0132075471698,0.0,0.0,0.0207547169811,0.00566037735849,0.0,0.0188679245283,0.466037735849,0.758768062876,0.571646121949,DorothyDay001,3,4.52666666667,6,4.83748651774,6
91,YV39_test,1,1.23111987114,"yoga, happi, whi, want, purpos, seem, goe, mosqu, templ, money",0.00275482093664,0.0,1.0,0.0,0.52,15.0,0.6,0.0330578512397,0.0,0.0,0.00826446280992,0.00550964187328,0.0,0.00550964187328,0.438016528926,0.809933289161,0.64926226353,YV39,1,3.76333333333,5,2.54341788291,3
99,Bahai24_test,1,1.53686499596,"perfect, man, imperfect, qualiti, tree, divin, overcom, satan, worship, spirit",0.0442132639792,0.0208062418726,1.0,0.0,0.548387096774,18.0,0.58064516129,0.00520156046814,0.0,0.0,0.00520156046814,0.0351105331599,0.0,0.00130039011704,0.310793237971,0.787197325512,0.760861413698,Bahai24,4,3.55333333333,5,4.4131541523,6
102,SeaShepherds399_test,1,2.15972518921,"shepherd, net, illeg, whale, crew, gill, cut, happi, anyth, worri",0.0396119644301,0.018593371059,1.0,0.0,0.433333333333,53.0,0.883333333333,0.00970088924818,0.00323362974939,0.0299110751819,0.0210185933711,0.0,0.0,0.0121261115602,0.396928051738,0.707453110375,0.664894099941,SeaShepherds399,3,4.18666666667,3,4.30955289076,3
105,SeaShepherds405_test,1,1.38643884659,"dog, galapago, shark, wildlif, cristob, shepherd, “sniffer, remark, agreement, knum",0.0112570356473,0.0187617260788,0.0,1.0,0.631578947368,12.0,0.631578947368,0.00187617260788,0.0,0.00375234521576,0.0225140712946,0.0,0.0,0.00562851782364,0.474671669794,0.714672495322,0.674479366693,SeaShepherds405,1,3.1,1,1.07730289457,1
106,PastorAnderson044_test,1,9.44290089607,"get, greet, say, friend, salut, know, sunday, bibl, fellowship, want",0.0290807799443,0.00924791086351,1.0,0.0,0.433287482806,587.0,0.80742778542,0.019721448468,0.0428969359331,0.0240668523677,0.0245125348189,0.00657381615599,0.000557103064067,0.0152646239554,0.0932590529248,0.720633867826,0.692381912463,PastorAnderson044,2,2.34,1,1.94865343346,1
108,ACLU06_test,1,1.77398610115,"geofeedia, user, twitter, instagram, facebook, enforc, surveil, monitor, data, agreement",0.0212150433944,0.0183220829315,1.0,0.0,0.4,23.0,0.511111111111,0.0154291224687,0.0,0.0,0.00771456123433,0.000964320154291,0.0,0.00867888138862,0.338476374156,0.641206261925,0.494121722952,ACLU06,3,4.44333333333,5,2.48620314484,3
110,Rabbinic035_test,1,2.19185996056,"let, creatur, said, genesi, swarm, lakish, sabbath, fowl, vii, scriptur",0.0111028867506,0.0133234641007,0.0,1.0,0.2,54.0,0.432,0.00296076980015,0.00740192450037,0.00962250185048,0.0214655810511,0.0347890451517,0.0,0.0170244263509,0.310880829016,0.693637035733,0.700648909397,Rabbinic035,4,3.81333333333,4,4.15869364159,4
114,DorothyDay383_test,1,1.58162283897,"love, prayer, reader, happi, worker, keep, think, appeal, confid, grace",0.0506155950752,0.0123119015048,1.0,0.0,0.477272727273,33.0,0.75,0.0424076607387,0.0232558139535,0.0246238030096,0.0123119015048,0.00683994528044,0.00136798905609,0.0123119015048,0.415868673051,0.73574488937,0.593020139762,DorothyDay383,5,5.34,6,6.55274089241,8
117,ACLU11_test,1,1.36188983917,"voter, kobach, regist, vote, registr, judg, restrict, kansa, citizenship, add",0.00759013282732,0.0265654648956,0.0,1.0,0.588235294118,10.0,0.588235294118,0.0,0.0,0.0,0.0379506641366,0.011385199241,0.0,0.00189753320683,0.407969639469,0.625181018176,0.553391120255,ACLU11,3,1.95333333333,1,2.00244391611,2
118,MehrBaba058_test,1,2.08349204063,"wish, love, saint, let, thi, benevol, thee, thou, glori, noth",0.0575296108291,0.0143824027073,1.0,0.0,0.434210526316,54.0,0.710526315789,0.0228426395939,0.0,0.0126903553299,0.00169204737733,0.0431472081218,0.0,0.0186125211506,0.390862944162,0.655316036121,0.422827040055,MehrBaba058,3,4.92333333333,3,4.40683358838,6
119,ISIS008_test,1,3.8707780838,"allah, nūh, prophet, choic, punish, ark, flood, methodolog, save, da'wah",0.0124843945069,0.0246566791511,0.0,1.0,0.595744680851,73.0,0.776595744681,0.00936329588015,0.00905118601748,0.0043695380774,0.0159176029963,0.0149812734082,0.0,0.0121722846442,0.258114856429,0.710122880199,0.560929319252,ISIS008,1,1.99,1,0.301814595935,1
121,Rabbinic002_test,1,4.81782817841,"mose, rabbi, heaven, prayer, righteous, torah, deuteronomi, rabba, god, midrash",0.0316884373488,0.0249153362361,1.0,0.0,0.263888888889,117.0,0.541666666667,0.00604741170779,0.00895016932753,0.0041122399613,0.0137880986938,0.0350749879052,0.00362844702467,0.00967585873246,0.258829221093,0.808694341674,0.585205966903,Rabbinic002,4,3.78,4,3.46424404406,4
123,DorothyDay070_test,1,2.08278799057,"worker, margaret, priest, morn, cathol, stanthoni, prayer, spoke, miracl, contempl",0.0296540362438,0.0107084019769,1.0,0.0,0.338983050847,44.0,0.745762711864,0.0131795716639,0.00247116968699,0.00988467874794,0.00494233937397,0.0304777594728,0.00658978583196,0.0107084019769,0.383031301483,0.741024683871,0.574778575084,DorothyDay070,5,4.15333333333,4,4.01877787534,4
