,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,YV02_test,1,1.29121589661,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.77761315379,0.579184715841,YV02,127,4,3.41666666667,2,3.74867950107,3
7,ACLU04_test,1,1.89419007301,"cbp, fbi, assess, search, vulner, document, target, agenc, ask, question",0.00865384615385,0.0201923076923,0.0,1.0,0.4,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.662855371436,0.442937413482,ACLU04,142,3,2.68666666667,1,2.7009201752,1
8,225.html_test,1,3.98060584068,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.692164506083,0.700691663263,225.html,30,3,3.03,3,3.03582798286,2
11,piper85 pn850005_test,1,5.2183740139,"sing, jehoshaphat, judah, vers, lord, god, satan, worship, thi, prais",0.0246626337832,0.0228013029316,1.0,0.0,0.472573839662,187.0,0.789029535865,0.0216379711494,0.0169846440205,0.00814332247557,0.0221033038623,0.0169846440205,0.00279199627734,0.00697999069335,0.685242963437,0.719528746324,piper85 pn850005,47,3,2.41,2,2.98907556621,2
13,ACLU03_test,1,1.98264598846,"flint, safe, poison, failur, elementari, ppb, done, drink, appoint, water",0.030303030303,0.0251082251082,1.0,0.0,0.285714285714,25.0,0.446428571429,0.0025974025974,0.004329004329,0.0,0.00952380952381,0.004329004329,0.0,0.0103896103896,0.747875100287,0.47666167497,ACLU03,141,3,3.55333333333,3,3.66725903036,3
18,SS04_test,1,2.64066004753,"shepherd, net, illeg, whale, crew, gill, cut, happi, anyth, worri",0.0396119644301,0.018593371059,1.0,0.0,0.433333333333,53.0,0.883333333333,0.00970088924818,0.00323362974939,0.0299110751819,0.0210185933711,0.0,0.0,0.0121261115602,0.711583421916,0.664894099941,SS04,115,3,3.93333333333,3,3.9971594889,3
26,piper94 09-11-94_test,1,3.13863396645,"bless, vers, evil, insult, inherit, feel, say, grace, hope, futur",0.0522388059701,0.0171202809482,1.0,0.0,0.469565217391,87.0,0.75652173913,0.0377524143986,0.031167690957,0.00438981562774,0.00438981562774,0.0118525021949,0.0,0.00965759438104,0.69266361211,0.607689427771,piper94 09-11-94,55,2,4.73333333333,5,3.65896507034,2
28,YV01_test,1,1.32766199112,"sannyasin, yoga, sannya, renounc, sri, satchidananda, monk, dress, “the, ceremoni",0.00547945205479,0.00821917808219,0.0,1.0,0.409090909091,13.0,0.590909090909,0.0027397260274,0.0,0.0,0.0328767123288,0.0109589041096,0.00547945205479,0.0027397260274,0.742985849052,0.502723161424,YV01,126,3,2.73,2,3.05676073438,2
29,MalcolmX-ConfrontationWithAnExpert_test,1,6.77540302277,"malcolm, bernard, hall, alcolm, let, negro, think, say, get, expert",0.0184566707681,0.0123044471788,1.0,0.0,0.495356037152,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.630528025836,0.656116850638,MalcolmX-ConfrontationWithAnExpert,91,2,3.80666666667,3,3.82849024227,5
44,ACLU11_test,1,1.43323016167,"voter, kobach, regist, vote, registr, judg, restrict, kansa, citizenship, add",0.00759013282732,0.0265654648956,0.0,1.0,0.588235294118,10.0,0.588235294118,0.0,0.0,0.0,0.0379506641366,0.011385199241,0.0,0.00189753320683,0.626675322115,0.553391120255,ACLU11,149,3,2.08,2,2.71265340912,1
