,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,YV02_test,1,1.26842808723,"yoga, ceremoni, eat, sleep, satchidananda, sake, don't, swami, spiritu, sri",0.0265780730897,0.00332225913621,1.0,0.0,0.611111111111,13.0,0.722222222222,0.00996677740864,0.0199335548173,0.0332225913621,0.0265780730897,0.0,0.0,0.00332225913621,0.777960136096,0.579184715841,YV02,127,4,3.06,3,3.12154150175,3
4,214.html_test,1,2.1972990036,"worker, margaret, priest, morn, cathol, stanthoni, prayer, spoke, miracl, contempl",0.0296540362438,0.0107084019769,1.0,0.0,0.338983050847,44.0,0.745762711864,0.0131795716639,0.00247116968699,0.00988467874794,0.00494233937397,0.0304777594728,0.00658978583196,0.0107084019769,0.740425333579,0.574778575084,214.html,29,5,4.18,4,4.44154443043,3
8,225.html_test,1,4.01316404343,"worker, fergi, get, feast, too, kichi, soul, priest, kitchen, prayer",0.0224835696991,0.0300933932895,0.0,1.0,0.490909090909,99.0,0.9,0.020062262193,0.00345901072293,0.00968523002421,0.00657212037357,0.0276720857835,0.0231753718437,0.00657212037357,0.693318610303,0.700691663263,225.html,30,3,3.17333333333,3,3.02286374706,3
9,409.html_test,1,1.492882967,"bread, retreat, farm, tabl, tree, easton, babi, read, everyon, herb",0.0339558573854,0.0169779286927,1.0,0.0,0.392857142857,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.756699962559,0.576023711084,409.html,34,4,3.01,3,2.81570184448,2
11,piper85 pn850005_test,1,5.30891513824,"sing, jehoshaphat, judah, vers, lord, god, satan, worship, thi, prais",0.0246626337832,0.0228013029316,1.0,0.0,0.472573839662,187.0,0.789029535865,0.0216379711494,0.0169846440205,0.00814332247557,0.0221033038623,0.0169846440205,0.00279199627734,0.00697999069335,0.683884563224,0.719528746324,piper85 pn850005,47,3,2.63666666667,2,1.60642202875,2
13,piper99 4-4-99_test,1,3.04656100273,"condemn, christ, sinner, guilti, righteous, jesus, answer, god, judg, vers",0.0368709516692,0.0333831589437,1.0,0.0,0.402777777778,83.0,0.576388888889,0.0264075734928,0.0114598903837,0.0224215246637,0.000996512207275,0.02192326856,0.0,0.0119581464873,0.608206003309,0.528360248967,piper99 4-4-99,60,3,3.69666666667,3,3.62025788678,3
17,MalcolmX-LettersFromAbroad_test,1,2.81323504448,"nigeria, mecca, racism, malcolm, brotherhood, abroad, color, muslim, ghana, sincer",0.0205669816565,0.0166759310728,1.0,0.0,0.458333333333,51.0,0.708333333333,0.0105614230128,0.000555864369094,0.0322401334074,0.0111172873819,0.00667037242913,0.00111172873819,0.0100055586437,0.74170709597,0.611114085611,MalcolmX-LettersFromAbroad,81,3,3.47666666667,3,3.30943469116,3
29,YV01_test,1,1.34523200989,"sannyasin, yoga, sannya, renounc, sri, satchidananda, monk, dress, “the, ceremoni",0.00547945205479,0.00821917808219,0.0,1.0,0.409090909091,13.0,0.590909090909,0.0027397260274,0.0,0.0,0.0328767123288,0.0109589041096,0.00547945205479,0.0027397260274,0.737572124016,0.502723161424,YV01,126,3,2.74666666667,3,2.89672676245,3
30,YV06_test,1,2.71958208084,"sri, gurudev, swami, satchidananda, spirit, spiritu, messag, uniti, sadhu, doesn't",0.027289266222,0.00727713765919,1.0,0.0,0.352941176471,78.0,0.764705882353,0.0109157064888,0.0133414190418,0.0,0.00667070952092,0.0333535476046,0.00485142510612,0.0127349909036,0.663103222291,0.689833712226,YV06,131,5,4.04333333333,3,3.93353099925,3
32,"2006-04-09 Jesus, Rev. Mark Belletini.PDF_test",1,5.23373293877,"jesus, say, opinion, johnson, justic, ohio, pastor, seem, gospel, stake",0.02332433096,0.0203780996808,1.0,0.0,0.253787878788,152.0,0.575757575758,0.0127670022097,0.00515590473852,0.00883869383747,0.00613798183157,0.0235698502332,0.000982077093052,0.00736557819789,0.674250146373,0.584605724449,"2006-04-09 Jesus, Rev. Mark Belletini.PDF",106,6,3.17333333333,5,3.29669362039,3
41,"2001-11-11 Microbes and Peter Rabbit, Rev. Mark Belletini.htm_test",1,0.8819668293,"tree, potter, unitarian, beatrix, lichen, mind, hound, lifemarri, farreach, imit",0.025641025641,0.021978021978,1.0,0.0,0.538461538462,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.00195672817671,0.537620456564,"2001-11-11 Microbes and Peter Rabbit, Rev. Mark Belletini.htm",102,2,2.57666666667,3,3.70916806162,3
51,journal.1.12.11_test,1,2.26603603363,"infinit, realiz, reaction, real, shall, finit, react, resign, meher, baba",0.0352020860495,0.00586701434159,1.0,0.0,0.505050505051,66.0,0.666666666667,0.0365058670143,0.0026075619296,0.029335071708,0.0,0.0280312907432,0.0,0.0176010430248,0.783577874952,0.853541756081,journal.1.12.11,66,5,5.39333333333,5,5.03342411969,4
60,piper97 10-19-97_test,1,3.13646292686,"coven, shepherd, god, vers, etern, grace, christ, pleas, want, glori",0.0310734463277,0.0193032015066,1.0,0.0,0.406504065041,81.0,0.658536585366,0.0235404896422,0.0287193973635,0.0112994350282,0.00141242937853,0.0338983050847,0.0,0.00706214689266,0.637644004507,0.623267788082,piper97 10-19-97,57,3,3.40666666667,3,3.12936116165,3
63,YV04_test,1,2.83201384544,"mind, yoga, calm, clean, whi, medit, want, don't, sutra, everyth",0.0382059800664,0.00830564784053,1.0,0.0,0.350993377483,102.0,0.675496688742,0.0227021040975,0.0581395348837,0.00221483942414,0.000553709856035,0.00166112956811,0.000553709856035,0.014950166113,0.718578981042,0.714655700116,YV04,129,3,5.09666666667,7,3.99519512227,4
65,SS07_test,1,1.42740607262,"net, totoaba, illeg, gear, farley, weather, endang, mowat, find, fish",0.0282828282828,0.030303030303,0.0,1.0,0.541666666667,14.0,0.583333333333,0.0323232323232,0.0,0.0,0.00606060606061,0.0,0.0,0.00606060606061,0.792760817197,0.801489295722,SS07,118,2,2.74666666667,3,2.42608772348,3
66,journal.02.04.09_test,1,2.12580680847,"meher, realiz, baba, saint, spiritu, sincer, know, man, question, inquir",0.0313043478261,0.0130434782609,1.0,0.0,0.490196078431,37.0,0.725490196078,0.0,0.00173913043478,0.00782608695652,0.0095652173913,0.0365217391304,0.0,0.00869565217391,0.686355276452,0.571087679161,journal.02.04.09,62,6,4.12,3,3.74407170707,3
72,MalcolmX-MessagetotheGrassRoots_test,1,7.10268592834,"negro, got, get, let, talk, tom, master, know, say, malcolm",0.0166527893422,0.0214820982515,0.0,1.0,0.304136253041,314.0,0.76399026764,0.0121565362198,0.034304746045,0.0108243130724,0.0274771024147,0.0158201498751,0.00116569525396,0.0184845961699,0.71618329054,0.54987988973,MalcolmX-MessagetotheGrassRoots,82,2,2.29666666667,2,2.32697502352,2
