,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
3,piper81 041781_test,1,1.96774983406,"thief, jesus, save, penit, paradis",0.0258342303552,0.037674919268,0.0,1.0,0.307692307692,85.0,0.726495726496,0.018837459634,0.0139935414424,0.0139935414424,0.00861141011841,0.034983853606,0.0,0.00914962325081,0.679213339017,0.752994799132,piper81 041781,45,3,3.35666666667,3,2.98120701624,3
4,SS14_test,1,0.816713094711,"vessel, thunder, poacher, crew, chase",0.0356234096692,0.030534351145,1.0,0.0,0.333333333333,17.0,0.809523809524,0.0814249363868,0.00508905852417,0.0,0.0101781170483,0.0,0.0152671755725,0.00254452926209,0.81998246133,0.605056669695,SS14,125,3,3.00333333333,3,3.58142185907,2
9,651.html_test,1,1.00346803665,"sudden, ask, job, met, simm",0.0180921052632,0.0180921052632,0.0,1.0,0.264705882353,27.0,0.794117647059,0.00986842105263,0.0,0.00328947368421,0.00986842105263,0.0740131578947,0.0180921052632,0.00657894736842,0.81270868921,0.517424379233,651.html,39,4,3.40333333333,3,3.80683751435,3
11,piper85 pn850005_test,1,3.77767109871,"sing, jehoshaphat, judah, vers, lord",0.0246626337832,0.0228013029316,1.0,0.0,0.333333333333,187.0,0.789029535865,0.0216379711494,0.0169846440205,0.00814332247557,0.0221033038623,0.0169846440205,0.00279199627734,0.00697999069335,0.664150616069,0.816113827776,piper85 pn850005,47,3,2.64666666667,2,2.33142667422,2
19,SS04_test,1,1.56095004082,"shepherd, net, illeg, whale, crew",0.0396119644301,0.018593371059,1.0,0.0,0.383333333333,53.0,0.883333333333,0.00970088924818,0.00323362974939,0.0299110751819,0.0210185933711,0.0,0.0,0.0121261115602,0.678795968113,0.66935465577,SS04,115,3,3.75333333333,4,3.66756546142,3
28,MalcolmX-ConfrontationWithAnExpert_test,1,5.01758813858,"malcolm, bernard, hall, alcolm, let",0.0184566707681,0.0123044471788,1.0,0.0,0.40866873065,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.636191026724,0.706909724611,MalcolmX-ConfrontationWithAnExpert,91,2,3.68333333333,2,3.43350252695,4
29,piper94 07-10-94_test,1,3.01945114136,"love, homosexu, say, command, fulfil",0.0492113564669,0.0261829652997,1.0,0.0,0.441860465116,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.72637533593,0.515858639072,piper94 07-10-94,54,2,3.87,5,4.05896950248,4
32,piper92 09-27-92_test,1,2.49365520477,"christ, gentil, reconcil, jew, god",0.0179290157336,0.0135382363703,1.0,0.0,0.388489208633,82.0,0.589928057554,0.0160995243322,0.0175631174533,0.00658616904501,0.00731796560556,0.0204903036956,0.0,0.0032930845225,0.686209262051,0.858445894337,piper92 09-27-92,53,1,3.11666666667,3,2.2162220177,2
38,ACLU10_test,1,1.38411712646,"prison, detent, dhs, ice, privat",0.0136518771331,0.0358361774744,0.0,1.0,0.45652173913,22.0,0.478260869565,0.00511945392491,0.0,0.0,0.00682593856655,0.00341296928328,0.00170648464164,0.018771331058,0.686328538437,0.684907857434,ACLU10,148,3,3.02666666667,3,2.5806193653,3
44,ACLU11_test,1,0.881223917007,"voter, kobach, regist, vote, registr",0.00759013282732,0.0265654648956,0.0,1.0,0.588235294118,10.0,0.588235294118,0.0,0.0,0.0,0.0379506641366,0.011385199241,0.0,0.00189753320683,0.586659621226,0.528561069476,ACLU11,149,3,2.20666666667,3,2.41470673848,2
