,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
1,MalcolmX-MessagetotheGrassRoots_test,1,5.21105504036,"negro, got, get, let, talk",0.0166527893422,0.0214820982515,0.0,1.0,0.201946472019,314.0,0.76399026764,0.0121565362198,0.034304746045,0.0108243130724,0.0274771024147,0.0158201498751,0.00116569525396,0.0184845961699,0.721079534163,0.413644331251,MalcolmX-MessagetotheGrassRoots,82,2,2.43,2,2.62676326683,2
8,651.html_test,1,0.985923051834,"sudden, ask, job, met, simm",0.0180921052632,0.0180921052632,0.0,1.0,0.264705882353,27.0,0.794117647059,0.00986842105263,0.0,0.00328947368421,0.00986842105263,0.0740131578947,0.0180921052632,0.00657894736842,0.810983461543,0.517424379233,651.html,39,4,3.34333333333,3,3.67426024488,3
22,YV07_test,1,1.41177892685,"heaven, let, everybodi, yogavill, yoga",0.0457746478873,0.0105633802817,1.0,0.0,0.3,75.0,0.681818181818,0.0448943661972,0.0281690140845,0.00352112676056,0.00704225352113,0.00176056338028,0.000880281690141,0.0140845070423,0.679428841221,0.51572595859,YV07,132,7,4.25666666667,5,3.38120016643,2
26,MalcolmX-ConfrontationWithAnExpert_test,1,5.22511196136,"malcolm, bernard, hall, alcolm, let",0.0184566707681,0.0123044471788,1.0,0.0,0.40866873065,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.636055088237,0.706909724611,MalcolmX-ConfrontationWithAnExpert,91,2,3.24333333333,2,3.77110952723,5
27,768.html_test,1,1.02115511894,"money, profit, tri, worker, sing",0.0206677265501,0.0143084260731,1.0,0.0,0.545454545455,18.0,0.818181818182,0.0683624801272,0.00635930047695,0.0,0.00476947535771,0.00158982511924,0.0,0.00794912559618,0.803141764678,0.509300525864,768.html,40,2,3.99333333333,3,3.43260065811,3
35,ACLU10_test,1,1.45955204964,"prison, detent, dhs, ice, privat",0.0136518771331,0.0358361774744,0.0,1.0,0.45652173913,22.0,0.478260869565,0.00511945392491,0.0,0.0,0.00682593856655,0.00341296928328,0.00170648464164,0.018771331058,0.68987465833,0.684907857434,ACLU10,148,3,3.16666666667,3,2.58905731779,3
38,piper99 12-12-99_test,1,2.3631029129,"reconcil, vers, save, wrath, god",0.0267489711934,0.022633744856,1.0,0.0,0.475862068966,117.0,0.806896551724,0.0411522633745,0.0238683127572,0.00329218106996,0.00246913580247,0.043621399177,0.0,0.00987654320988,0.612442543726,0.582648031385,piper99 12-12-99,59,4,3.43666666667,5,3.09160027293,3
44,SS03_test,1,0.729751110077,"whale, contamin, pollut, microplast, ecosystem",0.0245398773006,0.0122699386503,1.0,0.0,0.285714285714,8.0,0.571428571429,0.0306748466258,0.0,0.0,0.0,0.0,0.00306748466258,0.00613496932515,0.810653745559,0.603846988555,SS03,114,2,3.75333333333,4,3.27366765193,4
50,YV13_test,1,0.857459068298,"happi, want, get, stamp, unhappi",0.0164705882353,0.00705882352941,1.0,0.0,0.447368421053,28.0,0.736842105263,0.00941176470588,0.0705882352941,0.00235294117647,0.00705882352941,0.0,0.0,0.0329411764706,0.72195761851,0.461231031481,YV13,138,5,3.50333333333,3,3.7699163656,3
56,forget-not-all-your-benefits-steve-shepherd-sermon-on-remember-blessings-178073.asp_test,1,2.71696090698,"pit, forget, heal, prais, forgiv",0.0414507772021,0.0173945225759,1.0,0.0,0.239263803681,126.0,0.773006134969,0.0188749074759,0.0214655810511,0.039600296077,0.00111028867506,0.0307179866765,0.0166543301258,0.0099925980755,0.628064789573,0.432388549621,forget-not-all-your-benefits-steve-shepherd-sermon-on-remember-blessings-178073.asp,94,4,4.25,5,4.61211536915,5
59,piper81 071981m_test,1,3.23913383484,"drink, jesus, thirst, let, feast",0.0269186712486,0.0194730813288,1.0,0.0,0.347593582888,152.0,0.812834224599,0.0398052691867,0.00630011454754,0.0128865979381,0.00601374570447,0.0292096219931,0.00028636884307,0.0151775486827,0.729790552714,0.507094392483,piper81 071981m,46,5,4.13666666667,5,4.15894545323,5
61,piper92 09-27-92_test,1,2.47166895866,"christ, gentil, reconcil, jew, god",0.0179290157336,0.0135382363703,1.0,0.0,0.388489208633,82.0,0.589928057554,0.0160995243322,0.0175631174533,0.00658616904501,0.00731796560556,0.0204903036956,0.0,0.0032930845225,0.686320071063,0.858445894337,piper92 09-27-92,53,1,3.32333333333,3,2.52473843764,3
