,groupId,files,timeRun,keywords,perPos,perNeg,perPosDoc,perNegDoc,PSJudge,judgementCount,judgementFrac,nous,vous,je,ils,il,elle,le,avgSD,avgEVC,groupName,Unnamed: 0,rank,rfPred,rfClassPred,svmPred,svmClassPred
8,ACLU04_test,1,1.26993918419,"cbp, fbi, assess, search, vulner",0.00865384615385,0.0201923076923,0.0,1.0,0.35,17.0,0.425,0.00384615384615,0.00192307692308,0.0,0.0230769230769,0.0,0.0,0.00576923076923,0.656883079381,0.418569597026,ACLU04,142,3,2.37,3,2.23933205084,3
10,409.html_test,1,0.940267086029,"bread, retreat, farm, tabl, tree",0.0339558573854,0.0169779286927,1.0,0.0,0.25,14.0,0.5,0.0237691001698,0.0,0.00169779286927,0.00509337860781,0.0,0.0,0.0101867572156,0.747569923769,0.623564633665,409.html,34,4,2.77666666667,3,2.47251110038,3
13,piper99 4-4-99_test,1,2.12495994568,"condemn, christ, sinner, guilti, righteous",0.0368709516692,0.0333831589437,1.0,0.0,0.229166666667,83.0,0.576388888889,0.0264075734928,0.0114598903837,0.0224215246637,0.000996512207275,0.02192326856,0.0,0.0119581464873,0.589068258679,0.651240745437,piper99 4-4-99,60,3,3.39666666667,3,3.21389269399,3
15,YV11_test,1,1.07464003563,"whi, lotus, love, don't, yogavill",0.0368794326241,0.0156028368794,1.0,0.0,0.294117647059,44.0,0.647058823529,0.0326241134752,0.0198581560284,0.0212765957447,0.00992907801418,0.00141843971631,0.0,0.0156028368794,0.710479005166,0.6325635609,YV11,136,8,3.43666666667,3,3.66706545328,3
20,SS04_test,1,1.55870389938,"shepherd, net, illeg, whale, crew",0.0396119644301,0.018593371059,1.0,0.0,0.383333333333,53.0,0.883333333333,0.00970088924818,0.00323362974939,0.0299110751819,0.0210185933711,0.0,0.0,0.0121261115602,0.676924554709,0.66935465577,SS04,115,3,3.67,3,4.03391767528,3
26,piper94 09-11-94_test,1,2.20617198944,"bless, vers, evil, insult, inherit",0.0522388059701,0.0171202809482,1.0,0.0,0.313043478261,87.0,0.75652173913,0.0377524143986,0.031167690957,0.00438981562774,0.00438981562774,0.0118525021949,0.0,0.00965759438104,0.710302989038,0.603019304041,piper94 09-11-94,55,2,4.31333333333,3,3.86325565262,3
27,YV06_test,1,1.88982701302,"sri, gurudev, swami, satchidananda, spirit",0.027289266222,0.00727713765919,1.0,0.0,0.235294117647,78.0,0.764705882353,0.0109157064888,0.0133414190418,0.0,0.00667070952092,0.0333535476046,0.00485142510612,0.0127349909036,0.671060804824,0.687566799372,YV06,131,5,4.05333333333,3,4.86122129418,5
28,MalcolmX-ConfrontationWithAnExpert_test,1,5.03688406944,"malcolm, bernard, hall, alcolm, let",0.0184566707681,0.0123044471788,1.0,0.0,0.40866873065,258.0,0.798761609907,0.00457022323783,0.0355071190016,0.0344524521005,0.0105466690104,0.00931622429249,0.00123044471788,0.013183336263,0.633094040816,0.706909724611,MalcolmX-ConfrontationWithAnExpert,91,2,4.33,5,4.47722160129,5
29,piper94 07-10-94_test,1,2.89157509804,"love, homosexu, say, command, fulfil",0.0492113564669,0.0261829652997,1.0,0.0,0.441860465116,119.0,0.691860465116,0.0331230283912,0.00694006309148,0.00851735015773,0.011356466877,0.00883280757098,0.00410094637224,0.00946372239748,0.727658984114,0.515858639072,piper94 07-10-94,54,2,3.74333333333,3,3.65224197881,3
31,piper92 09-27-92_test,1,2.44546484947,"christ, gentil, reconcil, jew, god",0.0179290157336,0.0135382363703,1.0,0.0,0.388489208633,82.0,0.589928057554,0.0160995243322,0.0175631174533,0.00658616904501,0.00731796560556,0.0204903036956,0.0,0.0032930845225,0.685451314388,0.858445894337,piper92 09-27-92,53,1,3.32333333333,3,2.18734447317,3
36,ACLU10_test,1,1.37398219109,"prison, detent, dhs, ice, privat",0.0136518771331,0.0358361774744,0.0,1.0,0.45652173913,22.0,0.478260869565,0.00511945392491,0.0,0.0,0.00682593856655,0.00341296928328,0.00170648464164,0.018771331058,0.684431739005,0.684907857434,ACLU10,148,3,2.54333333333,3,2.71057672201,3
37,"2001-11-11 Microbes and Peter Rabbit, Rev. Mark Belletini.htm_test",1,0.733641862869,"tree, potter, unitarian, beatrix, lichen",0.025641025641,0.021978021978,1.0,0.0,0.307692307692,9.0,0.692307692308,0.00732600732601,0.003663003663,0.025641025641,0.018315018315,0.0,0.018315018315,0.0,0.67011791184,0.61907261021,"2001-11-11 Microbes and Peter Rabbit, Rev. Mark Belletini.htm",102,2,2.8,3,2.62900959692,3
