,Unnamed: 0,groupId,files,timeRun,perPos,perNeg,perPosDoc,perNegDoc,judgementCount,judgementFrac,avgSD,avgEVC,groupName,rank,rfPred,svmPred
4,8,Shepherd_test15,10,65.9298620224,0.0986808550913,0.055789661693,1.0,0.0,19.3,0.0902321602562,0.571421165304,0.70680059319,Shepherd,4,4.0,4.31126037614
5,9,Shepherd_test04,10,56.6060509682,0.0931013412096,0.0587823122614,1.0,0.0,15.9,0.0713116435179,0.594246569346,0.680500980432,Shepherd,4,4.0,3.90499362896
11,46,Shepherd_test10,10,65.808382988,0.0971423820783,0.0624797409,0.9,0.1,18.4,0.0758853816866,0.624338836643,0.525383532544,Shepherd,4,4.0,4.02848783903
12,48,Shepherd_test01,10,61.2940061092,0.1017240452,0.056142103126,1.0,0.0,17.3,0.0717335604865,0.62185810437,0.640282294386,Shepherd,4,4.0,4.20161904035
16,63,Shepherd_test06,10,56.1296970844,0.0991469555058,0.0619176673643,1.0,0.0,15.0,0.0597660722775,0.638113851487,0.52788976324,Shepherd,4,4.0,3.99380393314
19,89,Shepherd_test20,10,59.0666878223,0.098007702555,0.0446813388039,1.0,0.0,18.1,0.0716650296887,0.646292841502,0.726928148834,Shepherd,4,4.0,4.050050257
25,112,Shepherd_test16,10,60.6110980511,0.101217070903,0.0510346580778,1.0,0.0,18.7,0.0765675982381,0.621321962591,0.532150551863,Shepherd,4,4.0,4.35588661435
26,114,Shepherd_test03,10,62.4451839924,0.0925687274835,0.0543223765564,0.9,0.1,15.5,0.0566255082226,0.58913008567,0.66011783438,Shepherd,4,4.0,3.98060735962
29,128,Shepherd_test19,10,56.694108963,0.0953797680678,0.0685558254828,0.6,0.4,17.3,0.0821138881771,0.611108986524,0.586109211347,Shepherd,4,2.9,2.85067324383
30,130,Shepherd_test08,10,62.6668908596,0.0930871766806,0.0625310468477,0.9,0.1,16.1,0.0545096046502,0.639790538804,0.75921389413,Shepherd,4,4.0,4.04225176049
36,165,Shepherd_test14,10,60.4209120274,0.101984154352,0.0568618394204,1.0,0.0,14.6,0.0580150932154,0.610306953206,0.737495975361,Shepherd,4,4.0,3.80439494033
37,167,Shepherd_test05,10,70.0603480339,0.0950892187339,0.0628891728873,0.9,0.1,19.4,0.0658887729195,0.534285743998,0.692256541647,Shepherd,4,4.0,4.01053372042
43,202,Shepherd_test13,10,65.8933780193,0.101038560388,0.0471408978773,1.0,0.0,18.2,0.0736506932222,0.624234757651,0.641326517394,Shepherd,4,4.0,4.38827234892
47,216,Shepherd_test07,10,70.6314821243,0.101553788509,0.0595346307764,1.0,0.0,19.0,0.0748193559778,0.628645428039,0.57339595241,Shepherd,4,4.0,4.37246572074
49,236,Shepherd_test21,9,56.5547449589,0.102208795697,0.0545197558468,1.0,0.0,17.2222222222,0.060537970093,0.606304896928,0.683633831241,Shepherd,4,4.0,4.15007445819
