,estimator,depth,bs,split,feature,accuracy
0,10,5,True,1,auto,0.8469387755102041
1,10,5,True,2,auto,0.8469387755102041
2,10,5,True,3,auto,0.8571428571428571
3,10,5,True,1,sqrt,0.8367346938775511
4,10,5,True,2,sqrt,0.8367346938775511
5,10,5,True,3,sqrt,0.8367346938775511
6,10,5,True,1,log2,0.8877551020408163
7,10,5,True,2,log2,0.8877551020408163
8,10,5,True,3,log2,0.8775510204081632
9,10,5,False,1,auto,0.8367346938775511
10,10,5,False,2,auto,0.8367346938775511
11,10,5,False,3,auto,0.8367346938775511
12,10,5,False,1,sqrt,0.8163265306122449
13,10,5,False,2,sqrt,0.8163265306122449
14,10,5,False,3,sqrt,0.8163265306122449
15,10,5,False,1,log2,0.8979591836734694
16,10,5,False,2,log2,0.8979591836734694
17,10,5,False,3,log2,0.8979591836734694
18,10,10,True,1,auto,0.8571428571428571
19,10,10,True,2,auto,0.8571428571428571
20,10,10,True,3,auto,0.8469387755102041
21,10,10,True,1,sqrt,0.8571428571428571
22,10,10,True,2,sqrt,0.8571428571428571
23,10,10,True,3,sqrt,0.8571428571428571
24,10,10,True,1,log2,0.8877551020408163
25,10,10,True,2,log2,0.8877551020408163
26,10,10,True,3,log2,0.8877551020408163
27,10,10,False,1,auto,0.8163265306122449
28,10,10,False,2,auto,0.8163265306122449
29,10,10,False,3,auto,0.8163265306122449
30,10,10,False,1,sqrt,0.8775510204081632
31,10,10,False,2,sqrt,0.8775510204081632
32,10,10,False,3,sqrt,0.8673469387755102
33,10,10,False,1,log2,0.8775510204081632
34,10,10,False,2,log2,0.8775510204081632
35,10,10,False,3,log2,0.9081632653061225
36,10,15,True,1,auto,0.8571428571428571
37,10,15,True,2,auto,0.8571428571428571
38,10,15,True,3,auto,0.8469387755102041
39,10,15,True,1,sqrt,0.826530612244898
40,10,15,True,2,sqrt,0.826530612244898
41,10,15,True,3,sqrt,0.8367346938775511
42,10,15,True,1,log2,0.8877551020408163
43,10,15,True,2,log2,0.8877551020408163
44,10,15,True,3,log2,0.8877551020408163
45,10,15,False,1,auto,0.8163265306122449
46,10,15,False,2,auto,0.8163265306122449
47,10,15,False,3,auto,0.8163265306122449
48,10,15,False,1,sqrt,0.8775510204081632
49,10,15,False,2,sqrt,0.8775510204081632
50,10,15,False,3,sqrt,0.8673469387755102
51,10,15,False,1,log2,0.8775510204081632
52,10,15,False,2,log2,0.8775510204081632
53,10,15,False,3,log2,0.9081632653061225
54,10,20,True,1,auto,0.8571428571428571
55,10,20,True,2,auto,0.8571428571428571
56,10,20,True,3,auto,0.8469387755102041
57,10,20,True,1,sqrt,0.826530612244898
58,10,20,True,2,sqrt,0.826530612244898
59,10,20,True,3,sqrt,0.8367346938775511
60,10,20,True,1,log2,0.8877551020408163
61,10,20,True,2,log2,0.8877551020408163
62,10,20,True,3,log2,0.8877551020408163
63,10,20,False,1,auto,0.8163265306122449
64,10,20,False,2,auto,0.8163265306122449
65,10,20,False,3,auto,0.8163265306122449
66,10,20,False,1,sqrt,0.8775510204081632
67,10,20,False,2,sqrt,0.8775510204081632
68,10,20,False,3,sqrt,0.8673469387755102
69,10,20,False,1,log2,0.8775510204081632
