term,freq,idf,logidf,tfidf,logtfidf
voter,12,139.0,4.93447393313,1668.0,59.2136871976
kobach,11,139.0,4.93447393313,1529.0,54.2792132644
regist,12,119.142857143,4.7803232533,1429.71428572,57.3638790396
vote,11,92.6666666667,4.52900882502,1019.33333333,49.8190970752
registr,6,139.0,4.93447393313,834.0,29.6068435988
judg,5,139.0,4.93447393313,695.0,24.6723696657
restrict,4,139.0,4.93447393313,556.0,19.7378957325
kansa,3,139.0,4.93447393313,417.0,14.8034217994
—,3,139.0,4.93447393313,417.0,14.8034217994
citizenship,3,139.0,4.93447393313,417.0,14.8034217994
add,3,139.0,4.93447393313,417.0,14.8034217994
elig,2,139.0,4.93447393313,278.0,9.86894786626
ballot,2,139.0,4.93447393313,278.0,9.86894786626
refus,2,139.0,4.93447393313,278.0,9.86894786626
provision,2,139.0,4.93447393313,278.0,9.86894786626
id,2,139.0,4.93447393313,278.0,9.86894786626
contempt,2,139.0,4.93447393313,278.0,9.86894786626
aclu,2,139.0,4.93447393313,278.0,9.86894786626
notic,2,139.0,4.93447393313,278.0,9.86894786626
legisl,3,83.4,4.42364830936,250.2,13.2709449281
vehicl,2,119.142857143,4.7803232533,238.285714286,9.5606465066
agre,2,104.25,4.64679186068,208.5,9.29358372136
fail,2,83.4,4.42364830936,166.8,8.84729661872
count,2,83.4,4.42364830936,166.8,8.84729661872
elector,1,139.0,4.93447393313,139.0,4.93447393313
lawsuit,1,139.0,4.93447393313,139.0,4.93447393313
summon,1,139.0,4.93447393313,139.0,4.93447393313
coach,1,139.0,4.93447393313,139.0,4.93447393313
announc,2,69.5,4.24132675257,139.0,8.48265350514
kris,1,139.0,4.93447393313,139.0,4.93447393313
fear,1,139.0,4.93447393313,139.0,4.93447393313
sameday,1,139.0,4.93447393313,139.0,4.93447393313
told,1,139.0,4.93447393313,139.0,4.93447393313
doubt,1,139.0,4.93447393313,139.0,4.93447393313
barrier,1,139.0,4.93447393313,139.0,4.93447393313
interim,1,139.0,4.93447393313,139.0,4.93447393313
ask,1,139.0,4.93447393313,139.0,4.93447393313
seed,1,139.0,4.93447393313,139.0,4.93447393313
hear,1,139.0,4.93447393313,139.0,4.93447393313
ensur,1,139.0,4.93447393313,139.0,4.93447393313
swear,1,139.0,4.93447393313,139.0,4.93447393313
threat,1,139.0,4.93447393313,139.0,4.93447393313
statewid,1,139.0,4.93447393313,139.0,4.93447393313
strategi,1,139.0,4.93447393313,139.0,4.93447393313
notifi,1,139.0,4.93447393313,139.0,4.93447393313
twotier,1,139.0,4.93447393313,139.0,4.93447393313
verifi,1,139.0,4.93447393313,139.0,4.93447393313
penalti,1,139.0,4.93447393313,139.0,4.93447393313
poll,1,139.0,4.93447393313,139.0,4.93447393313
illeg,1,139.0,4.93447393313,139.0,4.93447393313
perjuri,1,139.0,4.93447393313,139.0,4.93447393313
stricter,1,139.0,4.93447393313,139.0,4.93447393313
discrimin,1,139.0,4.93447393313,139.0,4.93447393313
proof,1,139.0,4.93447393313,139.0,4.93447393313
wouldb,1,139.0,4.93447393313,139.0,4.93447393313
dakota,1,139.0,4.93447393313,139.0,4.93447393313
suppos,1,139.0,4.93447393313,139.0,4.93447393313
tri,1,139.0,4.93447393313,139.0,4.93447393313
certif,1,139.0,4.93447393313,139.0,4.93447393313
obstruct,1,139.0,4.93447393313,139.0,4.93447393313
defianc,1,139.0,4.93447393313,139.0,4.93447393313
fraud,1,139.0,4.93447393313,139.0,4.93447393313
bar,1,139.0,4.93447393313,139.0,4.93447393313
get,1,139.0,4.93447393313,139.0,4.93447393313
fals,1,139.0,4.93447393313,139.0,4.93447393313
file,1,139.0,4.93447393313,139.0,4.93447393313
wisconsin,1,119.142857143,4.7803232533,119.142857143,4.7803232533
architect,1,119.142857143,4.7803232533,119.142857143,4.7803232533
behalf,1,119.142857143,4.7803232533,119.142857143,4.7803232533
regular,2,59.5714285714,4.08717607274,119.142857143,8.17435214548
roll,2,55.6,4.01818320126,111.2,8.03636640252
instead,2,55.6,4.01818320126,111.2,8.03636640252
elimin,1,104.25,4.64679186068,104.25,4.64679186068
demand,1,104.25,4.64679186068,104.25,4.64679186068
stop,1,104.25,4.64679186068,104.25,4.64679186068
requir,2,52.125,3.95364468012,104.25,7.90728936024
court,3,33.36,3.50735757749,100.08,10.5220727325
elect,4,24.5294117647,3.19987287774,98.1176470588,12.799491511
agreement,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
color,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
websit,2,46.3333333333,3.83586164446,92.6666666666,7.67172328892
feder,6,14.8928571429,2.70088171162,89.3571428574,16.2052902697
fulli,1,83.4,4.42364830936,83.4,4.42364830936
fix,1,83.4,4.42364830936,83.4,4.42364830936
proper,2,39.7142857143,3.68171096464,79.4285714286,7.36342192928
secretari,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
carolina,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
order,5,14.6315789474,2.68318213452,73.157894737,13.4159106726
document,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286
texa,1,69.5,4.24132675257,69.5,4.24132675257
