term,freq,idf,logidf,tfidf,logtfidf
money,11,92.6666666667,4.52900882502,1019.33333333,49.8190970752
profit,5,139.0,4.93447393313,695.0,24.6723696657
tri,4,139.0,4.93447393313,556.0,19.7378957325
worker,4,92.6666666667,4.52900882502,370.666666667,18.1160353001
sing,2,139.0,4.93447393313,278.0,9.86894786626
deem,2,139.0,4.93447393313,278.0,9.86894786626
forbad,2,139.0,4.93447393313,278.0,9.86894786626
matthew,2,139.0,4.93447393313,278.0,9.86894786626
insofar,2,139.0,4.93447393313,278.0,9.86894786626
duti,2,139.0,4.93447393313,278.0,9.86894786626
lend,2,139.0,4.93447393313,278.0,9.86894786626
salari,2,139.0,4.93447393313,278.0,9.86894786626
usuri,2,139.0,4.93447393313,278.0,9.86894786626
judg,2,139.0,4.93447393313,278.0,9.86894786626
paid,2,139.0,4.93447393313,278.0,9.86894786626
interest,9,29.7857142857,3.39402889218,268.071428571,30.5462600296
withdraw,2,119.142857143,4.7803232533,238.285714286,9.5606465066
cathol,5,33.36,3.50735757749,166.8,17.5367878875
say,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
dear,1,139.0,4.93447393313,139.0,4.93447393313
scourg,1,139.0,4.93447393313,139.0,4.93447393313
rent,1,139.0,4.93447393313,139.0,4.93447393313
cloth,1,139.0,4.93447393313,139.0,4.93447393313
decre,1,139.0,4.93447393313,139.0,4.93447393313
merci,1,139.0,4.93447393313,139.0,4.93447393313
chamber,1,139.0,4.93447393313,139.0,4.93447393313
wish,1,139.0,4.93447393313,139.0,4.93447393313
ddlw,1,139.0,4.93447393313,139.0,4.93447393313
keyword,1,139.0,4.93447393313,139.0,4.93447393313
overcom,1,139.0,4.93447393313,139.0,4.93447393313
emin,1,139.0,4.93447393313,139.0,4.93447393313
gill,1,139.0,4.93447393313,139.0,4.93447393313
casenot,1,139.0,4.93447393313,139.0,4.93447393313
treasur,1,139.0,4.93447393313,139.0,4.93447393313
permit,1,139.0,4.93447393313,139.0,4.93447393313
summari,1,139.0,4.93447393313,139.0,4.93447393313
confisc,1,139.0,4.93447393313,139.0,4.93447393313
jail,1,139.0,4.93447393313,139.0,4.93447393313
imposs,1,139.0,4.93447393313,139.0,4.93447393313
ourselv,1,139.0,4.93447393313,139.0,4.93447393313
moneylend,1,139.0,4.93447393313,139.0,4.93447393313
compromis,1,139.0,4.93447393313,139.0,4.93447393313
emphasi,1,139.0,4.93447393313,139.0,4.93447393313
wait,1,139.0,4.93447393313,139.0,4.93447393313
loan,1,139.0,4.93447393313,139.0,4.93447393313
assess,1,139.0,4.93447393313,139.0,4.93447393313
derid,1,139.0,4.93447393313,139.0,4.93447393313
gratuit,1,139.0,4.93447393313,139.0,4.93447393313
utter,1,139.0,4.93447393313,139.0,4.93447393313
incident,1,139.0,4.93447393313,139.0,4.93447393313
acquaint,1,139.0,4.93447393313,139.0,4.93447393313
scriptur,1,139.0,4.93447393313,139.0,4.93447393313
lodg,1,139.0,4.93447393313,139.0,4.93447393313
sincer,1,139.0,4.93447393313,139.0,4.93447393313
domain,1,139.0,4.93447393313,139.0,4.93447393313
freeli,1,139.0,4.93447393313,139.0,4.93447393313
pleas,1,139.0,4.93447393313,139.0,4.93447393313
payment,1,139.0,4.93447393313,139.0,4.93447393313
reprehens,1,139.0,4.93447393313,139.0,4.93447393313
happi,1,139.0,4.93447393313,139.0,4.93447393313
valuat,1,139.0,4.93447393313,139.0,4.93447393313
reloc,1,139.0,4.93447393313,139.0,4.93447393313
propertyit,1,139.0,4.93447393313,139.0,4.93447393313
materialist,1,139.0,4.93447393313,139.0,4.93447393313
numman,1,139.0,4.93447393313,139.0,4.93447393313
horror,1,139.0,4.93447393313,139.0,4.93447393313
execution,1,139.0,4.93447393313,139.0,4.93447393313
franciscan,1,139.0,4.93447393313,139.0,4.93447393313
evil,1,139.0,4.93447393313,139.0,4.93447393313
judgment,1,139.0,4.93447393313,139.0,4.93447393313
gestur,1,139.0,4.93447393313,139.0,4.93447393313
eric,1,139.0,4.93447393313,139.0,4.93447393313
condemn,1,139.0,4.93447393313,139.0,4.93447393313
salaryw,1,139.0,4.93447393313,139.0,4.93447393313
dorothi,1,139.0,4.93447393313,139.0,4.93447393313
recompens,1,139.0,4.93447393313,139.0,4.93447393313
chrysti,1,139.0,4.93447393313,139.0,4.93447393313
chariti,1,139.0,4.93447393313,139.0,4.93447393313
voluntarili,1,139.0,4.93447393313,139.0,4.93447393313
assur,1,139.0,4.93447393313,139.0,4.93447393313
canon,1,139.0,4.93447393313,139.0,4.93447393313
subway,1,139.0,4.93447393313,139.0,4.93447393313
cheer,1,139.0,4.93447393313,139.0,4.93447393313
check,1,139.0,4.93447393313,139.0,4.93447393313
wage,1,139.0,4.93447393313,139.0,4.93447393313
prison,1,139.0,4.93447393313,139.0,4.93447393313
love,2,64.1538461538,4.1612840449,128.307692308,8.3225680898
properti,3,41.7,3.7305011288,125.1,11.1915033864
resist,1,119.142857143,4.7803232533,119.142857143,4.7803232533
regul,1,119.142857143,4.7803232533,119.142857143,4.7803232533
daili,2,59.5714285714,4.08717607274,119.142857143,8.17435214548
poor,2,55.6,4.01818320126,111.2,8.03636640252
appoint,1,104.25,4.64679186068,104.25,4.64679186068
return,3,34.75,3.54817957201,104.25,10.644538716
obtain,1,104.25,4.64679186068,104.25,4.64679186068
expens,1,104.25,4.64679186068,104.25,4.64679186068
gospel,1,104.25,4.64679186068,104.25,4.64679186068
necessari,1,92.6666666667,4.52900882502,92.6666666667,4.52900882502
take,4,21.9473684211,3.08864724263,87.7894736844,12.3545889705
without,3,26.9032258065,3.29224619787,80.7096774195,9.87673859361
command,2,39.7142857143,3.68171096464,79.4285714286,7.36342192928
aid,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
opportun,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
politician,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
editor,1,75.8181818182,4.32833812956,75.8181818182,4.32833812956
problem,2,34.75,3.54817957201,69.5,7.09635914402
owe,1,69.5,4.24132675257,69.5,4.24132675257
restor,1,69.5,4.24132675257,69.5,4.24132675257
should,1,69.5,4.24132675257,69.5,4.24132675257
give,2,33.36,3.50735757749,66.72,7.01471515498
do,3,21.9473684211,3.08864724263,65.8421052633,9.26594172789
sir,1,64.1538461538,4.1612840449,64.1538461538,4.1612840449
jesus,1,64.1538461538,4.1612840449,64.1538461538,4.1612840449
admit,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
deal,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
street,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
man,2,27.8,3.3250360207,55.6,6.6500720414
explain,1,55.6,4.01818320126,55.6,4.01818320126
so,3,18.5333333333,2.91957091259,55.5999999999,8.75871273777
here,1,52.125,3.95364468012,52.125,3.95364468012
freedom,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583
protest,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583
believ,2,23.8285714286,3.17088534087,47.6571428572,6.34177068174
the,47,1.0,0.0,47.0,0.0
receiv,2,23.1666666667,3.1427144639,46.3333333334,6.2854289278
teach,1,46.3333333333,3.83586164446,46.3333333333,3.83586164446
headquart,1,43.8947368421,3.78179442319,43.8947368421,3.78179442319
own,3,14.1355932203,2.64869595845,42.4067796609,7.94608787535
food,1,41.7,3.7305011288,41.7,3.7305011288
taken,1,41.7,3.7305011288,41.7,3.7305011288
servic,3,13.9,2.63188884014,41.7,7.89566652042
execut,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464
accept,1,39.7142857143,3.68171096464,39.7142857143,3.68171096464
council,1,37.9090909091,3.635190949,37.9090909091,3.635190949
work,5,7.25217391304,1.981301274,36.2608695652,9.90650637
princip,1,36.2608695652,3.59073918643,36.2608695652,3.59073918643
brother,1,36.2608695652,3.59073918643,36.2608695652,3.59073918643
belief,1,34.75,3.54817957201,34.75,3.54817957201
good,1,34.75,3.54817957201,34.75,3.54817957201
peac,1,34.75,3.54817957201,34.75,3.54817957201
allow,1,33.36,3.50735757749,33.36,3.50735757749
view,1,33.36,3.50735757749,33.36,3.50735757749
could,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434
advanc,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434
root,1,32.0769230769,3.46813686434,32.0769230769,3.46813686434
make,4,7.8679245283,2.06279430825,31.4716981132,8.251177233
almost,2,15.7358490566,2.75594148881,31.4716981132,5.51188297762
issu,1,30.8888888889,3.43039653635,30.8888888889,3.43039653635
turn,1,28.7586206897,3.35893757237,28.7586206897,3.35893757237
did,1,28.7586206897,3.35893757237,28.7586206897,3.35893757237
case,1,27.8,3.3250360207,27.8,3.3250360207
system,4,6.83606557377,1.92221235763,27.3442622951,7.68884943052
ten,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787
possibl,1,26.9032258065,3.29224619787,26.9032258065,3.29224619787
individu,1,26.0625,3.26049749956,26.0625,3.26049749956
church,1,26.0625,3.26049749956,26.0625,3.26049749956
and,25,1.00120048019,0.0011997601919,25.0300120047,0.0299940047975
not,6,4.12871287129,1.41796570496,24.7722772277,8.50779422976
writer,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774
everi,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774
live,3,8.09708737864,2.09150441413,24.2912621359,6.27451324239
artist,1,23.8285714286,3.17088534087,23.8285714286,3.17088534087
half,1,23.1666666667,3.1427144639,23.1666666667,3.1427144639
extens,1,22.5405405405,3.11531548971,22.5405405405,3.11531548971
right,1,21.9473684211,3.08864724263,21.9473684211,3.08864724263
award,1,21.9473684211,3.08864724263,21.9473684211,3.08864724263
to,21,1.03731343284,0.0366341331798,21.7835820896,0.769316796776
for,15,1.44290657439,0.366659533686,21.6435986158,5.49989300529
declar,1,21.3846153846,3.06267175623,21.3846153846,3.06267175623
of,21,1.0,0.0,21.0,0.0
perform,1,20.85,3.03735394824,20.85,3.03735394824
repres,1,20.3414634146,3.01266133565,20.3414634146,3.01266133565
veri,1,20.3414634146,3.01266133565,20.3414634146,3.01266133565
way,1,20.3414634146,3.01266133565,20.3414634146,3.01266133565
are,9,2.12213740458,0.752423790489,19.0992366412,6.7718141144
out,1,18.5333333333,2.91957091259,18.5333333333,2.91957091259
but,5,3.65789473684,1.2968877734,18.2894736842,6.484438867
citi,5,3.62608695652,1.28815409344,18.1304347826,6.4407704672
posit,1,18.1304347826,2.89759200587,18.1304347826,2.89759200587
law,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065
christian,1,17.7446808511,2.87608580065,17.7446808511,2.87608580065
communiti,1,17.0204081633,2.83441310425,17.0204081633,2.83441310425
practic,1,17.0204081633,2.83441310425,17.0204081633,2.83441310425
who,3,5.59731543624,1.72228709641,16.7919463087,5.16686128923
which,9,1.86577181208,0.623674807745,16.7919463087,5.6130732697
