term,freq,idf,logidf,tfidf,logtfidf
sat,4,119.142857143,4.7803232533,476.571428572,19.1212930132
wait,4,119.142857143,4.7803232533,476.571428572,19.1212930132
disobey,3,119.142857143,4.7803232533,357.428571429,14.3409697599
allah,3,119.142857143,4.7803232533,357.428571429,14.3409697599
path,3,119.142857143,4.7803232533,357.428571429,14.3409697599
alayhi,2,119.142857143,4.7803232533,238.285714286,9.5606465066
ahmad,2,119.142857143,4.7803232533,238.285714286,9.5606465066
jihad,2,119.142857143,4.7803232533,238.285714286,9.5606465066
hijrah,2,119.142857143,4.7803232533,238.285714286,9.5606465066
’,2,119.142857143,4.7803232533,238.285714286,9.5606465066
forefath,2,119.142857143,4.7803232533,238.285714286,9.5606465066
messeng,2,119.142857143,4.7803232533,238.285714286,9.5606465066
jihād,2,119.142857143,4.7803232533,238.285714286,9.5606465066
musnad,2,119.142857143,4.7803232533,238.285714286,9.5606465066
sallam,2,119.142857143,4.7803232533,238.285714286,9.5606465066
wa,2,119.142857143,4.7803232533,238.285714286,9.5606465066
said,5,41.7,3.7305011288,208.5,18.652505644
will,5,30.8888888889,3.43039653635,154.444444444,17.1519826817
wealth,2,69.5,4.24132675257,139.0,8.48265350514
emigr,1,119.142857143,4.7803232533,119.142857143,4.7803232533
incumb,1,119.142857143,4.7803232533,119.142857143,4.7803232533
grate,1,119.142857143,4.7803232533,119.142857143,4.7803232533
sallallāhu,1,119.142857143,4.7803232533,119.142857143,4.7803232533
drown,1,119.142857143,4.7803232533,119.142857143,4.7803232533
peg,1,119.142857143,4.7803232533,119.142857143,4.7803232533
“hijrah,1,119.142857143,4.7803232533,119.142857143,4.7803232533
ride,1,119.142857143,4.7803232533,119.142857143,4.7803232533
abandon,1,119.142857143,4.7803232533,119.142857143,4.7803232533
sallallahu,1,119.142857143,4.7803232533,119.142857143,4.7803232533
exhaust,1,119.142857143,4.7803232533,119.142857143,4.7803232533
you'll,1,119.142857143,4.7803232533,119.142857143,4.7803232533
fasten,1,119.142857143,4.7803232533,119.142857143,4.7803232533
dabiq,1,119.142857143,4.7803232533,119.142857143,4.7803232533
whoever,1,119.142857143,4.7803232533,119.142857143,4.7803232533
di,1,119.142857143,4.7803232533,119.142857143,4.7803232533
stomp,1,119.142857143,4.7803232533,119.142857143,4.7803232533
﻿,1,119.142857143,4.7803232533,119.142857143,4.7803232533
emi,1,119.142857143,4.7803232533,119.142857143,4.7803232533
ādam,1,119.142857143,4.7803232533,119.142857143,4.7803232533
“shaytān,1,119.142857143,4.7803232533,119.142857143,4.7803232533
hors,1,119.142857143,4.7803232533,119.142857143,4.7803232533
jannah,1,119.142857143,4.7803232533,119.142857143,4.7803232533
ceas,1,119.142857143,4.7803232533,119.142857143,4.7803232533
sky,1,119.142857143,4.7803232533,119.142857143,4.7803232533
muhājir,1,119.142857143,4.7803232533,119.142857143,4.7803232533
rope,1,119.142857143,4.7803232533,119.142857143,4.7803232533
vide,1,119.142857143,4.7803232533,119.142857143,4.7803232533
upon,5,22.5405405405,3.11531548971,112.702702703,15.5765774485
islam,3,26.9032258065,3.29224619787,80.7096774195,9.87673859361
accept,2,39.7142857143,3.68171096464,79.4285714286,7.36342192928
kill,2,36.2608695652,3.59073918643,72.5217391304,7.18147837286
road,1,69.5,4.24132675257,69.5,4.24132675257
leav,1,64.1538461538,4.1612840449,64.1538461538,4.1612840449
marri,1,59.5714285714,4.08717607274,59.5714285714,4.08717607274
then,4,14.6315789474,2.68318213452,58.5263157896,10.7327285381
so,3,18.5333333333,2.91957091259,55.5999999999,8.75871273777
wife,1,52.125,3.95364468012,52.125,3.95364468012
fight,1,49.0588235294,3.8930200583,49.0588235294,3.8930200583
die,1,37.9090909091,3.635190949,37.9090909091,3.635190949
religion,2,18.9545454545,2.94204376844,37.909090909,5.88408753688
doe,1,33.36,3.50735757749,33.36,3.50735757749
enter,1,29.7857142857,3.39402889218,29.7857142857,3.39402889218
page,1,29.7857142857,3.39402889218,29.7857142857,3.39402889218
per,1,24.5294117647,3.19987287774,24.5294117647,3.19987287774
son,1,20.85,3.03735394824,20.85,3.03735394824
anim,1,20.85,3.03735394824,20.85,3.03735394824
and,16,1.00120048019,0.0011997601919,16.019207683,0.0191961630704
like,1,12.8307692308,2.55184613246,12.8307692308,2.55184613246
death,1,11.5833333333,2.44956728334,11.5833333333,2.44956728334
long,1,10.6923076923,2.36952457567,10.6923076923,2.36952457567
be,3,2.51204819277,0.921098433442,7.53614457831,2.76329530033
land,1,7.38053097345,1.99884558365,7.38053097345,1.99884558365
the,7,1.0,0.0,7.0,0.0
of,7,1.0,0.0,7.0,0.0
there,1,6.515625,1.87420313844,6.515625,1.87420313844
or,3,2.12755102041,0.754971562568,6.38265306123,2.2649146877
for,4,1.44290657439,0.366659533686,5.77162629756,1.46663813474
is,5,1.11497326203,0.108830424384,5.57486631015,0.54415212192
form,1,4.29896907216,1.4583752433,4.29896907216,1.4583752433
not,1,4.12871287129,1.41796570496,4.12871287129,1.41796570496
in,4,1.0036101083,0.0036036075033,4.0144404332,0.0144144300132
into,1,3.75675675676,1.32355602049,3.75675675676,1.32355602049
this,1,3.57939914163,1.27519494879,3.57939914163,1.27519494879
to,3,1.03731343284,0.0366341331798,3.11194029852,0.109902399539
after,1,3.10037174721,1.13152202276,3.10037174721,1.13152202276
a,3,1.02331288344,0.0230452891179,3.06993865032,0.0691358673537
by,2,1.25225225225,0.224943731818,2.5045045045,0.449887463636
one,1,2.224,0.799307376388,2.224,0.799307376388
as,2,1.10904255319,0.103497078409,2.21808510638,0.206994156818
num,2,1.09592641261,0.0916000444971,2.19185282522,0.183200088994
on,1,1.4973070018,0.403668162431,1.4973070018,0.403668162431
