term,freq,idf,logidf,tfidf,logtfidf
doer,29,139.0,4.93447393313,4031.0,143.099744061
justifi,27,139.0,4.93447393313,3753.0,133.230796195
judgment,24,139.0,4.93447393313,3336.0,118.427374395
christ,31,104.25,4.64679186068,3231.75,144.050547681
vers,21,139.0,4.93447393313,2919.0,103.623952596
gospel,21,104.25,4.64679186068,2189.25,97.5826290743
nt,13,139.0,4.93447393313,1807.0,64.1481611307
god,51,32.0769230769,3.46813686434,1635.92307692,176.874980081
say,21,75.8181818182,4.32833812956,1592.18181818,90.8951007208
hypothet,11,139.0,4.93447393313,1529.0,54.2792132644
sin,11,139.0,4.93447393313,1529.0,54.2792132644
s,21,64.1538461538,4.1612840449,1347.23076923,87.3869649429
statement,15,83.4,4.42364830936,1251.0,66.3547246404
law,68,17.7446808511,2.87608580065,1206.63829787,195.573834444
will,38,30.8888888889,3.43039653635,1173.77777778,130.355068381
save,8,139.0,4.93447393313,1112.0,39.475791465
numb,8,139.0,4.93447393313,1112.0,39.475791465
feel,8,139.0,4.93447393313,1112.0,39.475791465
sinless,7,139.0,4.93447393313,973.0,34.5413175319
perfect,7,139.0,4.93447393313,973.0,34.5413175319
flesh,7,139.0,4.93447393313,973.0,34.5413175319
judg,7,139.0,4.93447393313,973.0,34.5413175319
faith,18,52.125,3.95364468012,938.25,71.1656042422
paul,19,46.3333333333,3.83586164446,880.333333333,72.8813712447
spirit,8,104.25,4.64679186068,834.0,37.1743348854
trust,6,139.0,4.93447393313,834.0,29.6068435988
love,11,64.1538461538,4.1612840449,705.692307692,45.7741244939
forgiv,5,139.0,4.93447393313,695.0,24.6723696657
lawkeep,5,139.0,4.93447393313,695.0,24.6723696657
noth,5,139.0,4.93447393313,695.0,24.6723696657
merci,5,139.0,4.93447393313,695.0,24.6723696657
serious,5,119.142857143,4.7803232533,595.714285715,23.9016162665
partial,6,92.6666666667,4.52900882502,556.0,27.1740529501
gentil,4,139.0,4.93447393313,556.0,19.7378957325
thing,8,69.5,4.24132675257,556.0,33.9306140206
stumbl,4,139.0,4.93447393313,556.0,19.7378957325
etern,4,139.0,4.93447393313,556.0,19.7378957325
salvat,4,139.0,4.93447393313,556.0,19.7378957325
piper,4,139.0,4.93447393313,556.0,19.7378957325
realli,4,139.0,4.93447393313,556.0,19.7378957325
doe,16,33.36,3.50735757749,533.76,56.1177212398
jesus,8,64.1538461538,4.1612840449,513.23076923,33.2902723592
truth,6,83.4,4.42364830936,500.4,26.5418898562
weight,4,119.142857143,4.7803232533,476.571428572,19.1212930132
do,21,21.9473684211,3.08864724263,460.894736843,64.8615920952
acquit,3,139.0,4.93447393313,417.0,14.8034217994
