term,freq,idf,logidf,tfidf,logtfidf
torah,26,139.0,4.93447393313,3614.0,128.296322261
yizkor,12,139.0,4.93447393313,1668.0,59.2136871976
simhat,8,139.0,4.93447393313,1112.0,39.475791465
sol,6,139.0,4.93447393313,834.0,29.6068435988
shavuot,6,139.0,4.93447393313,834.0,29.6068435988
recal,5,139.0,4.93447393313,695.0,24.6723696657
breath,5,139.0,4.93447393313,695.0,24.6723696657
holiday,4,139.0,4.93447393313,556.0,19.7378957325
remind,4,139.0,4.93447393313,556.0,19.7378957325
abe,4,139.0,4.93447393313,556.0,19.7378957325
whi,4,139.0,4.93447393313,556.0,19.7378957325
mose,4,139.0,4.93447393313,556.0,19.7378957325
stori,18,26.0625,3.26049749956,469.125,58.6889549921
love,7,64.1538461538,4.1612840449,449.076923077,29.1289883143
embrac,3,139.0,4.93447393313,417.0,14.8034217994
vers,3,139.0,4.93447393313,417.0,14.8034217994
ask,3,139.0,4.93447393313,417.0,14.8034217994
remembr,3,139.0,4.93447393313,417.0,14.8034217994
hors,3,139.0,4.93447393313,417.0,14.8034217994
tell,3,139.0,4.93447393313,417.0,14.8034217994
conclud,3,139.0,4.93447393313,417.0,14.8034217994
cowboy,3,139.0,4.93447393313,417.0,14.8034217994
jew,5,75.8181818182,4.32833812956,379.090909091,21.6416906478
read,7,52.125,3.95364468012,364.875,27.6755127608
know,4,83.4,4.42364830936,333.6,17.6945932374
festiv,3,104.25,4.64679186068,312.75,13.940375582
celebr,7,41.7,3.7305011288,291.9,26.1135079016
leverag,2,139.0,4.93447393313,278.0,9.86894786626
repli,2,139.0,4.93447393313,278.0,9.86894786626
twentyfour,2,139.0,4.93447393313,278.0,9.86894786626
again,5,55.6,4.01818320126,278.0,20.0909160063
didn't,2,139.0,4.93447393313,278.0,9.86894786626
empow,2,139.0,4.93447393313,278.0,9.86894786626
revisit,2,139.0,4.93447393313,278.0,9.86894786626
answer,2,139.0,4.93447393313,278.0,9.86894786626
joy,2,139.0,4.93447393313,278.0,9.86894786626
movi,4,69.5,4.24132675257,278.0,16.9653070103
passag,2,139.0,4.93447393313,278.0,9.86894786626
meant,2,139.0,4.93447393313,278.0,9.86894786626
happen,2,139.0,4.93447393313,278.0,9.86894786626
parashah,2,139.0,4.93447393313,278.0,9.86894786626
messag,2,139.0,4.93447393313,278.0,9.86894786626
endur,2,139.0,4.93447393313,278.0,9.86894786626
bet,2,139.0,4.93447393313,278.0,9.86894786626
passov,2,139.0,4.93447393313,278.0,9.86894786626
deuteronomi,2,139.0,4.93447393313,278.0,9.86894786626
scroll,2,139.0,4.93447393313,278.0,9.86894786626
relationship,4,64.1538461538,4.1612840449,256.615384615,16.6451361796
will,8,30.8888888889,3.43039653635,247.111111111,27.4431722908
hour,2,119.142857143,4.7803232533,238.285714286,9.5606465066
next,4,59.5714285714,4.08717607274,238.285714286,16.348704291
learn,3,75.8181818182,4.32833812956,227.454545455,12.9850143887
narrat,4,55.6,4.01818320126,222.4,16.072732805
divin,3,69.5,4.24132675257,208.5,12.7239802577
god,6,32.0769230769,3.46813686434,192.461538461,20.808821186
bibl,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
scene,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
memori,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
creation,3,59.5714285714,4.08717607274,178.714285714,12.2615282182
how,4,43.8947368421,3.78179442319,175.578947368,15.1271776928
soul,2,83.4,4.42364830936,166.8,8.84729661872
task,2,83.4,4.42364830936,166.8,8.84729661872
p,2,83.4,4.42364830936,166.8,8.84729661872
interpret,3,52.125,3.95364468012,156.375,11.8609340404
cycl,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
jewish,4,36.2608695652,3.59073918643,145.043478261,14.3629567457
“you'r,1,139.0,4.93447393313,139.0,4.93447393313
prophet,1,139.0,4.93447393313,139.0,4.93447393313
“well,1,139.0,4.93447393313,139.0,4.93447393313
renew,1,139.0,4.93447393313,139.0,4.93447393313
husband,1,139.0,4.93447393313,139.0,4.93447393313
doesn't,1,139.0,4.93447393313,139.0,4.93447393313
onto,1,139.0,4.93447393313,139.0,4.93447393313
sibl,1,139.0,4.93447393313,139.0,4.93447393313
paus,1,139.0,4.93447393313,139.0,4.93447393313
unchang,1,139.0,4.93447393313,139.0,4.93447393313
etern,1,139.0,4.93447393313,139.0,4.93447393313
eden,1,139.0,4.93447393313,139.0,4.93447393313
heaven,1,139.0,4.93447393313,139.0,4.93447393313
grieffil,1,139.0,4.93447393313,139.0,4.93447393313
reconcil,1,139.0,4.93447393313,139.0,4.93447393313
tv,1,139.0,4.93447393313,139.0,4.93447393313
readerrespons,1,139.0,4.93447393313,139.0,4.93447393313
everchang,1,139.0,4.93447393313,139.0,4.93447393313
biblic,1,139.0,4.93447393313,139.0,4.93447393313
tear,1,139.0,4.93447393313,139.0,4.93447393313
exercis,1,139.0,4.93447393313,139.0,4.93447393313
infus,1,139.0,4.93447393313,139.0,4.93447393313
rosh,1,139.0,4.93447393313,139.0,4.93447393313
respond,1,139.0,4.93447393313,139.0,4.93447393313
eve,1,139.0,4.93447393313,139.0,4.93447393313
yes,1,139.0,4.93447393313,139.0,4.93447393313
shortcom,1,139.0,4.93447393313,139.0,4.93447393313
duress,1,139.0,4.93447393313,139.0,4.93447393313
reader,1,139.0,4.93447393313,139.0,4.93447393313
exodus,1,139.0,4.93447393313,139.0,4.93447393313
bestow,1,139.0,4.93447393313,139.0,4.93447393313
matan,1,139.0,4.93447393313,139.0,4.93447393313
shemini,1,139.0,4.93447393313,139.0,4.93447393313
imperfect,1,139.0,4.93447393313,139.0,4.93447393313
sure,1,139.0,4.93447393313,139.0,4.93447393313
