term,freq,idf,logidf,tfidf,logtfidf
nt,30,139.0,4.93447393313,4170.0,148.034217994
s,36,64.1538461538,4.1612840449,2309.53846154,149.806225616
polic,14,139.0,4.93447393313,1946.0,69.0826350638
re,14,139.0,4.93447393313,1946.0,69.0826350638
h,11,104.25,4.64679186068,1146.75,51.1147104675
harlem,8,139.0,4.93447393313,1112.0,39.475791465
nonviol,7,139.0,4.93447393313,973.0,34.5413175319
realiz,7,139.0,4.93447393313,973.0,34.5413175319
get,7,139.0,4.93447393313,973.0,34.5413175319
hategang,6,139.0,4.93447393313,834.0,29.6068435988
x,6,139.0,4.93447393313,834.0,29.6068435988
blood,8,104.25,4.64679186068,834.0,37.1743348854
oppressor,6,139.0,4.93447393313,834.0,29.6068435988
negro,6,139.0,4.93447393313,834.0,29.6068435988
malcolm,6,139.0,4.93447393313,834.0,29.6068435988
scare,6,139.0,4.93447393313,834.0,29.6068435988
ca,6,119.142857143,4.7803232533,714.857142858,28.6819395198
arlem,5,139.0,4.93447393313,695.0,24.6723696657
oppress,5,139.0,4.93447393313,695.0,24.6723696657
ve,5,139.0,4.93447393313,695.0,24.6723696657
broaden,5,139.0,4.93447393313,695.0,24.6723696657
condit,11,55.6,4.01818320126,611.6,44.2000152139
say,8,75.8181818182,4.32833812956,606.545454546,34.6267050365
do,27,21.9473684211,3.08864724263,592.57894737,83.393475551
p,7,83.4,4.42364830936,583.8,30.9655381655
should,8,69.5,4.24132675257,556.0,33.9306140206
tri,4,139.0,4.93447393313,556.0,19.7378957325
told,4,139.0,4.93447393313,556.0,19.7378957325
odd,4,139.0,4.93447393313,556.0,19.7378957325
feel,4,139.0,4.93447393313,556.0,19.7378957325
forget,4,139.0,4.93447393313,556.0,19.7378957325
talk,4,139.0,4.93447393313,556.0,19.7378957325
imposs,4,139.0,4.93447393313,556.0,19.7378957325
milit,4,139.0,4.93447393313,556.0,19.7378957325
brother,15,36.2608695652,3.59073918643,543.913043478,53.8610877965
stand,7,75.8181818182,4.32833812956,530.727272727,30.2983669069
thing,7,69.5,4.24132675257,486.5,29.689287268
resist,4,119.142857143,4.7803232533,476.571428572,19.1212930132
want,4,119.142857143,4.7803232533,476.571428572,19.1212930132
if,16,28.7586206897,3.35893757237,460.137931035,53.7430011579
