term,freq,idf,logidf,tfidf,logtfidf
sanskara,49,139.0,4.93447393313,6811.0,241.789222723
desir,24,139.0,4.93447393313,3336.0,118.427374395
mind,22,119.142857143,4.7803232533,2621.14285715,105.167111573
renunci,13,139.0,4.93447393313,1807.0,64.1481611307
extern,15,119.142857143,4.7803232533,1787.14285714,71.7048487995
conscious,12,139.0,4.93447393313,1668.0,59.2136871976
unwind,11,139.0,4.93447393313,1529.0,54.2792132644
negat,11,139.0,4.93447393313,1529.0,54.2792132644
penanc,10,139.0,4.93447393313,1390.0,49.3447393313
wear,9,139.0,4.93447393313,1251.0,44.4102653982
attach,8,139.0,4.93447393313,1112.0,39.475791465
should,16,69.5,4.24132675257,1112.0,67.8612280411
fulfil,8,139.0,4.93447393313,1112.0,39.475791465
string,8,139.0,4.93447393313,1112.0,39.475791465
stimuli,8,139.0,4.93447393313,1112.0,39.475791465
mental,9,119.142857143,4.7803232533,1072.28571429,43.0229092797
detach,7,139.0,4.93447393313,973.0,34.5413175319
want,8,119.142857143,4.7803232533,953.142857144,38.2425860264
neti,6,139.0,4.93447393313,834.0,29.6068435988
cogit,6,139.0,4.93447393313,834.0,29.6068435988
get,6,139.0,4.93447393313,834.0,29.6068435988
crave,6,139.0,4.93447393313,834.0,29.6068435988
oversoul,6,139.0,4.93447393313,834.0,29.6068435988
fast,12,64.1538461538,4.1612840449,769.846153846,49.9354085388
aris,5,139.0,4.93447393313,695.0,24.6723696657
renounc,5,139.0,4.93447393313,695.0,24.6723696657
remors,4,139.0,4.93447393313,556.0,19.7378957325
feel,4,139.0,4.93447393313,556.0,19.7378957325
wrong,4,139.0,4.93447393313,556.0,19.7378957325
mere,4,139.0,4.93447393313,556.0,19.7378957325
necessarili,4,139.0,4.93447393313,556.0,19.7378957325
attitud,4,139.0,4.93447393313,556.0,19.7378957325
ascetic,4,139.0,4.93447393313,556.0,19.7378957325
avoid,4,139.0,4.93447393313,556.0,19.7378957325
selfcondemn,4,139.0,4.93447393313,556.0,19.7378957325
express,10,55.6,4.01818320126,556.0,40.1818320126
nonwant,4,139.0,4.93447393313,556.0,19.7378957325
psychic,4,139.0,4.93447393313,556.0,19.7378957325
bring,6,83.4,4.42364830936,500.4,26.5418898562
action,13,37.9090909091,3.635190949,492.818181818,47.257482337
if,17,28.7586206897,3.35893757237,488.896551725,57.1019387303
am,4,119.142857143,4.7803232533,476.571428572,19.1212930132
formula,4,119.142857143,4.7803232533,476.571428572,19.1212930132
reaction,4,119.142857143,4.7803232533,476.571428572,19.1212930132
deni,3,139.0,4.93447393313,417.0,14.8034217994
subtl,3,139.0,4.93447393313,417.0,14.8034217994
unmov,3,139.0,4.93447393313,417.0,14.8034217994
impress,3,139.0,4.93447393313,417.0,14.8034217994
wipe,3,139.0,4.93447393313,417.0,14.8034217994
pois,3,139.0,4.93447393313,417.0,14.8034217994
temptat,3,139.0,4.93447393313,417.0,14.8034217994
assert,4,104.25,4.64679186068,417.0,18.5871674427
tendenc,3,139.0,4.93447393313,417.0,14.8034217994
indulg,3,139.0,4.93447393313,417.0,14.8034217994
illus,3,139.0,4.93447393313,417.0,14.8034217994
accompani,4,104.25,4.64679186068,417.0,18.5871674427
detach≠,3,139.0,4.93447393313,417.0,14.8034217994
analog,3,139.0,4.93447393313,417.0,14.8034217994
mode,3,139.0,4.93447393313,417.0,14.8034217994
dispers,3,139.0,4.93447393313,417.0,14.8034217994
solitud,3,139.0,4.93447393313,417.0,14.8034217994
sans≠kara,3,139.0,4.93447393313,417.0,14.8034217994
realiz,3,139.0,4.93447393313,417.0,14.8034217994
tri,3,139.0,4.93447393313,417.0,14.8034217994
everyth,3,139.0,4.93447393313,417.0,14.8034217994
done,3,139.0,4.93447393313,417.0,14.8034217994
spontan,3,139.0,4.93447393313,417.0,14.8034217994
seed,3,139.0,4.93447393313,417.0,14.8034217994
soul,5,83.4,4.42364830936,417.0,22.1182415468
spiritu,6,64.1538461538,4.1612840449,384.923076923,24.9677042694
food,9,41.7,3.7305011288,375.3,33.5745101592
fresh,3,119.142857143,4.7803232533,357.428571429,14.3409697599
reject,4,83.4,4.42364830936,333.6,17.6945932374
doe,10,33.36,3.50735757749,333.6,35.0735757749
care,3,92.6666666667,4.52900882502,278.0,13.5870264751
constant,3,92.6666666667,4.52900882502,278.0,13.5870264751
perpetu,2,139.0,4.93447393313,278.0,9.86894786626
withhold,2,139.0,4.93447393313,278.0,9.86894786626
onslaught,2,139.0,4.93447393313,278.0,9.86894786626
stabl,2,139.0,4.93447393313,278.0,9.86894786626
bind,2,139.0,4.93447393313,278.0,9.86894786626
healthi,2,139.0,4.93447393313,278.0,9.86894786626
overcom,2,139.0,4.93447393313,278.0,9.86894786626
puriti,2,139.0,4.93447393313,278.0,9.86894786626
