term,freq,idf,logidf,tfidf,logtfidf
love,68,64.1538461538,4.1612840449,4362.46153846,282.967315053
s,44,64.1538461538,4.1612840449,2822.76923077,183.096497976
got,15,139.0,4.93447393313,2085.0,74.017108997
debt,9,139.0,4.93447393313,1251.0,44.4102653982
rememb,9,139.0,4.93447393313,1251.0,44.4102653982
pay,8,139.0,4.93447393313,1112.0,39.475791465
don,8,139.0,4.93447393313,1112.0,39.475791465
husband,8,139.0,4.93447393313,1112.0,39.475791465
prayer,8,139.0,4.93447393313,1112.0,39.475791465
get,8,139.0,4.93447393313,1112.0,39.475791465
ill,12,83.4,4.42364830936,1000.8,53.0837797123
do,44,21.9473684211,3.08864724263,965.684210528,135.900478676
want,8,119.142857143,4.7803232533,953.142857144,38.2425860264
lawyer,6,139.0,4.93447393313,834.0,29.6068435988
thank,6,139.0,4.93447393313,834.0,29.6068435988
disciplin,11,69.5,4.24132675257,764.5,46.6545942783
t,17,41.7,3.7305011288,708.9,63.4185191896
christ,6,104.25,4.64679186068,625.5,27.8807511641
go,10,59.5714285714,4.08717607274,595.714285714,40.8717607274
kid,4,139.0,4.93447393313,556.0,19.7378957325
bless,4,139.0,4.93447393313,556.0,19.7378957325
let,4,139.0,4.93447393313,556.0,19.7378957325
pray,4,139.0,4.93447393313,556.0,19.7378957325
lot,4,139.0,4.93447393313,556.0,19.7378957325
anyway,4,139.0,4.93447393313,556.0,19.7378957325
divorc,4,139.0,4.93447393313,556.0,19.7378957325
ask,4,139.0,4.93447393313,556.0,19.7378957325
everyth,4,139.0,4.93447393313,556.0,19.7378957325
eph,4,139.0,4.93447393313,556.0,19.7378957325
surpris,4,139.0,4.93447393313,556.0,19.7378957325
say,7,75.8181818182,4.32833812956,530.727272727,30.2983669069
someth,5,104.25,4.64679186068,521.25,23.2339593034
marriag,5,104.25,4.64679186068,521.25,23.2339593034
children,15,34.75,3.54817957201,521.25,53.2226935801
i,47,10.9736842105,2.39550006207,515.763157893,112.588502917
hatr,3,139.0,4.93447393313,417.0,14.8034217994
anger,3,139.0,4.93447393313,417.0,14.8034217994
bad,3,139.0,4.93447393313,417.0,14.8034217994
goe,3,139.0,4.93447393313,417.0,14.8034217994
kind,5,83.4,4.42364830936,417.0,22.1182415468
whi,3,139.0,4.93447393313,417.0,14.8034217994
realli,3,139.0,4.93447393313,417.0,14.8034217994
truck,3,139.0,4.93447393313,417.0,14.8034217994
dear,3,139.0,4.93447393313,417.0,14.8034217994
didn,3,139.0,4.93447393313,417.0,14.8034217994
crane,3,139.0,4.93447393313,417.0,14.8034217994
sunday,3,139.0,4.93447393313,417.0,14.8034217994
tell,3,139.0,4.93447393313,417.0,14.8034217994
mate,3,139.0,4.93447393313,417.0,14.8034217994
wrong,3,139.0,4.93447393313,417.0,14.8034217994
sin,3,139.0,4.93447393313,417.0,14.8034217994
wive,3,139.0,4.93447393313,417.0,14.8034217994
tear,3,139.0,4.93447393313,417.0,14.8034217994
forgiv,3,139.0,4.93447393313,417.0,14.8034217994
nice,3,139.0,4.93447393313,417.0,14.8034217994
someon,3,139.0,4.93447393313,417.0,14.8034217994
clinton,3,139.0,4.93447393313,417.0,14.8034217994
exclaim,3,139.0,4.93447393313,417.0,14.8034217994
dad,3,139.0,4.93447393313,417.0,14.8034217994
must,7,59.5714285714,4.08717607274,417.0,28.6102325092
watch,5,75.8181818182,4.32833812956,379.090909091,21.6416906478
anoth,12,30.8888888889,3.43039653635,370.666666667,41.1647584362
wife,7,52.125,3.95364468012,364.875,27.6755127608
will,11,30.8888888889,3.43039653635,339.777777778,37.7343618999
said,8,41.7,3.7305011288,333.6,29.8440090304
bill,4,83.4,4.42364830936,333.6,17.6945932374
lord,6,55.6,4.01818320126,333.6,24.1090992076
what,27,11.7464788732,2.46355352532,317.154929576,66.5159451836
spirit,3,104.25,4.64679186068,312.75,13.940375582
benjamin,3,104.25,4.64679186068,312.75,13.940375582
how,7,43.8947368421,3.78179442319,307.263157895,26.4725609623
god,9,32.0769230769,3.46813686434,288.692307692,31.2132317791
charg,3,92.6666666667,4.52900882502,278.0,13.5870264751
hard,3,92.6666666667,4.52900882502,278.0,13.5870264751
sermon,2,139.0,4.93447393313,278.0,9.86894786626
talk,2,139.0,4.93447393313,278.0,9.86894786626
drink,2,139.0,4.93447393313,278.0,9.86894786626
none,2,139.0,4.93447393313,278.0,9.86894786626
noth,2,139.0,4.93447393313,278.0,9.86894786626
indebted,2,139.0,4.93447393313,278.0,9.86894786626
loveil,2,139.0,4.93447393313,278.0,9.86894786626
baptiz,2,139.0,4.93447393313,278.0,9.86894786626
eye,4,69.5,4.24132675257,278.0,16.9653070103
forgav,2,139.0,4.93447393313,278.0,9.86894786626
proceed,2,139.0,4.93447393313,278.0,9.86894786626
eleph,2,139.0,4.93447393313,278.0,9.86894786626
prov,2,139.0,4.93447393313,278.0,9.86894786626
thing,4,69.5,4.24132675257,278.0,16.9653070103
hurt,2,139.0,4.93447393313,278.0,9.86894786626
perfect,2,139.0,4.93447393313,278.0,9.86894786626
dirti,2,139.0,4.93447393313,278.0,9.86894786626
should,4,69.5,4.24132675257,278.0,16.9653070103
whatev,2,139.0,4.93447393313,278.0,9.86894786626
cloth,2,139.0,4.93447393313,278.0,9.86894786626
listen,2,139.0,4.93447393313,278.0,9.86894786626
anyth,2,139.0,4.93447393313,278.0,9.86894786626
ve,2,139.0,4.93447393313,278.0,9.86894786626
rid,2,139.0,4.93447393313,278.0,9.86894786626
felt,2,139.0,4.93447393313,278.0,9.86894786626
pleas,2,139.0,4.93447393313,278.0,9.86894786626
negat,2,139.0,4.93447393313,278.0,9.86894786626
repli,2,139.0,4.93447393313,278.0,9.86894786626
mike,2,139.0,4.93447393313,278.0,9.86894786626
spare,2,139.0,4.93447393313,278.0,9.86894786626
wasn,2,139.0,4.93447393313,278.0,9.86894786626
job,2,139.0,4.93447393313,278.0,9.86894786626
tv,2,139.0,4.93447393313,278.0,9.86894786626
misbehav,2,139.0,4.93447393313,278.0,9.86894786626
convinc,2,139.0,4.93447393313,278.0,9.86894786626
feel,2,139.0,4.93447393313,278.0,9.86894786626
trick,2,139.0,4.93447393313,278.0,9.86894786626
turner,2,139.0,4.93447393313,278.0,9.86894786626
robber,2,139.0,4.93447393313,278.0,9.86894786626
furnitur,2,139.0,4.93447393313,278.0,9.86894786626
instruct,2,139.0,4.93447393313,278.0,9.86894786626
tri,2,139.0,4.93447393313,278.0,9.86894786626
spank,2,139.0,4.93447393313,278.0,9.86894786626
doesn,2,139.0,4.93447393313,278.0,9.86894786626
jesus,4,64.1538461538,4.1612840449,256.615384615,16.6451361796
might,4,64.1538461538,4.1612840449,256.615384615,16.6451361796
look,3,83.4,4.42364830936,250.2,13.2709449281
mind,2,119.142857143,4.7803232533,238.285714286,9.5606465066
birthday,2,119.142857143,4.7803232533,238.285714286,9.5606465066
fair,2,119.142857143,4.7803232533,238.285714286,9.5606465066
dub,2,119.142857143,4.7803232533,238.285714286,9.5606465066
rais,6,39.7142857143,3.68171096464,238.285714286,22.0902657878
teach,5,46.3333333333,3.83586164446,231.666666666,19.1793082223
mouth,3,75.8181818182,4.32833812956,227.454545455,12.9850143887
down,6,36.2608695652,3.59073918643,217.565217391,21.5444351186
seem,2,104.25,4.64679186068,208.5,9.29358372136
good,6,34.75,3.54817957201,208.5,21.2890774321
if,7,28.7586206897,3.35893757237,201.310344828,23.5125630066
did,7,28.7586206897,3.35893757237,201.310344828,23.5125630066
never,8,24.5294117647,3.19987287774,196.235294118,25.5989830219
like,15,12.8307692308,2.55184613246,192.461538462,38.2776919869
relationship,3,64.1538461538,4.1612840449,192.461538461,12.4838521347
perhap,3,64.1538461538,4.1612840449,192.461538461,12.4838521347
whole,5,37.9090909091,3.635190949,189.545454546,18.175954745
care,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
cours,4,46.3333333333,3.83586164446,185.333333333,15.3434465778
offer,4,46.3333333333,3.83586164446,185.333333333,15.3434465778
true,3,59.5714285714,4.08717607274,178.714285714,12.2615282182
doe,5,33.36,3.50735757749,166.8,17.5367878875
know,2,83.4,4.42364830936,166.8,8.84729661872
littl,5,33.36,3.50735757749,166.8,17.5367878875
wall,2,83.4,4.42364830936,166.8,8.84729661872
therefor,3,55.6,4.01818320126,166.8,12.0545496038
just,8,20.3414634146,3.01266133565,162.731707317,24.1012906852
demonstr,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
stand,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
hunt,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
put,2,75.8181818182,4.32833812956,151.636363636,8.65667625912
so,8,18.5333333333,2.91957091259,148.266666666,23.3565673007
out,8,18.5333333333,2.91957091259,148.266666666,23.3565673007
full,3,49.0588235294,3.8930200583,147.176470588,11.6790601749
shout,1,139.0,4.93447393313,139.0,4.93447393313
selfcontrol,1,139.0,4.93447393313,139.0,4.93447393313
complaint,1,139.0,4.93447393313,139.0,4.93447393313
bother,1,139.0,4.93447393313,139.0,4.93447393313
wrongdoingbroth,1,139.0,4.93447393313,139.0,4.93447393313
tomorrow,1,139.0,4.93447393313,139.0,4.93447393313
slime,1,139.0,4.93447393313,139.0,4.93447393313
everythingconclusioin,1,139.0,4.93447393313,139.0,4.93447393313
tennyson,1,139.0,4.93447393313,139.0,4.93447393313
digniti,1,139.0,4.93447393313,139.0,4.93447393313
bunchii,1,139.0,4.93447393313,139.0,4.93447393313
benefit,1,139.0,4.93447393313,139.0,4.93447393313
acquaint,1,139.0,4.93447393313,139.0,4.93447393313
felli,1,139.0,4.93447393313,139.0,4.93447393313
bitter,1,139.0,4.93447393313,139.0,4.93447393313
traffic,1,139.0,4.93447393313,139.0,4.93447393313
dismount,1,139.0,4.93447393313,139.0,4.93447393313
mama,1,139.0,4.93447393313,139.0,4.93447393313
surrog,1,139.0,4.93447393313,139.0,4.93447393313
builder,1,139.0,4.93447393313,139.0,4.93447393313
mom,1,139.0,4.93447393313,139.0,4.93447393313
ought,1,139.0,4.93447393313,139.0,4.93447393313
wash,1,139.0,4.93447393313,139.0,4.93447393313
messag,1,139.0,4.93447393313,139.0,4.93447393313
snap,1,139.0,4.93447393313,139.0,4.93447393313
reassur,1,139.0,4.93447393313,139.0,4.93447393313
easi,1,139.0,4.93447393313,139.0,4.93447393313
mangl,1,139.0,4.93447393313,139.0,4.93447393313
gailey,1,139.0,4.93447393313,139.0,4.93447393313
unwholesom,1,139.0,4.93447393313,139.0,4.93447393313
grandchildren,1,139.0,4.93447393313,139.0,4.93447393313
lip,1,139.0,4.93447393313,139.0,4.93447393313
mr,1,139.0,4.93447393313,139.0,4.93447393313
commentari,1,139.0,4.93447393313,139.0,4.93447393313
