term,freq,idf,logidf,tfidf,logtfidf
jesus,52,64.1538461538,4.1612840449,3336.0,216.386770335
say,19,75.8181818182,4.32833812956,1440.54545455,82.2384244616
opinion,9,139.0,4.93447393313,1251.0,44.4102653982
johnson,8,139.0,4.93447393313,1112.0,39.475791465
justic,11,92.6666666667,4.52900882502,1019.33333333,49.8190970752
ohio,13,75.8181818182,4.32833812956,985.636363637,56.2683956843
pastor,7,139.0,4.93447393313,973.0,34.5413175319
seem,9,104.25,4.64679186068,938.25,41.8211267461
gospel,9,104.25,4.64679186068,938.25,41.8211267461
stake,6,139.0,4.93447393313,834.0,29.6068435988
sure,6,139.0,4.93447393313,834.0,29.6068435988
everyon,6,139.0,4.93447393313,834.0,29.6068435988
tri,6,139.0,4.93447393313,834.0,29.6068435988
too,6,119.142857143,4.7803232533,714.857142858,28.6819395198
savior,5,139.0,4.93447393313,695.0,24.6723696657
tell,5,139.0,4.93447393313,695.0,24.6723696657
caesar,5,139.0,4.93447393313,695.0,24.6723696657
silenc,5,139.0,4.93447393313,695.0,24.6723696657
im,5,139.0,4.93447393313,695.0,24.6723696657
whi,5,139.0,4.93447393313,695.0,24.6723696657
know,8,83.4,4.42364830936,667.2,35.3891864749
t,16,41.7,3.7305011288,667.2,59.6880180608
contrast,9,69.5,4.24132675257,625.5,38.1719407731
hard,6,92.6666666667,4.52900882502,556.0,27.1740529501
dream,4,139.0,4.93447393313,556.0,19.7378957325
e,8,69.5,4.24132675257,556.0,33.9306140206
let,4,139.0,4.93447393313,556.0,19.7378957325
oppress,4,139.0,4.93447393313,556.0,19.7378957325
russel,4,139.0,4.93447393313,556.0,19.7378957325
walk,4,139.0,4.93447393313,556.0,19.7378957325
hear,4,139.0,4.93447393313,556.0,19.7378957325
told,4,139.0,4.93447393313,556.0,19.7378957325
galile,4,139.0,4.93447393313,556.0,19.7378957325
devil,4,139.0,4.93447393313,556.0,19.7378957325
galilean,4,139.0,4.93447393313,556.0,19.7378957325
yeshu,4,139.0,4.93447393313,556.0,19.7378957325
get,4,139.0,4.93447393313,556.0,19.7378957325
hell,4,139.0,4.93447393313,556.0,19.7378957325
clear,9,59.5714285714,4.08717607274,536.142857143,36.7845846547
templ,5,104.25,4.64679186068,521.25,23.2339593034
s,8,64.1538461538,4.1612840449,513.23076923,33.2902723592
woman,4,119.142857143,4.7803232533,476.571428572,19.1212930132
am,4,119.142857143,4.7803232533,476.571428572,19.1212930132
want,4,119.142857143,4.7803232533,476.571428572,19.1212930132
nt,3,139.0,4.93447393313,417.0,14.8034217994
g,3,139.0,4.93447393313,417.0,14.8034217994
els,3,139.0,4.93447393313,417.0,14.8034217994
mr,3,139.0,4.93447393313,417.0,14.8034217994
ere,3,139.0,4.93447393313,417.0,14.8034217994
rememb,3,139.0,4.93447393313,417.0,14.8034217994
room,3,139.0,4.93447393313,417.0,14.8034217994
agit,3,139.0,4.93447393313,417.0,14.8034217994
w,4,104.25,4.64679186068,417.0,18.5871674427
y,3,139.0,4.93447393313,417.0,14.8034217994
everyth,3,139.0,4.93447393313,417.0,14.8034217994
yes,3,139.0,4.93447393313,417.0,14.8034217994
embrac,3,139.0,4.93447393313,417.0,14.8034217994
n,3,139.0,4.93447393313,417.0,14.8034217994
bethlehem,3,139.0,4.93447393313,417.0,14.8034217994
sage,3,139.0,4.93447393313,417.0,14.8034217994
anyon,3,139.0,4.93447393313,417.0,14.8034217994
spring,4,104.25,4.64679186068,417.0,18.5871674427
patriot,3,139.0,4.93447393313,417.0,14.8034217994
tch,3,139.0,4.93447393313,417.0,14.8034217994
happen,3,139.0,4.93447393313,417.0,14.8034217994
knew,3,139.0,4.93447393313,417.0,14.8034217994
hair,3,139.0,4.93447393313,417.0,14.8034217994
pilatus,3,139.0,4.93447393313,417.0,14.8034217994
talk,3,139.0,4.93447393313,417.0,14.8034217994
tabl,4,92.6666666667,4.52900882502,370.666666667,18.1160353001
mind,3,119.142857143,4.7803232533,357.428571429,14.3409697599
so,19,18.5333333333,2.91957091259,352.133333333,55.4718473392
if,12,28.7586206897,3.35893757237,345.103448276,40.3072508684
stori,13,26.0625,3.26049749956,338.8125,42.3864674943
truth,4,83.4,4.42364830936,333.6,17.6945932374
perhap,5,64.1538461538,4.1612840449,320.769230769,20.8064202245
love,5,64.1538461538,4.1612840449,320.769230769,20.8064202245
break,3,104.25,4.64679186068,312.75,13.940375582
h,3,104.25,4.64679186068,312.75,13.940375582
here,6,52.125,3.95364468012,312.75,23.7218680807
testament,3,104.25,4.64679186068,312.75,13.940375582
mari,5,59.5714285714,4.08717607274,297.857142857,20.4358803637
gnostic,2,139.0,4.93447393313,278.0,9.86894786626
preach,2,139.0,4.93447393313,278.0,9.86894786626
specul,2,139.0,4.93447393313,278.0,9.86894786626
grace,2,139.0,4.93447393313,278.0,9.86894786626
howard,2,139.0,4.93447393313,278.0,9.86894786626
find,5,55.6,4.01818320126,278.0,20.0909160063
ourselv,2,139.0,4.93447393313,278.0,9.86894786626
pay,2,139.0,4.93447393313,278.0,9.86894786626
sunday,2,139.0,4.93447393313,278.0,9.86894786626
st,2,139.0,4.93447393313,278.0,9.86894786626
synagogu,2,139.0,4.93447393313,278.0,9.86894786626
heard,2,139.0,4.93447393313,278.0,9.86894786626
beaver,2,139.0,4.93447393313,278.0,9.86894786626
se,2,139.0,4.93447393313,278.0,9.86894786626
sit,2,139.0,4.93447393313,278.0,9.86894786626
invit,2,139.0,4.93447393313,278.0,9.86894786626
unbelief,2,139.0,4.93447393313,278.0,9.86894786626
gather,2,139.0,4.93447393313,278.0,9.86894786626
nonviol,2,139.0,4.93447393313,278.0,9.86894786626
sin,2,139.0,4.93447393313,278.0,9.86894786626
desir,2,139.0,4.93447393313,278.0,9.86894786626
arama,2,139.0,4.93447393313,278.0,9.86894786626
nd,2,139.0,4.93447393313,278.0,9.86894786626
collabor,2,139.0,4.93447393313,278.0,9.86894786626
ordinari,2,139.0,4.93447393313,278.0,9.86894786626
bless,2,139.0,4.93447393313,278.0,9.86894786626
herod,2,139.0,4.93447393313,278.0,9.86894786626
worship,2,139.0,4.93447393313,278.0,9.86894786626
judean,2,139.0,4.93447393313,278.0,9.86894786626
thank,2,139.0,4.93447393313,278.0,9.86894786626
crucifi,2,139.0,4.93447393313,278.0,9.86894786626
isnt,2,139.0,4.93447393313,278.0,9.86894786626
deeper,2,139.0,4.93447393313,278.0,9.86894786626
entitl,2,139.0,4.93447393313,278.0,9.86894786626
realli,2,139.0,4.93447393313,278.0,9.86894786626
fear,2,139.0,4.93447393313,278.0,9.86894786626
willow,2,139.0,4.93447393313,278.0,9.86894786626
taught,2,139.0,4.93447393313,278.0,9.86894786626
dare,2,139.0,4.93447393313,278.0,9.86894786626
undoubt,2,139.0,4.93447393313,278.0,9.86894786626
ts,2,139.0,4.93447393313,278.0,9.86894786626
cynic,2,139.0,4.93447393313,278.0,9.86894786626
re,2,139.0,4.93447393313,278.0,9.86894786626
embarrass,2,139.0,4.93447393313,278.0,9.86894786626
hide,2,139.0,4.93447393313,278.0,9.86894786626
prophet,2,139.0,4.93447393313,278.0,9.86894786626
ritual,2,139.0,4.93447393313,278.0,9.86894786626
magdala,2,139.0,4.93447393313,278.0,9.86894786626
nail,2,139.0,4.93447393313,278.0,9.86894786626
homeless,2,139.0,4.93447393313,278.0,9.86894786626
forev,2,139.0,4.93447393313,278.0,9.86894786626
inner,2,139.0,4.93447393313,278.0,9.86894786626
disenfranchis,2,139.0,4.93447393313,278.0,9.86894786626
anger,2,139.0,4.93447393313,278.0,9.86894786626
beam,2,139.0,4.93447393313,278.0,9.86894786626
resent,2,139.0,4.93447393313,278.0,9.86894786626
supper,2,139.0,4.93447393313,278.0,9.86894786626
itiner,2,139.0,4.93447393313,278.0,9.86894786626
