term,freq,idf,logidf,tfidf,logtfidf
paul,55,46.3333333333,3.83586164446,2548.33333333,210.972390445
unto,18,139.0,4.93447393313,2502.0,88.8205307963
jerusalem,14,139.0,4.93447393313,1946.0,69.0826350638
shall,13,139.0,4.93447393313,1807.0,64.1481611307
thou,12,139.0,4.93447393313,1668.0,59.2136871976
thee,10,139.0,4.93447393313,1390.0,49.3447393313
felix,10,139.0,4.93447393313,1390.0,49.3447393313
festus,9,139.0,4.93447393313,1251.0,44.4102653982
thing,18,69.5,4.24132675257,1251.0,76.3438815463
s,18,64.1538461538,4.1612840449,1154.76923077,74.9031128082
agrippa,8,139.0,4.93447393313,1112.0,39.475791465
accus,8,139.0,4.93447393313,1112.0,39.475791465
am,9,119.142857143,4.7803232533,1072.28571429,43.0229092797
noth,7,139.0,4.93447393313,973.0,34.5413175319
bond,7,139.0,4.93447393313,973.0,34.5413175319
captain,7,139.0,4.93447393313,973.0,34.5413175319
wit,14,69.5,4.24132675257,973.0,59.378574536
christ,8,104.25,4.64679186068,834.0,37.1743348854
spirit,8,104.25,4.64679186068,834.0,37.1743348854
prison,6,139.0,4.93447393313,834.0,29.6068435988
go,12,59.5714285714,4.08717607274,714.857142857,49.0461128729
hear,5,139.0,4.93447393313,695.0,24.6723696657
worthi,5,139.0,4.93447393313,695.0,24.6723696657
custodi,5,139.0,4.93447393313,695.0,24.6723696657
sermon,5,139.0,4.93447393313,695.0,24.6723696657
ghost,5,139.0,4.93447393313,695.0,24.6723696657
forth,5,139.0,4.93447393313,695.0,24.6723696657
i,60,10.9736842105,2.39550006207,658.42105263,143.730003724
said,15,41.7,3.7305011288,625.5,55.957516932
say,8,75.8181818182,4.32833812956,606.545454546,34.6267050365
know,7,83.4,4.42364830936,583.8,30.9655381655
jesus,9,64.1538461538,4.1612840449,577.384615384,37.4515564041
abid,4,139.0,4.93447393313,556.0,19.7378957325
tell,4,139.0,4.93447393313,556.0,19.7378957325
outlin,4,139.0,4.93447393313,556.0,19.7378957325
wherefor,4,139.0,4.93447393313,556.0,19.7378957325
hath,4,139.0,4.93447393313,556.0,19.7378957325
belov,4,139.0,4.93447393313,556.0,19.7378957325
