term,freq,idf,logidf,tfidf,logtfidf
sannyasin,8,139.0,4.93447393313,1112.0,39.475791465
yoga,6,139.0,4.93447393313,834.0,29.6068435988
sannya,3,139.0,4.93447393313,417.0,14.8034217994
renounc,3,139.0,4.93447393313,417.0,14.8034217994
sri,3,119.142857143,4.7803232533,357.428571429,14.3409697599
satchidananda,2,139.0,4.93447393313,278.0,9.86894786626
monk,2,139.0,4.93447393313,278.0,9.86894786626
dress,2,139.0,4.93447393313,278.0,9.86894786626
“the,2,139.0,4.93447393313,278.0,9.86894786626
ceremoni,2,139.0,4.93447393313,278.0,9.86894786626
renunci,2,139.0,4.93447393313,278.0,9.86894786626
sake,2,139.0,4.93447393313,278.0,9.86894786626
orang,2,139.0,4.93447393313,278.0,9.86894786626
swami,2,139.0,4.93447393313,278.0,9.86894786626
spiritu,4,64.1538461538,4.1612840449,256.615384615,16.6451361796
sanskrit,2,92.6666666667,4.52900882502,185.333333333,9.05801765004
integr,4,41.7,3.7305011288,166.8,14.9220045152
abandon,1,139.0,4.93447393313,139.0,4.93447393313
math,1,139.0,4.93447393313,139.0,4.93447393313
scarf,1,139.0,4.93447393313,139.0,4.93447393313
els,1,139.0,4.93447393313,139.0,4.93447393313
swamisunattach,1,139.0,4.93447393313,139.0,4.93447393313
“ananda,1,139.0,4.93447393313,139.0,4.93447393313
senior,1,139.0,4.93447393313,139.0,4.93447393313
asid,1,139.0,4.93447393313,139.0,4.93447393313
medit,1,139.0,4.93447393313,139.0,4.93447393313
dissemin,1,139.0,4.93447393313,139.0,4.93447393313
sacr,1,139.0,4.93447393313,139.0,4.93447393313
sankaracharya,1,139.0,4.93447393313,139.0,4.93447393313
forward,1,139.0,4.93447393313,139.0,4.93447393313
consolid,1,139.0,4.93447393313,139.0,4.93447393313
breath,1,139.0,4.93447393313,139.0,4.93447393313
aspir,1,139.0,4.93447393313,139.0,4.93447393313
wish,1,139.0,4.93447393313,139.0,4.93447393313
wander,1,139.0,4.93447393313,139.0,4.93447393313
lineag,1,139.0,4.93447393313,139.0,4.93447393313
wear,1,139.0,4.93447393313,139.0,4.93447393313
“swami,1,139.0,4.93447393313,139.0,4.93447393313
ascet,1,139.0,4.93447393313,139.0,4.93447393313
counsel,1,139.0,4.93447393313,139.0,4.93447393313
eat,1,139.0,4.93447393313,139.0,4.93447393313
invit,1,139.0,4.93447393313,139.0,4.93447393313
noviti,1,139.0,4.93447393313,139.0,4.93447393313
“master,1,139.0,4.93447393313,139.0,4.93447393313
represent,1,139.0,4.93447393313,139.0,4.93447393313
readi,1,139.0,4.93447393313,139.0,4.93447393313
noth,1,139.0,4.93447393313,139.0,4.93447393313
everyth,1,139.0,4.93447393313,139.0,4.93447393313
sadhus,1,139.0,4.93447393313,139.0,4.93447393313
spend,1,139.0,4.93447393313,139.0,4.93447393313
conscious,1,139.0,4.93447393313,139.0,4.93447393313
perfect,1,139.0,4.93447393313,139.0,4.93447393313
wherev,1,139.0,4.93447393313,139.0,4.93447393313
fruit,1,139.0,4.93447393313,139.0,4.93447393313
