term,freq,idf,logidf,tfidf,logtfidf
prejudic,27,139.0,4.93447393313,3753.0,133.230796195
perfect,21,139.0,4.93447393313,2919.0,103.623952596
ye,20,139.0,4.93447393313,2780.0,98.6894786626
love,34,64.1538461538,4.1612840449,2181.23076923,141.483657527
p,22,83.4,4.42364830936,1834.8,97.3202628059
heal,10,139.0,4.93447393313,1390.0,49.3447393313
tree,10,139.0,4.93447393313,1390.0,49.3447393313
divin,20,69.5,4.24132675257,1390.0,84.8265350514
must,23,59.5714285714,4.08717607274,1370.14285714,94.005049673
uniti,9,139.0,4.93447393313,1251.0,44.4102653982
talk,9,139.0,4.93447393313,1251.0,44.4102653982
should,18,69.5,4.24132675257,1251.0,76.3438815463
realiti,12,104.25,4.64679186068,1251.0,55.7615023282
teach,25,46.3333333333,3.83586164446,1158.33333333,95.8965411115
mankind,8,139.0,4.93447393313,1112.0,39.475791465
heaven,8,139.0,4.93447393313,1112.0,39.475791465
spiritu,17,64.1538461538,4.1612840449,1090.61538461,70.7418287633
truth,13,83.4,4.42364830936,1084.2,57.5074280217
god,33,32.0769230769,3.46813686434,1058.53846154,114.448516523
