term,freq,idf,logidf,tfidf,logtfidf
spirit,22,104.25,4.64679186068,2293.5,102.229420935
prophet,15,139.0,4.93447393313,2085.0,74.017108997
uniti,12,139.0,4.93447393313,1668.0,59.2136871976
marriag,14,104.25,4.64679186068,1459.5,65.0550860495
skin,12,119.142857143,4.7803232533,1429.71428572,57.3638790396
talk,10,139.0,4.93447393313,1390.0,49.3447393313
lamp,10,139.0,4.93447393313,1390.0,49.3447393313
equal,25,55.6,4.01818320126,1390.0,100.454580032
color,14,92.6666666667,4.52900882502,1297.33333333,63.4061235503
virus,9,139.0,4.93447393313,1251.0,44.4102653982
prejudic,8,139.0,4.93447393313,1112.0,39.475791465
fate,8,139.0,4.93447393313,1112.0,39.475791465
heaven,8,139.0,4.93447393313,1112.0,39.475791465
sex,8,139.0,4.93447393313,1112.0,39.475791465
muhammad,8,139.0,4.93447393313,1112.0,39.475791465
christ,10,104.25,4.64679186068,1042.5,46.4679186068
p,12,83.4,4.42364830936,1000.8,53.0837797123
adam,7,139.0,4.93447393313,973.0,34.5413175319
coupl,7,139.0,4.93447393313,973.0,34.5413175319
