term,freq,idf,logidf,tfidf,logtfidf
worker,112,92.6666666667,4.52900882502,10378.6666667,507.248988402
labor,64,139.0,4.93447393313,8896.0,315.80633172
christ,55,104.25,4.64679186068,5733.75,255.573552337
bread,37,139.0,4.93447393313,5143.0,182.575535526
too,39,119.142857143,4.7803232533,4646.57142858,186.432606879
say,59,75.8181818182,4.32833812956,4473.27272727,255.371949644
factori,29,139.0,4.93447393313,4031.0,143.099744061
love,62,64.1538461538,4.1612840449,3977.53846154,257.999610784
priest,27,139.0,4.93447393313,3753.0,133.230796195
thing,53,69.5,4.24132675257,3683.5,224.790317886
talk,26,139.0,4.93447393313,3614.0,128.296322261
tri,26,139.0,4.93447393313,3614.0,128.296322261
get,24,139.0,4.93447393313,3336.0,118.427374395
eat,24,139.0,4.93447393313,3336.0,118.427374395
cathol,92,33.36,3.50735757749,3069.12,322.676897129
farm,34,83.4,4.42364830936,2835.6,150.404042518
peter,47,59.5714285714,4.08717607274,2799.85714286,192.097275419
manual,20,139.0,4.93447393313,2780.0,98.6894786626
am,23,119.142857143,4.7803232533,2740.28571429,109.947434826
poverti,26,104.25,4.64679186068,2710.5,120.816588378
