term,freq,idf,logidf,tfidf,logtfidf
worker,84,92.6666666667,4.52900882502,7784.0,380.436741302
get,51,139.0,4.93447393313,7089.0,251.65817059
talk,40,139.0,4.93447393313,5560.0,197.378957325
peter,80,59.5714285714,4.08717607274,4765.71428571,326.974085819
maurin,34,139.0,4.93447393313,4726.0,167.772113726
love,70,64.1538461538,4.1612840449,4490.76923077,291.289883143
priest,31,139.0,4.93447393313,4309.0,152.968691927
tri,28,139.0,4.93447393313,3892.0,138.165270128
dont,28,139.0,4.93447393313,3892.0,138.165270128
go,59,59.5714285714,4.08717607274,3514.71428571,241.143388292
farm,42,83.4,4.42364830936,3502.8,185.793228993
encycl,25,139.0,4.93447393313,3475.0,123.361848328
too,28,119.142857143,4.7803232533,3336.0,133.849051092
thing,45,69.5,4.24132675257,3127.5,190.859703866
christ,27,104.25,4.64679186068,2814.75,125.463380238
labor,20,139.0,4.93447393313,2780.0,98.6894786626
say,36,75.8181818182,4.32833812956,2729.45454546,155.820172664
know,31,83.4,4.42364830936,2585.4,137.13309759
want,21,119.142857143,4.7803232533,2502.0,100.386788319
am,21,119.142857143,4.7803232533,2502.0,100.386788319
