term,freq,idf,logidf,tfidf,logtfidf
we,275,75.8181818182,4.32833812956,20850.0,1190.29298563
worker,83,92.6666666667,4.52900882502,7691.33333334,375.907732477
our,107,55.6,4.01818320126,5949.2,429.945602535
you,58,75.8181818182,4.32833812956,4397.45454546,251.043611514
get,31,139.0,4.93447393313,4309.0,152.968691927
tri,31,139.0,4.93447393313,4309.0,152.968691927
christ,40,104.25,4.64679186068,4170.0,185.871674427
too,28,119.142857143,4.7803232533,3336.0,133.849051092
love,50,64.1538461538,4.1612840449,3207.69230769,208.064202245
my,26,119.142857143,4.7803232533,3097.71428572,124.288404586
unemploy,21,139.0,4.93447393313,2919.0,103.623952596
cathol,84,33.36,3.50735757749,2802.24,294.618036509
picket,20,139.0,4.93447393313,2780.0,98.6894786626
bread,20,139.0,4.93447393313,2780.0,98.6894786626
want,23,119.142857143,4.7803232533,2740.28571429,109.947434826
strike,22,119.142857143,4.7803232533,2621.14285715,105.167111573
say,34,75.8181818182,4.32833812956,2577.81818182,147.163496405
fr,18,139.0,4.93447393313,2502.0,88.8205307963
us,84,28.7586206897,3.35893757237,2415.72413793,282.150756079
me,17,139.0,4.93447393313,2363.0,83.8860568632
