term,freq,idf,logidf,tfidf,logtfidf
worker,48,92.6666666667,4.52900882502,4448.0,217.392423601
want,31,119.142857143,4.7803232533,3693.42857143,148.190020852
get,26,139.0,4.93447393313,3614.0,128.296322261
love,56,64.1538461538,4.1612840449,3592.61538461,233.031906514
poverti,31,104.25,4.64679186068,3231.75,144.050547681
talk,23,139.0,4.93447393313,3197.0,113.492900462
tri,22,139.0,4.93447393313,3058.0,108.558426529
maurin,22,139.0,4.93447393313,3058.0,108.558426529
too,23,119.142857143,4.7803232533,2740.28571429,109.947434826
go,43,59.5714285714,4.08717607274,2561.57142857,175.748571128
poor,46,55.6,4.01818320126,2557.6,184.836427258
thing,34,69.5,4.24132675257,2363.0,144.205109587
say,30,75.8181818182,4.32833812956,2274.54545455,129.850143887
peter,38,59.5714285714,4.08717607274,2263.71428571,155.312690764
know,27,83.4,4.42364830936,2251.8,119.438504353
room,16,139.0,4.93447393313,2224.0,78.9515829301
am,18,119.142857143,4.7803232533,2144.57142857,86.0458185594
messag,15,139.0,4.93447393313,2085.0,74.017108997
labor,15,139.0,4.93447393313,2085.0,74.017108997
cathol,58,33.36,3.50735757749,1934.88,203.426739494
