term,freq,idf,logidf,tfidf,logtfidf
allah,265,139.0,4.93447393313,36835.0,1307.63559228
ibn,106,139.0,4.93447393313,14734.0,523.054236912
wa,94,139.0,4.93447393313,13066.0,463.840549714
sallam,76,139.0,4.93447393313,10564.0,375.020018918
you,129,75.8181818182,4.32833812956,9780.54545455,558.355618713
prophet,70,139.0,4.93447393313,9730.0,345.413175319
faction,70,139.0,4.93447393313,9730.0,345.413175319
crusad,61,139.0,4.93447393313,8479.0,301.002909921
your,54,139.0,4.93447393313,7506.0,266.461592389
said,176,41.7,3.7305011288,7339.2,656.568198669
kufr,52,139.0,4.93447393313,7228.0,256.592644523
muslim,151,43.8947368421,3.78179442319,6628.10526316,571.050957902
we,87,75.8181818182,4.32833812956,6596.18181818,376.565417272
say,82,75.8181818182,4.32833812956,6217.09090909,354.923726624
plot,58,104.25,4.64679186068,6046.5,269.513927919
apost,40,139.0,4.93447393313,5560.0,197.378957325
hypocrit,40,139.0,4.93447393313,5560.0,197.378957325
abandon,39,139.0,4.93447393313,5421.0,192.444483392
