term,freq,idf,logidf,tfidf,logtfidf
allah,181,139.0,4.93447393313,25159.0,893.139781897
ibn,90,139.0,4.93447393313,12510.0,444.102653982
wa,75,139.0,4.93447393313,10425.0,370.085544985
faction,67,139.0,4.93447393313,9313.0,330.60975352
sallam,64,139.0,4.93447393313,8896.0,315.80633172
you,107,75.8181818182,4.32833812956,8112.54545455,463.132179863
regim,55,139.0,4.93447393313,7645.0,271.396066322
crusad,53,139.0,4.93447393313,7367.0,261.527118456
messeng,51,139.0,4.93447393313,7089.0,251.65817059
syrian,48,139.0,4.93447393313,6672.0,236.85474879
camp,47,139.0,4.93447393313,6533.0,231.920274857
your,45,139.0,4.93447393313,6255.0,222.051326991
apost,45,139.0,4.93447393313,6255.0,222.051326991
said,141,41.7,3.7305011288,5879.7,526.000659161
we,74,75.8181818182,4.32833812956,5610.54545455,320.297021587
islam,177,26.9032258065,3.29224619787,4761.87096775,582.727577023
front,73,59.5714285714,4.08717607274,4348.71428571,298.36385331
me,31,139.0,4.93447393313,4309.0,152.968691927
