term,freq,idf,logidf,tfidf,logtfidf
you,414,75.8181818182,4.32833812956,31388.7272727,1791.93198564
we,290,75.8181818182,4.32833812956,21987.2727273,1255.21805757
your,123,139.0,4.93447393313,17097.0,606.940293775
mind,82,119.142857143,4.7803232533,9769.71428573,391.986506771
yoga,69,139.0,4.93447393313,9591.0,340.478701386
our,155,55.6,4.01818320126,8618.0,622.818396195
want,54,119.142857143,4.7803232533,6433.71428572,258.137455678
everyth,43,139.0,4.93447393313,5977.0,212.182379125
yogavill,39,139.0,4.93447393313,5421.0,192.444483392
my,43,119.142857143,4.7803232533,5123.14285715,205.553899892
should,72,69.5,4.24132675257,5004.0,305.375526185
me,35,139.0,4.93447393313,4865.0,172.70658766
get,33,139.0,4.93447393313,4587.0,162.837639793
anyth,30,139.0,4.93447393313,4170.0,148.034217994
clean,28,139.0,4.93447393313,3892.0,138.165270128
yourself,28,139.0,4.93447393313,3892.0,138.165270128
say,50,75.8181818182,4.32833812956,3790.90909091,216.416906478
if,127,28.7586206897,3.35893757237,3652.34482759,426.585071691
will,117,30.8888888889,3.43039653635,3614.0,401.356394753
