term,freq,idf,logidf,tfidf,logtfidf
mind,46,119.142857143,4.7803232533,5480.57142858,219.894869652
sri,37,119.142857143,4.7803232533,4408.28571429,176.871960372
guru,27,139.0,4.93447393313,3753.0,133.230796195
yoga,23,139.0,4.93447393313,3197.0,113.492900462
spiritu,45,64.1538461538,4.1612840449,2886.92307692,187.257782021
fruit,19,139.0,4.93447393313,2641.0,93.7550047295
get,19,139.0,4.93447393313,2641.0,93.7550047295
swami,19,139.0,4.93447393313,2641.0,93.7550047295
say,33,75.8181818182,4.32833812956,2502.0,142.835158275
happi,18,139.0,4.93447393313,2502.0,88.8205307963
want,20,119.142857143,4.7803232533,2382.85714286,95.606465066
everyth,17,139.0,4.93447393313,2363.0,83.8860568632
love,35,64.1538461538,4.1612840449,2245.38461538,145.644941571
gita,16,139.0,4.93447393313,2224.0,78.9515829301
desir,16,139.0,4.93447393313,2224.0,78.9515829301
realli,15,139.0,4.93447393313,2085.0,74.017108997
know,25,83.4,4.42364830936,2085.0,110.591207734
am,17,119.142857143,4.7803232533,2025.42857143,81.2654953061
arjuna,14,139.0,4.93447393313,1946.0,69.0826350638
