term,freq,idf,logidf,tfidf,logtfidf
mind,67,119.142857143,4.7803232533,7982.57142858,320.281657971
yoga,53,139.0,4.93447393313,7367.0,261.527118456
everyth,27,139.0,4.93447393313,3753.0,133.230796195
want,30,119.142857143,4.7803232533,3574.28571429,143.409697599
pain,22,139.0,4.93447393313,3058.0,108.558426529
get,21,139.0,4.93447393313,2919.0,103.623952596
happi,19,139.0,4.93447393313,2641.0,93.7550047295
boat,18,139.0,4.93447393313,2502.0,88.8205307963
know,29,83.4,4.42364830936,2418.6,128.285800971
realiz,17,139.0,4.93447393313,2363.0,83.8860568632
someth,22,104.25,4.64679186068,2293.5,102.229420935
whi,16,139.0,4.93447393313,2224.0,78.9515829301
will,69,30.8888888889,3.43039653635,2131.33333333,236.697361008
feel,15,139.0,4.93447393313,2085.0,74.017108997
anyth,15,139.0,4.93447393313,2085.0,74.017108997
let,14,139.0,4.93447393313,1946.0,69.0826350638
noth,14,139.0,4.93447393313,1946.0,69.0826350638
if,63,28.7586206897,3.35893757237,1811.79310345,211.613067059
hatha,13,139.0,4.93447393313,1807.0,64.1481611307
