term,freq,idf,logidf,tfidf,logtfidf
happi,48,139.0,4.93447393313,6672.0,236.85474879
want,46,119.142857143,4.7803232533,5480.57142858,219.894869652
everyth,35,139.0,4.93447393313,4865.0,172.70658766
guru,28,139.0,4.93447393313,3892.0,138.165270128
should,55,69.5,4.24132675257,3822.5,233.272971391
mind,32,119.142857143,4.7803232533,3812.57142858,152.970344106
say,48,75.8181818182,4.32833812956,3639.27272727,207.760230219
get,26,139.0,4.93447393313,3614.0,128.296322261
yoga,25,139.0,4.93447393313,3475.0,123.361848328
am,29,119.142857143,4.7803232533,3455.14285715,138.629374346
yogavill,24,139.0,4.93447393313,3336.0,118.427374395
pain,22,139.0,4.93447393313,3058.0,108.558426529
whi,22,139.0,4.93447393313,3058.0,108.558426529
dedic,21,139.0,4.93447393313,2919.0,103.623952596
know,35,83.4,4.42364830936,2919.0,154.827690828
joy,20,139.0,4.93447393313,2780.0,98.6894786626
anyth,20,139.0,4.93447393313,2780.0,98.6894786626
fruit,19,139.0,4.93447393313,2641.0,93.7550047295
ask,19,139.0,4.93447393313,2641.0,93.7550047295
