term,freq,idf,logidf,tfidf,logtfidf
mind,132,119.142857143,4.7803232533,15726.8571429,631.002669436
yoga,102,139.0,4.93447393313,14178.0,503.316341179
medit,70,139.0,4.93447393313,9730.0,345.413175319
want,41,119.142857143,4.7803232533,4884.85714286,195.993253385
whi,31,139.0,4.93447393313,4309.0,152.968691927
happi,24,139.0,4.93447393313,3336.0,118.427374395
arjuna,23,139.0,4.93447393313,3197.0,113.492900462
should,43,69.5,4.24132675257,2988.5,182.377050361
self,21,139.0,4.93447393313,2919.0,103.623952596
say,38,75.8181818182,4.32833812956,2881.09090909,164.476848923
get,20,139.0,4.93447393313,2780.0,98.6894786626
everyth,20,139.0,4.93447393313,2780.0,98.6894786626
will,82,30.8888888889,3.43039653635,2532.88888889,281.292515981
let,18,139.0,4.93447393313,2502.0,88.8205307963
yogi,18,139.0,4.93447393313,2502.0,88.8205307963
clean,18,139.0,4.93447393313,2502.0,88.8205307963
sutra,16,139.0,4.93447393313,2224.0,78.9515829301
krishna,16,139.0,4.93447393313,2224.0,78.9515829301
think,33,64.1538461538,4.1612840449,2117.07692308,137.322373482
