term,freq,idf,logidf,tfidf,logtfidf
we,83,75.8181818182,4.32833812956,6292.90909091,359.252064753
synagogu,36,139.0,4.93447393313,5004.0,177.641061593
my,38,119.142857143,4.7803232533,4527.42857143,181.652283625
jew,57,75.8181818182,4.32833812956,4321.63636364,246.715273385
our,72,55.6,4.01818320126,4003.2,289.309190491
you,46,75.8181818182,4.32833812956,3487.63636364,199.10355396
israel,63,49.0588235294,3.8930200583,3090.70588235,245.260263673
want,23,119.142857143,4.7803232533,2740.28571429,109.947434826
know,32,83.4,4.42364830936,2668.8,141.5567459
cousin,18,139.0,4.93447393313,2502.0,88.8205307963
jewish,52,36.2608695652,3.59073918643,1885.56521739,186.718437694
am,13,119.142857143,4.7803232533,1548.85714286,62.1442022929
your,11,139.0,4.93447393313,1529.0,54.2792132644
jewri,10,139.0,4.93447393313,1390.0,49.3447393313
presenc,17,75.8181818182,4.32833812956,1288.90909091,73.5817482025
tri,9,139.0,4.93447393313,1251.0,44.4102653982
moment,9,139.0,4.93447393313,1251.0,44.4102653982
benji,9,139.0,4.93447393313,1251.0,44.4102653982
me,9,139.0,4.93447393313,1251.0,44.4102653982
