term,freq,idf,logidf,tfidf,logtfidf
jew,92,75.8181818182,4.32833812956,6975.27272727,398.20710792
jewish,147,36.2608695652,3.59073918643,5330.34782608,527.838660405
synagogu,36,139.0,4.93447393313,5004.0,177.641061593
jewri,28,139.0,4.93447393313,3892.0,138.165270128
torah,28,139.0,4.93447393313,3892.0,138.165270128
rabbi,28,139.0,4.93447393313,3892.0,138.165270128
know,44,83.4,4.42364830936,3669.6,194.640525612
israel,64,49.0588235294,3.8930200583,3139.76470588,249.153283731
want,24,119.142857143,4.7803232533,2859.42857143,114.727758079
feel,20,139.0,4.93447393313,2780.0,98.6894786626
adam,18,139.0,4.93447393313,2502.0,88.8205307963
moment,18,139.0,4.93447393313,2502.0,88.8205307963
templ,23,104.25,4.64679186068,2397.75,106.876212796
say,27,75.8181818182,4.32833812956,2047.09090909,116.865129498
too,17,119.142857143,4.7803232533,2025.42857143,81.2654953061
bless,14,139.0,4.93447393313,1946.0,69.0826350638
get,14,139.0,4.93447393313,1946.0,69.0826350638
thing,28,69.5,4.24132675257,1946.0,118.757149072
eve,14,139.0,4.93447393313,1946.0,69.0826350638
