term,freq,idf,logidf,tfidf,logtfidf
amalek,41,139.0,4.93447393313,5699.0,202.313431258
shall,36,139.0,4.93447393313,5004.0,177.641061593
daniel,31,139.0,4.93447393313,4309.0,152.968691927
dan,27,139.0,4.93447393313,3753.0,133.230796195
unto,25,139.0,4.93447393313,3475.0,123.361848328
s,49,64.1538461538,4.1612840449,3143.53846154,203.9029182
amalekit,21,139.0,4.93447393313,2919.0,103.623952596
thee,21,139.0,4.93447393313,2919.0,103.623952596
antiochus,20,139.0,4.93447393313,2780.0,98.6894786626
ie,19,139.0,4.93447393313,2641.0,93.7550047295
say,32,75.8181818182,4.32833812956,2426.18181818,138.506820146
wit,34,69.5,4.24132675257,2363.0,144.205109587
nebuchadnezzar,17,139.0,4.93447393313,2363.0,83.8860568632
god,72,32.0769230769,3.46813686434,2309.53846154,249.705854232
we,29,75.8181818182,4.32833812956,2198.72727273,125.521805757
imag,28,75.8181818182,4.32833812956,2122.90909091,121.193467628
furnac,14,139.0,4.93447393313,1946.0,69.0826350638
sunday,14,139.0,4.93447393313,1946.0,69.0826350638
outlin,14,139.0,4.93447393313,1946.0,69.0826350638
