term,freq,idf,logidf,tfidf,logtfidf
shall,174,139.0,4.93447393313,24186.0,858.598464365
unto,114,139.0,4.93447393313,15846.0,562.530028377
lord,221,55.6,4.01818320126,12287.6,888.018487478
s,178,64.1538461538,4.1612840449,11419.3846154,740.708559992
thi,70,139.0,4.93447393313,9730.0,345.413175319
we,127,75.8181818182,4.32833812956,9628.90909091,549.698942454
you,121,75.8181818182,4.32833812956,9174.0,523.728913677
me,65,139.0,4.93447393313,9035.0,320.740805653
god,280,32.0769230769,3.46813686434,8981.53846153,971.078322015
ye,62,139.0,4.93447393313,8618.0,305.937383854
thou,60,139.0,4.93447393313,8340.0,296.068435988
say,107,75.8181818182,4.32833812956,8112.54545455,463.132179863
sermon,58,139.0,4.93447393313,8062.0,286.199488122
wit,115,69.5,4.24132675257,7992.5,487.752576546
belov,56,139.0,4.93447393313,7784.0,276.330540255
hath,54,139.0,4.93447393313,7506.0,266.461592389
your,54,139.0,4.93447393313,7506.0,266.461592389
thee,50,139.0,4.93447393313,6950.0,246.723696657
outlin,47,139.0,4.93447393313,6533.0,231.920274857
